Time,election day
2022-01-01,5
2022-01-02,4
2022-01-03,5
2022-01-04,8
2022-01-05,7
2022-01-06,7
2022-01-07,7
2022-01-08,5
2022-01-09,4
2022-01-10,7
2022-01-11,8
2022-01-12,8
2022-01-13,10
2022-01-14,5
2022-01-15,3
2022-01-16,5
2022-01-17,6
2022-01-18,7
2022-01-19,5
2022-01-20,8
2022-01-21,7
2022-01-22,4
2022-01-23,4
2022-01-24,7
2022-01-25,6
2022-01-26,6
2022-01-27,7
2022-01-28,7
2022-01-29,3
2022-01-30,5
2022-01-31,8
2022-02-01,8
2022-02-02,8
2022-02-03,5
2022-02-04,4
2022-02-05,4
2022-02-06,5
2022-02-07,7
2022-02-08,9
2022-02-09,9
2022-02-10,6
2022-02-11,7
2022-02-12,5
2022-02-13,5
2022-02-14,8
2022-02-15,11
2022-02-16,8
2022-02-17,9
2022-02-18,9
2022-02-19,7
2022-02-20,6
2022-02-21,10
2022-02-22,9
2022-02-23,9
2022-02-24,9
2022-02-25,12
2022-02-26,8
2022-02-27,10
2022-02-28,17
2022-03-01,44
2022-03-02,32
2022-03-03,10
2022-03-04,7
2022-03-05,5
2022-03-06,5
2022-03-07,8
2022-03-08,10
2022-03-09,10
2022-03-10,11
2022-03-11,8
2022-03-12,6
2022-03-13,6
2022-03-14,8
2022-03-15,7
2022-03-16,8
2022-03-17,7
2022-03-18,8
2022-03-19,6
2022-03-20,5
2022-03-21,8
2022-03-22,8
2022-03-23,7
2022-03-24,9
2022-03-25,9
2022-03-26,5
2022-03-27,5
2022-03-28,8
2022-03-29,10
2022-03-30,8
2022-03-31,10
2022-04-01,9
2022-04-02,6
2022-04-03,7
2022-04-04,13
2022-04-05,21
2022-04-06,16
2022-04-07,12
2022-04-08,11
2022-04-09,7
2022-04-10,10
2022-04-11,11
2022-04-12,12
2022-04-13,10
2022-04-14,12
2022-04-15,7
2022-04-16,7
2022-04-17,8
2022-04-18,14
2022-04-19,16
2022-04-20,12
2022-04-21,14
2022-04-22,12
2022-04-23,10
2022-04-24,15
2022-04-25,16
2022-04-26,16
2022-04-27,17
2022-04-28,19
2022-04-29,18
2022-04-30,14
2022-05-01,18
2022-05-02,40
2022-05-03,87
2022-05-04,43
2022-05-05,21
2022-05-06,21
2022-05-07,25
2022-05-08,23
2022-05-09,36
2022-05-10,40
2022-05-11,27
2022-05-12,19
2022-05-13,16
2022-05-14,14
2022-05-15,16
2022-05-16,39
2022-05-17,100
2022-05-18,68
2022-05-19,17
2022-05-20,15
2022-05-21,11
2022-05-22,11
2022-05-23,21
2022-05-24,57
2022-05-25,40
2022-05-26,12
2022-05-27,11
2022-05-28,8
2022-05-29,9
2022-05-30,11
2022-05-31,14
2022-06-01,13
2022-06-02,13
2022-06-03,14
2022-06-04,12
2022-06-05,11
2022-06-06,24
2022-06-07,54
2022-06-08,30
2022-06-09,13
2022-06-10,11
2022-06-11,9
2022-06-12,9
2022-06-13,16
2022-06-14,24
2022-06-15,17
2022-06-16,12
2022-06-17,11
2022-06-18,11
2022-06-19,11
2022-06-20,15
2022-06-21,27
2022-06-22,16
2022-06-23,12
2022-06-24,17
2022-06-25,16
2022-06-26,15
2022-06-27,26
2022-06-28,59
2022-06-29,30
2022-06-30,12
2022-07-01,8
2022-07-02,7
2022-07-03,6
2022-07-04,11
2022-07-05,10
2022-07-06,9
2022-07-07,11
2022-07-08,8
2022-07-09,8
2022-07-10,7
2022-07-11,12
2022-07-12,12
2022-07-13,11
2022-07-14,11
2022-07-15,11
2022-07-16,9
2022-07-17,7
2022-07-18,16
2022-07-19,22
2022-07-20,15
2022-07-21,13
2022-07-22,10
2022-07-23,9
2022-07-24,9
2022-07-25,14
2022-07-26,17
2022-07-27,13
2022-07-28,14
2022-07-29,13
2022-07-30,11
2022-07-31,14
2022-08-01,24
2022-08-02,66
2022-08-03,43
2022-08-04,28
2022-08-05,17
2022-08-06,10
2022-08-07,10
2022-08-08,19
2022-08-09,34
2022-08-10,21
2022-08-11,14
2022-08-12,12
2022-08-13,11
2022-08-14,11
2022-08-15,16
2022-08-16,27
2022-08-17,24
2022-08-18,16
2022-08-19,15
2022-08-20,13
2022-08-21,15
2022-08-22,26
2022-08-23,60
2022-08-24,34
2022-08-25,16
2022-08-26,13
2022-08-27,9
2022-08-28,12
2022-08-29,14
2022-08-30,17
2022-08-31,18
2022-09-01,18
2022-09-02,16
2022-09-03,10
2022-09-04,13
2022-09-05,18
2022-09-06,26
2022-09-07,22
2022-09-08,19
2022-09-09,15
2022-09-10,12
2022-09-11,12
2022-09-12,21
2022-09-13,26
2022-09-14,27
2022-09-15,26
2022-09-16,20
2022-09-17,14
2022-09-18,16
2022-09-19,27
2022-09-20,55
2022-09-21,32
2022-09-22,29
2022-09-23,27
2022-09-24,21
2022-09-25,19
2022-09-26,32
2022-09-27,30
