Time,scott hall
2024-08-18,46
2024-08-19,32
2024-08-20,50
2024-08-21,56
2024-08-22,37
2024-08-23,37
2024-08-24,51
2024-08-25,34
2024-08-26,37
2024-08-27,41
2024-08-28,45
2024-08-29,49
2024-08-30,46
2024-08-31,39
2024-09-01,42
2024-09-02,43
2024-09-03,38
2024-09-04,42
2024-09-05,39
2024-09-06,38
2024-09-07,37
2024-09-08,31
2024-09-09,49
2024-09-10,37
2024-09-11,32
2024-09-12,25
2024-09-13,49
2024-09-14,30
2024-09-15,20
2024-09-16,30
2024-09-17,36
2024-09-18,37
2024-09-19,39
2024-09-20,23
2024-09-21,32
2024-09-22,48
2024-09-23,34
2024-09-24,37
2024-09-25,26
2024-09-26,45
2024-09-27,54
2024-09-28,58
2024-09-29,47
2024-09-30,52
2024-10-01,57
2024-10-02,48
2024-10-03,42
2024-10-04,56
2024-10-05,51
2024-10-06,50
2024-10-07,39
2024-10-08,45
2024-10-09,35
2024-10-10,44
2024-10-11,40
2024-10-12,40
2024-10-13,40
2024-10-14,20
2024-10-15,40
2024-10-16,42
2024-10-17,37
2024-10-18,39
2024-10-19,39
2024-10-20,52
2024-10-21,63
2024-10-22,39
2024-10-23,42
2024-10-24,59
2024-10-25,43
2024-10-26,38
2024-10-27,26
2024-10-28,40
2024-10-29,36
2024-10-30,52
2024-10-31,32
2024-11-01,50
2024-11-02,48
2024-11-03,34
2024-11-04,36
2024-11-05,36
2024-11-06,24
2024-11-07,34
2024-11-08,27
2024-11-09,48
2024-11-10,28
2024-11-11,38
2024-11-12,34
2024-11-13,33
2024-11-14,36
2024-11-15,48
2024-11-16,23
2024-11-17,38
2024-11-18,28
2024-11-19,43
2024-11-20,33
2024-11-21,36
2024-11-22,44
2024-11-23,35
2024-11-24,34
2024-11-25,41
2024-11-26,20
2024-11-27,32
2024-11-28,0
2024-11-29,17
2024-11-30,25
2024-12-01,45
2024-12-02,41
2024-12-03,20
2024-12-04,46
2024-12-05,36
2024-12-06,46
2024-12-07,33
2024-12-08,41
2024-12-09,26
2024-12-10,33
2024-12-11,36
2024-12-12,26
2024-12-13,28
2024-12-14,30
2024-12-15,45
2024-12-16,34
2024-12-17,32
2024-12-18,26
2024-12-19,19
2024-12-20,34
2024-12-21,27
2024-12-22,34
2024-12-23,29
2024-12-24,23
2024-12-25,35
2024-12-26,0
2024-12-27,0
2024-12-28,43
2024-12-29,41
2024-12-30,32
2024-12-31,49
2025-01-01,31
2025-01-02,35
2025-01-03,41
2025-01-04,22
2025-01-05,27
2025-01-06,42
2025-01-07,36
2025-01-08,36
2025-01-09,35
2025-01-10,42
2025-01-11,38
2025-01-12,32
2025-01-13,47
2025-01-14,46
2025-01-15,34
2025-01-16,22
2025-01-17,39
2025-01-18,35
2025-01-19,40
2025-01-20,59
2025-01-21,32
2025-01-22,35
2025-01-23,31
2025-01-24,31
2025-01-25,41
2025-01-26,29
2025-01-27,47
2025-01-28,39
2025-01-29,56
2025-01-30,40
2025-01-31,27
2025-02-01,32
2025-02-02,34
2025-02-03,38
2025-02-04,33
2025-02-05,33
2025-02-06,35
2025-02-07,39
2025-02-08,35
2025-02-09,29
2025-02-10,27
2025-02-11,27
2025-02-12,23
2025-02-13,38
2025-02-14,30
2025-02-15,42
2025-02-16,40
2025-02-17,46
2025-02-18,34
2025-02-19,46
2025-02-20,29
2025-02-21,29
2025-02-22,30
2025-02-23,39
2025-02-24,56
2025-02-25,43
2025-02-26,53
2025-02-27,43
2025-02-28,34
2025-03-01,42
2025-03-02,45
2025-03-03,41
2025-03-04,34
2025-03-05,34
2025-03-06,55
2025-03-07,44
2025-03-08,32
2025-03-09,32
2025-03-10,41
2025-03-11,34
2025-03-12,41
2025-03-13,50
2025-03-14,60
2025-03-15,75
2025-03-16,100
2025-03-17,61
2025-03-18,42
2025-03-19,48
2025-03-20,38
2025-03-21,33
2025-03-22,54
2025-03-23,57
2025-03-24,38
2025-03-25,50
2025-03-26,60
2025-03-27,55
2025-03-28,49
2025-03-29,39
2025-03-30,38
2025-03-31,83
2025-04-01,47
2025-04-02,54
2025-04-03,41
2025-04-04,36
2025-04-05,41
2025-04-06,35
2025-04-07,23
2025-04-08,43
2025-04-09,37
2025-04-10,19
2025-04-11,49
2025-04-12,33
2025-04-13,36
2025-04-14,47
2025-04-15,28
2025-04-16,43
2025-04-17,44
2025-04-18,47
2025-04-19,89
2025-04-20,68
2025-04-21,61
2025-04-22,43
2025-04-23,44
2025-04-24,44
2025-04-25,34
2025-04-26,37
2025-04-27,34
2025-04-28,42
2025-04-29,39
2025-04-30,39
2025-05-01,42
2025-05-02,34
2025-05-03,18
2025-05-04,35
2025-05-05,44
2025-05-06,47
2025-05-07,44
2025-05-08,37
2025-05-09,31
2025-05-10,46
2025-05-11,39
2025-05-12,29
2025-05-13,42
2025-05-14,38
