Time,scott hall
2023-04-26,9
2023-04-27,10
2023-04-28,9
2023-04-29,13
2023-04-30,10
2023-05-01,11
2023-05-02,11
2023-05-03,8
2023-05-04,8
2023-05-05,7
2023-05-06,8
2023-05-07,9
2023-05-08,8
2023-05-09,9
2023-05-10,8
2023-05-11,10
2023-05-12,8
2023-05-13,9
2023-05-14,9
2023-05-15,10
2023-05-16,9
2023-05-17,7
2023-05-18,12
2023-05-19,8
2023-05-20,16
2023-05-21,9
2023-05-22,10
2023-05-23,8
2023-05-24,11
2023-05-25,10
2023-05-26,11
2023-05-27,9
2023-05-28,7
2023-05-29,7
2023-05-30,7
2023-05-31,9
2023-06-01,11
2023-06-02,8
2023-06-03,10
2023-06-04,15
2023-06-05,11
2023-06-06,11
2023-06-07,9
2023-06-08,10
2023-06-09,7
2023-06-10,8
2023-06-11,11
2023-06-12,6
2023-06-13,9
2023-06-14,8
2023-06-15,7
2023-06-16,11
2023-06-17,9
2023-06-18,6
2023-06-19,6
2023-06-20,10
2023-06-21,9
2023-06-22,8
2023-06-23,7
2023-06-24,10
2023-06-25,10
2023-06-26,9
2023-06-27,9
2023-06-28,10
2023-06-29,9
2023-06-30,6
2023-07-01,8
2023-07-02,6
2023-07-03,8
2023-07-04,13
2023-07-05,20
2023-07-06,13
2023-07-07,8
2023-07-08,9
2023-07-09,9
2023-07-10,8
2023-07-11,11
2023-07-12,12
2023-07-13,9
2023-07-14,14
2023-07-15,11
2023-07-16,9
2023-07-17,9
2023-07-18,12
2023-07-19,13
2023-07-20,11
2023-07-21,12
2023-07-22,9
2023-07-23,30
2023-07-24,30
2023-07-25,15
2023-07-26,13
2023-07-27,8
2023-07-28,11
2023-07-29,16
2023-07-30,17
2023-07-31,11
2023-08-01,11
2023-08-02,9
2023-08-03,13
2023-08-04,9
2023-08-05,6
2023-08-06,9
2023-08-07,6
2023-08-08,9
2023-08-09,8
2023-08-10,9
2023-08-11,11
2023-08-12,13
2023-08-13,13
2023-08-14,9
2023-08-15,22
2023-08-16,11
2023-08-17,13
2023-08-18,11
2023-08-19,9
2023-08-20,8
2023-08-21,13
2023-08-22,32
2023-08-23,23
2023-08-24,17
2023-08-25,18
2023-08-26,10
2023-08-27,13
2023-08-28,10
2023-08-29,11
2023-08-30,9
2023-08-31,9
2023-09-01,9
2023-09-02,8
2023-09-03,7
2023-09-04,9
2023-09-05,11
2023-09-06,11
2023-09-07,10
2023-09-08,7
2023-09-09,7
2023-09-10,8
2023-09-11,9
2023-09-12,10
2023-09-13,10
2023-09-14,9
2023-09-15,8
2023-09-16,6
2023-09-17,9
2023-09-18,9
2023-09-19,8
2023-09-20,9
2023-09-21,10
2023-09-22,9
2023-09-23,7
2023-09-24,7
2023-09-25,7
2023-09-26,9
2023-09-27,8
2023-09-28,9
2023-09-29,100
2023-09-30,58
2023-10-01,11
2023-10-02,16
2023-10-03,8
2023-10-04,8
2023-10-05,6
2023-10-06,10
2023-10-07,7
2023-10-08,7
2023-10-09,9
2023-10-10,6
2023-10-11,7
2023-10-12,8
2023-10-13,7
2023-10-14,7
2023-10-15,9
2023-10-16,7
2023-10-17,8
2023-10-18,10
2023-10-19,12
2023-10-20,34
2023-10-21,24
2023-10-22,12
2023-10-23,9
2023-10-24,13
2023-10-25,8
2023-10-26,9
2023-10-27,8
2023-10-28,9
2023-10-29,9
2023-10-30,6
2023-10-31,8
2023-11-01,8
2023-11-02,8
2023-11-03,10
2023-11-04,10
2023-11-05,6
2023-11-06,6
2023-11-07,8
2023-11-08,8
2023-11-09,6
2023-11-10,8
2023-11-11,5
2023-11-12,5
2023-11-13,6
2023-11-14,10
2023-11-15,6
2023-11-16,7
2023-11-17,8
2023-11-18,28
2023-11-19,30
2023-11-20,14
2023-11-21,8
2023-11-22,8
2023-11-23,4
2023-11-24,10
2023-11-25,5
2023-11-26,10
2023-11-27,8
2023-11-28,7
2023-11-29,7
2023-11-30,9
2023-12-01,8
2023-12-02,6
2023-12-03,4
2023-12-04,10
2023-12-05,8
2023-12-06,8
2023-12-07,7
2023-12-08,8
2023-12-09,7
2023-12-10,6
2023-12-11,7
2023-12-12,10
2023-12-13,9
2023-12-14,8
2023-12-15,7
2023-12-16,5
2023-12-17,7
2023-12-18,5
2023-12-19,5
2023-12-20,8
2023-12-21,8
2023-12-22,6
2023-12-23,6
2023-12-24,7
2023-12-25,5
2023-12-26,7
2023-12-27,6
2023-12-28,8
2023-12-29,8
2023-12-30,9
2023-12-31,8
2024-01-01,5
2024-01-02,4
2024-01-03,7
2024-01-04,8
2024-01-05,9
2024-01-06,5
2024-01-07,6
2024-01-08,8
2024-01-09,6
2024-01-10,8
2024-01-11,12
2024-01-12,11
2024-01-13,7
2024-01-14,8
2024-01-15,6
2024-01-16,9
2024-01-17,10
2024-01-18,9
2024-01-19,9
2024-01-20,10
