Time,scott hall
2025-12-11,50
2025-12-12,63
2025-12-13,47
2025-12-14,34
2025-12-15,61
2025-12-16,40
2025-12-17,63
2025-12-18,53
2025-12-19,57
2025-12-20,55
2025-12-21,45
2025-12-22,42
2025-12-23,43
2025-12-24,44
2025-12-25,37
2025-12-26,34
2025-12-27,52
2025-12-28,44
2025-12-29,53
2025-12-30,52
2025-12-31,42
2026-01-01,53
2026-01-02,54
2026-01-03,32
2026-01-04,37
2026-01-05,55
2026-01-06,61
2026-01-07,46
2026-01-08,51
2026-01-09,47
2026-01-10,60
2026-01-11,44
2026-01-12,48
2026-01-13,66
2026-01-14,59
2026-01-15,49
2026-01-16,80
2026-01-17,66
2026-01-18,53
2026-01-19,56
2026-01-20,63
2026-01-21,61
2026-01-22,50
2026-01-23,57
2026-01-24,56
2026-01-25,63
2026-01-26,54
2026-01-27,68
2026-01-28,55
2026-01-29,61
2026-01-30,52
2026-01-31,57
2026-02-01,52
2026-02-02,70
2026-02-03,62
2026-02-04,65
2026-02-05,72
2026-02-06,67
2026-02-07,73
2026-02-08,67
2026-02-09,74
2026-02-10,73
2026-02-11,67
2026-02-12,53
2026-02-13,76
2026-02-14,59
2026-02-15,58
2026-02-16,64
2026-02-17,73
2026-02-18,85
2026-02-19,75
2026-02-20,58
2026-02-21,81
2026-02-22,77
2026-02-23,65
2026-02-24,77
2026-02-25,52
2026-02-26,88
2026-02-27,60
2026-02-28,53
2026-03-01,48
2026-03-02,47
2026-03-03,82
2026-03-04,63
2026-03-05,61
2026-03-06,48
2026-03-07,49
2026-03-08,45
2026-03-09,49
2026-03-10,58
2026-03-11,66
2026-03-12,75
2026-03-13,78
2026-03-14,73
2026-03-15,65
2026-03-16,54
2026-03-17,59
2026-03-18,69
2026-03-19,60
2026-03-20,68
2026-03-21,55
2026-03-22,52
2026-03-23,62
2026-03-24,58
2026-03-25,51
2026-03-26,68
2026-03-27,50
2026-03-28,50
2026-03-29,59
2026-03-30,63
2026-03-31,62
2026-04-01,66
2026-04-02,59
2026-04-03,60
2026-04-04,48
2026-04-05,70
2026-04-06,43
2026-04-07,59
2026-04-08,61
2026-04-09,78
2026-04-10,59
2026-04-11,70
2026-04-12,68
2026-04-13,60
2026-04-14,100
2026-04-15,72
2026-04-16,53
2026-04-17,75
2026-04-18,68
2026-04-19,59
2026-04-20,57
2026-04-21,63
2026-04-22,56
2026-04-23,78
2026-04-24,45
2026-04-25,62
2026-04-26,79
2026-04-27,65
2026-04-28,57
2026-04-29,77
2026-04-30,79
2026-05-01,83
2026-05-02,77
2026-05-03,71
2026-05-04,91
2026-05-05,67
2026-05-06,80
2026-05-07,85
2026-05-08,64
2026-05-09,78
2026-05-10,65
2026-05-11,72
2026-05-12,67
2026-05-13,88
2026-05-14,69
2026-05-15,48
2026-05-16,63
2026-05-17,54
2026-05-18,73
2026-05-19,72
2026-05-20,64
2026-05-21,59
2026-05-22,43
2026-05-23,72
2026-05-24,47
2026-05-25,49
2026-05-26,60
2026-05-27,58
2026-05-28,63
2026-05-29,88
2026-05-30,73
2026-05-31,67
