Time,herschel walker
2023-04-26,18
2023-04-27,20
2023-04-28,13
2023-04-29,15
2023-04-30,15
2023-05-01,12
2023-05-02,12
2023-05-03,14
2023-05-04,100
2023-05-05,79
2023-05-06,43
2023-05-07,24
2023-05-08,11
2023-05-09,17
2023-05-10,11
2023-05-11,8
2023-05-12,12
2023-05-13,12
2023-05-14,16
2023-05-15,12
2023-05-16,13
2023-05-17,14
2023-05-18,0
2023-05-19,13
2023-05-20,16
2023-05-21,15
2023-05-22,11
2023-05-23,11
2023-05-24,10
2023-05-25,10
2023-05-26,11
2023-05-27,13
2023-05-28,8
2023-05-29,0
2023-05-30,0
2023-05-31,8
2023-06-01,15
2023-06-02,11
2023-06-03,14
2023-06-04,19
2023-06-05,10
2023-06-06,12
2023-06-07,8
2023-06-08,14
2023-06-09,22
2023-06-10,13
2023-06-11,19
2023-06-12,9
2023-06-13,0
2023-06-14,13
2023-06-15,13
2023-06-16,12
2023-06-17,15
2023-06-18,13
2023-06-19,12
2023-06-20,19
2023-06-21,11
2023-06-22,8
2023-06-23,16
2023-06-24,10
2023-06-25,13
2023-06-26,11
2023-06-27,15
2023-06-28,13
2023-06-29,17
2023-06-30,14
2023-07-01,10
2023-07-02,17
2023-07-03,14
2023-07-04,13
2023-07-05,12
2023-07-06,13
2023-07-07,13
2023-07-08,14
2023-07-09,9
2023-07-10,14
2023-07-11,10
2023-07-12,10
2023-07-13,12
2023-07-14,9
2023-07-15,10
2023-07-16,11
2023-07-17,14
2023-07-18,12
2023-07-19,11
2023-07-20,12
2023-07-21,0
2023-07-22,13
2023-07-23,13
2023-07-24,12
2023-07-25,13
2023-07-26,16
2023-07-27,17
2023-07-28,13
2023-07-29,13
2023-07-30,13
2023-07-31,16
2023-08-01,9
2023-08-02,21
2023-08-03,11
2023-08-04,13
2023-08-05,0
2023-08-06,12
2023-08-07,12
2023-08-08,15
2023-08-09,7
2023-08-10,10
2023-08-11,12
2023-08-12,8
2023-08-13,15
2023-08-14,13
2023-08-15,26
2023-08-16,17
2023-08-17,12
2023-08-18,23
2023-08-19,26
2023-08-20,19
2023-08-21,0
2023-08-22,10
2023-08-23,21
2023-08-24,20
2023-08-25,18
2023-08-26,35
2023-08-27,24
2023-08-28,20
2023-08-29,18
2023-08-30,18
2023-08-31,17
2023-09-01,16
2023-09-02,14
2023-09-03,20
2023-09-04,23
2023-09-05,12
2023-09-06,14
2023-09-07,19
2023-09-08,14
2023-09-09,12
2023-09-10,48
2023-09-11,18
2023-09-12,23
2023-09-13,13
2023-09-14,17
2023-09-15,15
2023-09-16,16
2023-09-17,15
2023-09-18,13
2023-09-19,14
2023-09-20,12
2023-09-21,17
2023-09-22,21
2023-09-23,21
2023-09-24,22
2023-09-25,15
2023-09-26,14
2023-09-27,18
2023-09-28,13
2023-09-29,16
2023-09-30,24
2023-10-01,13
2023-10-02,9
2023-10-03,14
2023-10-04,10
2023-10-05,14
2023-10-06,18
2023-10-07,24
2023-10-08,17
2023-10-09,22
2023-10-10,13
2023-10-11,9
2023-10-12,16
2023-10-13,14
2023-10-14,25
2023-10-15,23
2023-10-16,11
2023-10-17,9
2023-10-18,0
2023-10-19,12
2023-10-20,10
2023-10-21,11
2023-10-22,20
2023-10-23,13
2023-10-24,13
2023-10-25,12
2023-10-26,18
2023-10-27,11
2023-10-28,19
2023-10-29,16
2023-10-30,13
2023-10-31,15
2023-11-01,11
2023-11-02,14
2023-11-03,10
2023-11-04,13
2023-11-05,11
2023-11-06,0
2023-11-07,12
2023-11-08,0
2023-11-09,12
2023-11-10,8
2023-11-11,10
2023-11-12,35
2023-11-13,14
2023-11-14,10
2023-11-15,16
2023-11-16,17
2023-11-17,8
2023-11-18,24
2023-11-19,14
2023-11-20,16
2023-11-21,22
2023-11-22,15
2023-11-23,16
2023-11-24,30
2023-11-25,21
2023-11-26,15
2023-11-27,12
2023-11-28,17
2023-11-29,18
2023-11-30,13
2023-12-01,9
2023-12-02,25
2023-12-03,26
2023-12-04,13
2023-12-05,15
2023-12-06,10
2023-12-07,26
2023-12-08,16
2023-12-09,13
2023-12-10,22
2023-12-11,17
2023-12-12,13
2023-12-13,9
2023-12-14,9
2023-12-15,15
2023-12-16,13
2023-12-17,12
2023-12-18,13
2023-12-19,10
2023-12-20,12
2023-12-21,10
2023-12-22,0
2023-12-23,12
2023-12-24,15
2023-12-25,15
2023-12-26,14
2023-12-27,22
2023-12-28,39
2023-12-29,17
2023-12-30,19
2023-12-31,51
2024-01-01,15
2024-01-02,14
2024-01-03,0
2024-01-04,10
2024-01-05,11
2024-01-06,13
2024-01-07,18
2024-01-08,12
2024-01-09,17
2024-01-10,13
2024-01-11,14
2024-01-12,19
2024-01-13,13
2024-01-14,19
2024-01-15,18
2024-01-16,18
2024-01-17,12
2024-01-18,14
2024-01-19,8
2024-01-20,14
