Time,herschel walker
2023-12-22,0
2023-12-23,12
2023-12-24,15
2023-12-25,15
2023-12-26,14
2023-12-27,22
2023-12-28,40
2023-12-29,18
2023-12-30,19
2023-12-31,52
2024-01-01,16
2024-01-02,14
2024-01-03,0
2024-01-04,10
2024-01-05,11
2024-01-06,13
2024-01-07,18
2024-01-08,12
2024-01-09,18
2024-01-10,13
2024-01-11,14
2024-01-12,20
2024-01-13,13
2024-01-14,19
2024-01-15,18
2024-01-16,18
2024-01-17,13
2024-01-18,15
2024-01-19,8
2024-01-20,14
2024-01-21,12
2024-01-22,11
2024-01-23,11
2024-01-24,15
2024-01-25,15
2024-01-26,9
2024-01-27,14
2024-01-28,11
2024-01-29,19
2024-01-30,0
2024-01-31,16
2024-02-01,7
2024-02-02,8
2024-02-03,16
2024-02-04,8
2024-02-05,10
2024-02-06,12
2024-02-07,8
2024-02-08,14
2024-02-09,12
2024-02-10,13
2024-02-11,26
2024-02-12,13
2024-02-13,10
2024-02-14,13
2024-02-15,9
2024-02-16,0
2024-02-17,9
2024-02-18,11
2024-02-19,11
2024-02-20,7
2024-02-21,13
2024-02-22,20
2024-02-23,15
2024-02-24,12
2024-02-25,14
2024-02-26,9
2024-02-27,13
2024-02-28,14
2024-02-29,13
2024-03-01,12
2024-03-02,0
2024-03-03,11
2024-03-04,19
2024-03-05,31
2024-03-06,33
2024-03-07,15
2024-03-08,16
2024-03-09,13
2024-03-10,8
2024-03-11,13
2024-03-12,20
2024-03-13,13
2024-03-14,12
2024-03-15,16
2024-03-16,15
2024-03-17,9
2024-03-18,11
2024-03-19,11
2024-03-20,13
2024-03-21,13
2024-03-22,100
2024-03-23,59
2024-03-24,34
2024-03-25,41
2024-03-26,27
2024-03-27,36
2024-03-28,31
2024-03-29,17
2024-03-30,14
2024-03-31,0
2024-04-01,12
2024-04-02,10
2024-04-03,17
2024-04-04,13
2024-04-05,10
2024-04-06,13
2024-04-07,14
2024-04-08,10
2024-04-09,10
2024-04-10,13
2024-04-11,24
2024-04-12,41
2024-04-13,14
2024-04-14,10
2024-04-15,9
2024-04-16,9
2024-04-17,12
2024-04-18,17
2024-04-19,13
2024-04-20,11
2024-04-21,13
2024-04-22,12
2024-04-23,19
2024-04-24,15
2024-04-25,18
2024-04-26,15
2024-04-27,15
2024-04-28,0
2024-04-29,21
2024-04-30,9
2024-05-01,11
2024-05-02,10
2024-05-03,12
2024-05-04,10
2024-05-05,11
2024-05-06,0
2024-05-07,14
2024-05-08,22
2024-05-09,11
2024-05-10,15
2024-05-11,9
2024-05-12,13
2024-05-13,14
2024-05-14,9
2024-05-15,10
2024-05-16,0
2024-05-17,13
2024-05-18,14
2024-05-19,0
2024-05-20,8
2024-05-21,9
2024-05-22,12
2024-05-23,8
2024-05-24,0
2024-05-25,0
2024-05-26,0
2024-05-27,13
2024-05-28,10
2024-05-29,11
2024-05-30,16
2024-05-31,18
2024-06-01,14
2024-06-02,13
2024-06-03,11
2024-06-04,12
2024-06-05,14
2024-06-06,8
2024-06-07,0
2024-06-08,0
2024-06-09,15
2024-06-10,9
2024-06-11,8
2024-06-12,11
2024-06-13,0
2024-06-14,16
2024-06-15,0
2024-06-16,20
2024-06-17,10
2024-06-18,7
2024-06-19,0
2024-06-20,10
2024-06-21,0
2024-06-22,10
2024-06-23,9
2024-06-24,12
2024-06-25,0
2024-06-26,8
2024-06-27,14
2024-06-28,11
2024-06-29,12
2024-06-30,0
2024-07-01,10
2024-07-02,8
2024-07-03,0
2024-07-04,0
2024-07-05,26
2024-07-06,30
2024-07-07,15
2024-07-08,12
2024-07-09,13
2024-07-10,9
2024-07-11,0
2024-07-12,11
2024-07-13,13
2024-07-14,10
2024-07-15,9
2024-07-16,11
2024-07-17,15
2024-07-18,14
2024-07-19,8
2024-07-20,9
2024-07-21,14
2024-07-22,0
2024-07-23,13
2024-07-24,9
2024-07-25,12
2024-07-26,12
2024-07-27,0
2024-07-28,9
2024-07-29,15
2024-07-30,19
2024-07-31,12
2024-08-01,11
2024-08-02,10
2024-08-03,12
2024-08-04,13
2024-08-05,7
2024-08-06,11
2024-08-07,0
2024-08-08,10
2024-08-09,8
2024-08-10,0
2024-08-11,0
2024-08-12,11
2024-08-13,0
2024-08-14,18
2024-08-15,11
2024-08-16,13
2024-08-17,13
2024-08-18,10
2024-08-19,7
2024-08-20,15
2024-08-21,14
2024-08-22,16
2024-08-23,20
2024-08-24,24
2024-08-25,12
2024-08-26,16
2024-08-27,16
2024-08-28,9
2024-08-29,9
2024-08-30,12
2024-08-31,18
2024-09-01,13
2024-09-02,17
2024-09-03,17
2024-09-04,16
2024-09-05,12
2024-09-06,13
2024-09-07,10
2024-09-08,12
2024-09-09,11
2024-09-10,11
2024-09-11,12
2024-09-12,12
2024-09-13,12
2024-09-14,11
2024-09-15,23
2024-09-16,15
