Time,casey white
2025-12-11,35
2025-12-12,0
2025-12-13,0
2025-12-14,29
2025-12-15,0
2025-12-16,30
2025-12-17,0
2025-12-18,0
2025-12-19,0
2025-12-20,0
2025-12-21,0
2025-12-22,0
2025-12-23,0
2025-12-24,0
2025-12-25,0
2025-12-26,0
2025-12-27,0
2025-12-28,0
2025-12-29,0
2025-12-30,32
2025-12-31,0
2026-01-01,0
2026-01-02,0
2026-01-03,39
2026-01-04,0
2026-01-05,33
2026-01-06,0
2026-01-07,30
2026-01-08,0
2026-01-09,0
2026-01-10,0
2026-01-11,47
2026-01-12,35
2026-01-13,0
2026-01-14,0
2026-01-15,0
2026-01-16,0
2026-01-17,49
2026-01-18,0
2026-01-19,27
2026-01-20,0
2026-01-21,0
2026-01-22,25
2026-01-23,35
2026-01-24,36
2026-01-25,0
2026-01-26,27
2026-01-27,0
2026-01-28,0
2026-01-29,47
2026-01-30,0
2026-01-31,31
2026-02-01,46
2026-02-02,47
2026-02-03,0
2026-02-04,24
2026-02-05,39
2026-02-06,33
2026-02-07,67
2026-02-08,38
2026-02-09,34
2026-02-10,50
2026-02-11,32
2026-02-12,31
2026-02-13,31
2026-02-14,38
2026-02-15,29
2026-02-16,26
2026-02-17,46
2026-02-18,52
2026-02-19,32
2026-02-20,35
2026-02-21,36
2026-02-22,43
2026-02-23,28
2026-02-24,39
2026-02-25,32
2026-02-26,45
2026-02-27,38
2026-02-28,37
2026-03-01,0
2026-03-02,50
2026-03-03,44
2026-03-04,55
2026-03-05,55
2026-03-06,41
2026-03-07,0
2026-03-08,40
2026-03-09,46
2026-03-10,29
2026-03-11,76
2026-03-12,39
2026-03-13,38
2026-03-14,0
2026-03-15,54
2026-03-16,26
2026-03-17,0
2026-03-18,0
2026-03-19,40
2026-03-20,28
2026-03-21,62
2026-03-22,37
2026-03-23,42
2026-03-24,48
2026-03-25,28
2026-03-26,48
2026-03-27,52
2026-03-28,59
2026-03-29,47
2026-03-30,52
2026-03-31,55
2026-04-01,33
2026-04-02,61
2026-04-03,89
2026-04-04,51
2026-04-05,50
2026-04-06,68
2026-04-07,73
2026-04-08,70
2026-04-09,65
2026-04-10,88
2026-04-11,91
2026-04-12,78
2026-04-13,48
2026-04-14,57
2026-04-15,77
2026-04-16,92
2026-04-17,82
2026-04-18,85
2026-04-19,47
2026-04-20,77
2026-04-21,46
2026-04-22,61
2026-04-23,65
2026-04-24,68
2026-04-25,47
2026-04-26,61
2026-04-27,62
2026-04-28,78
2026-04-29,54
2026-04-30,62
2026-05-01,49
2026-05-02,53
2026-05-03,30
2026-05-04,46
2026-05-05,63
2026-05-06,77
2026-05-07,69
2026-05-08,58
2026-05-09,72
2026-05-10,71
2026-05-11,50
2026-05-12,68
2026-05-13,77
2026-05-14,75
2026-05-15,66
2026-05-16,71
2026-05-17,100
2026-05-18,77
2026-05-19,65
2026-05-20,69
2026-05-21,35
2026-05-22,48
2026-05-23,63
2026-05-24,78
2026-05-25,39
2026-05-26,41
2026-05-27,53
2026-05-28,66
2026-05-29,47
2026-05-30,66
2026-05-31,58
