Time,southwest airlines
2022-01-01,38
2022-01-02,50
2022-01-03,58
2022-01-04,65
2022-01-05,61
2022-01-06,50
2022-01-07,51
2022-01-08,42
2022-01-09,44
2022-01-10,45
2022-01-11,46
2022-01-12,44
2022-01-13,50
2022-01-14,35
2022-01-15,38
2022-01-16,38
2022-01-17,38
2022-01-18,43
2022-01-19,45
2022-01-20,42
2022-01-21,42
2022-01-22,35
2022-01-23,39
2022-01-24,51
2022-01-25,43
2022-01-26,44
2022-01-27,45
2022-01-28,47
2022-01-29,44
2022-01-30,45
2022-01-31,50
2022-02-01,54
2022-02-02,52
2022-02-03,55
2022-02-04,54
2022-02-05,46
2022-02-06,48
2022-02-07,56
2022-02-08,57
2022-02-09,55
2022-02-10,43
2022-02-11,48
2022-02-12,40
2022-02-13,41
2022-02-14,51
2022-02-15,61
2022-02-16,63
2022-02-17,60
2022-02-18,56
2022-02-19,55
2022-02-20,55
2022-02-21,62
2022-02-22,62
2022-02-23,66
2022-02-24,63
2022-02-25,55
2022-02-26,51
2022-02-27,52
2022-02-28,60
2022-03-01,63
2022-03-02,60
2022-03-03,61
2022-03-04,55
2022-03-05,51
2022-03-06,56
2022-03-07,64
2022-03-08,69
2022-03-09,68
2022-03-10,68
2022-03-11,62
2022-03-12,62
2022-03-13,63
2022-03-14,60
2022-03-15,66
2022-03-16,63
2022-03-17,57
2022-03-18,56
2022-03-19,53
2022-03-20,56
2022-03-21,66
2022-03-22,64
2022-03-23,62
2022-03-24,61
2022-03-25,55
2022-03-26,50
2022-03-27,53
2022-03-28,54
2022-03-29,59
2022-03-30,62
2022-03-31,57
2022-04-01,58
2022-04-02,67
2022-04-03,80
2022-04-04,67
2022-04-05,60
2022-04-06,63
2022-04-07,61
2022-04-08,58
2022-04-09,51
2022-04-10,53
2022-04-11,59
2022-04-12,60
2022-04-13,58
2022-04-14,55
2022-04-15,51
2022-04-16,43
2022-04-17,43
2022-04-18,60
2022-04-19,69
2022-04-20,62
2022-04-21,57
2022-04-22,54
2022-04-23,47
2022-04-24,51
2022-04-25,56
2022-04-26,63
2022-04-27,58
2022-04-28,56
2022-04-29,55
2022-04-30,44
2022-05-01,55
2022-05-02,57
2022-05-03,59
2022-05-04,58
2022-05-05,53
2022-05-06,47
2022-05-07,44
2022-05-08,43
2022-05-09,55
2022-05-10,58
2022-05-11,58
2022-05-12,58
2022-05-13,55
2022-05-14,44
2022-05-15,47
2022-05-16,54
2022-05-17,58
2022-05-18,59
2022-05-19,54
2022-05-20,52
2022-05-21,51
2022-05-22,55
2022-05-23,59
2022-05-24,62
2022-05-25,57
2022-05-26,54
2022-05-27,52
2022-05-28,56
2022-05-29,62
2022-05-30,54
2022-05-31,60
2022-06-01,59
2022-06-02,59
2022-06-03,54
2022-06-04,48
2022-06-05,51
2022-06-06,59
2022-06-07,83
2022-06-08,100
2022-06-09,95
2022-06-10,71
2022-06-11,52
2022-06-12,60
2022-06-13,71
2022-06-14,68
2022-06-15,64
2022-06-16,74
2022-06-17,65
2022-06-18,56
2022-06-19,57
2022-06-20,78
2022-06-21,71
2022-06-22,66
2022-06-23,61
2022-06-24,55
2022-06-25,47
2022-06-26,51
2022-06-27,62
2022-06-28,62
2022-06-29,61
2022-06-30,56
2022-07-01,50
2022-07-02,45
2022-07-03,40
2022-07-04,42
2022-07-05,54
2022-07-06,59
2022-07-07,57
2022-07-08,55
2022-07-09,45
2022-07-10,49
2022-07-11,63
2022-07-12,62
2022-07-13,57
2022-07-14,59
2022-07-15,51
2022-07-16,47
2022-07-17,50
2022-07-18,57
2022-07-19,61
2022-07-20,56
2022-07-21,61
2022-07-22,56
2022-07-23,46
2022-07-24,51
2022-07-25,58
2022-07-26,59
2022-07-27,55
2022-07-28,57
2022-07-29,54
2022-07-30,41
2022-07-31,45
2022-08-01,57
2022-08-02,57
2022-08-03,53
2022-08-04,59
2022-08-05,55
2022-08-06,42
2022-08-07,47
2022-08-08,56
2022-08-09,57
2022-08-10,58
2022-08-11,55
2022-08-12,47
2022-08-13,39
2022-08-14,45
2022-08-15,53
2022-08-16,59
2022-08-17,57
2022-08-18,53
2022-08-19,49
2022-08-20,40
2022-08-21,47
2022-08-22,55
2022-08-23,57
2022-08-24,54
2022-08-25,53
2022-08-26,45
2022-08-27,40
2022-08-28,44
2022-08-29,50
2022-08-30,53
2022-08-31,53
2022-09-01,51
2022-09-02,48
2022-09-03,38
2022-09-04,38
2022-09-05,48
2022-09-06,56
2022-09-07,61
2022-09-08,60
2022-09-09,53
2022-09-10,38
2022-09-11,39
2022-09-12,53
2022-09-13,55
2022-09-14,57
2022-09-15,56
2022-09-16,47
2022-09-17,38
2022-09-18,40
2022-09-19,52
2022-09-20,56
2022-09-21,52
2022-09-22,52
2022-09-23,43
2022-09-24,38
2022-09-25,42
2022-09-26,53
2022-09-27,53
