Time,southwest airlines
2023-04-26,47
2023-04-27,46
2023-04-28,42
2023-04-29,39
2023-04-30,44
2023-05-01,51
2023-05-02,49
2023-05-03,47
2023-05-04,48
2023-05-05,41
2023-05-06,38
2023-05-07,40
2023-05-08,49
2023-05-09,50
2023-05-10,48
2023-05-11,44
2023-05-12,46
2023-05-13,41
2023-05-14,43
2023-05-15,55
2023-05-16,56
2023-05-17,52
2023-05-18,48
2023-05-19,48
2023-05-20,41
2023-05-21,45
2023-05-22,50
2023-05-23,52
2023-05-24,50
2023-05-25,49
2023-05-26,43
2023-05-27,40
2023-05-28,41
2023-05-29,45
2023-05-30,50
2023-05-31,48
2023-06-01,52
2023-06-02,44
2023-06-03,42
2023-06-04,45
2023-06-05,51
2023-06-06,55
2023-06-07,56
2023-06-08,60
2023-06-09,47
2023-06-10,44
2023-06-11,45
2023-06-12,57
2023-06-13,85
2023-06-14,100
2023-06-15,99
2023-06-16,70
2023-06-17,43
2023-06-18,48
2023-06-19,52
2023-06-20,54
2023-06-21,47
2023-06-22,49
2023-06-23,46
2023-06-24,42
2023-06-25,48
2023-06-26,59
2023-06-27,63
2023-06-28,59
2023-06-29,60
2023-06-30,54
2023-07-01,43
2023-07-02,43
2023-07-03,44
2023-07-04,43
2023-07-05,50
2023-07-06,51
2023-07-07,48
2023-07-08,42
2023-07-09,46
2023-07-10,49
2023-07-11,54
2023-07-12,51
2023-07-13,49
2023-07-14,44
2023-07-15,42
2023-07-16,48
2023-07-17,51
2023-07-18,49
2023-07-19,44
2023-07-20,44
2023-07-21,42
2023-07-22,42
2023-07-23,45
2023-07-24,46
2023-07-25,45
2023-07-26,45
2023-07-27,43
2023-07-28,39
2023-07-29,41
2023-07-30,43
2023-07-31,43
2023-08-01,46
2023-08-02,42
2023-08-03,49
2023-08-04,43
2023-08-05,36
2023-08-06,42
2023-08-07,47
2023-08-08,47
2023-08-09,41
2023-08-10,45
2023-08-11,43
2023-08-12,39
2023-08-13,46
2023-08-14,43
2023-08-15,44
2023-08-16,45
2023-08-17,44
2023-08-18,44
2023-08-19,41
2023-08-20,43
2023-08-21,47
2023-08-22,43
2023-08-23,42
2023-08-24,41
2023-08-25,36
2023-08-26,35
2023-08-27,39
2023-08-28,43
2023-08-29,43
2023-08-30,45
2023-08-31,44
2023-09-01,35
2023-09-02,35
2023-09-03,34
2023-09-04,40
2023-09-05,43
2023-09-06,41
2023-09-07,40
2023-09-08,37
2023-09-09,36
2023-09-10,38
2023-09-11,41
2023-09-12,37
2023-09-13,39
2023-09-14,40
2023-09-15,36
2023-09-16,36
2023-09-17,39
2023-09-18,39
2023-09-19,41
2023-09-20,38
2023-09-21,45
2023-09-22,38
2023-09-23,35
2023-09-24,41
2023-09-25,40
2023-09-26,68
2023-09-27,69
2023-09-28,69
2023-09-29,57
2023-09-30,46
2023-10-01,37
2023-10-02,40
2023-10-03,42
2023-10-04,40
2023-10-05,40
2023-10-06,38
2023-10-07,34
2023-10-08,38
2023-10-09,39
2023-10-10,41
2023-10-11,38
2023-10-12,39
2023-10-13,36
2023-10-14,37
2023-10-15,37
2023-10-16,38
2023-10-17,43
2023-10-18,42
2023-10-19,46
2023-10-20,39
2023-10-21,35
2023-10-22,38
2023-10-23,38
2023-10-24,40
2023-10-25,36
2023-10-26,37
2023-10-27,36
2023-10-28,31
2023-10-29,35
2023-10-30,39
2023-10-31,38
2023-11-01,37
2023-11-02,44
2023-11-03,38
2023-11-04,36
2023-11-05,37
2023-11-06,39
2023-11-07,37
2023-11-08,38
2023-11-09,39
2023-11-10,37
2023-11-11,33
2023-11-12,37
2023-11-13,37
2023-11-14,40
2023-11-15,37
2023-11-16,39
2023-11-17,34
2023-11-18,34
2023-11-19,34
2023-11-20,37
2023-11-21,37
2023-11-22,34
2023-11-23,32
2023-11-24,39
2023-11-25,37
2023-11-26,39
2023-11-27,48
2023-11-28,57
2023-11-29,44
2023-11-30,37
2023-12-01,33
2023-12-02,33
2023-12-03,34
2023-12-04,36
2023-12-05,37
2023-12-06,41
2023-12-07,36
2023-12-08,32
2023-12-09,34
2023-12-10,34
2023-12-11,33
2023-12-12,39
2023-12-13,36
2023-12-14,38
2023-12-15,42
2023-12-16,39
2023-12-17,37
2023-12-18,45
2023-12-19,40
2023-12-20,39
2023-12-21,37
2023-12-22,36
2023-12-23,34
2023-12-24,34
2023-12-25,40
2023-12-26,59
2023-12-27,55
2023-12-28,45
2023-12-29,40
2023-12-30,37
2023-12-31,37
2024-01-01,38
2024-01-02,45
2024-01-03,46
2024-01-04,46
2024-01-05,41
2024-01-06,42
2024-01-07,43
2024-01-08,47
2024-01-09,55
2024-01-10,57
2024-01-11,52
2024-01-12,47
2024-01-13,40
2024-01-14,41
2024-01-15,38
2024-01-16,47
2024-01-17,60
2024-01-18,47
2024-01-19,46
2024-01-20,40
