Time,adidas
2022-08-29,35
2022-08-30,36
2022-08-31,33
2022-09-01,33
2022-09-02,33
2022-09-03,40
2022-09-04,43
2022-09-05,42
2022-09-06,36
2022-09-07,33
2022-09-08,28
2022-09-09,27
2022-09-10,32
2022-09-11,30
2022-09-12,28
2022-09-13,26
2022-09-14,27
2022-09-15,27
2022-09-16,27
2022-09-17,30
2022-09-18,32
2022-09-19,27
2022-09-20,27
2022-09-21,24
2022-09-22,25
2022-09-23,27
2022-09-24,28
2022-09-25,30
2022-09-26,28
2022-09-27,27
2022-09-28,25
2022-09-29,27
2022-09-30,27
2022-10-01,31
2022-10-02,33
2022-10-03,28
2022-10-04,26
2022-10-05,28
2022-10-06,30
2022-10-07,31
2022-10-08,32
2022-10-09,32
2022-10-10,29
2022-10-11,29
2022-10-12,29
2022-10-13,28
2022-10-14,27
2022-10-15,29
2022-10-16,31
2022-10-17,29
2022-10-18,30
2022-10-19,28
2022-10-20,31
2022-10-21,30
2022-10-22,34
2022-10-23,37
2022-10-24,47
2022-10-25,100
2022-10-26,68
2022-10-27,50
2022-10-28,38
2022-10-29,39
2022-10-30,36
2022-10-31,30
2022-11-01,27
2022-11-02,30
2022-11-03,31
2022-11-04,32
2022-11-05,35
2022-11-06,33
2022-11-07,31
2022-11-08,28
2022-11-09,32
2022-11-10,33
2022-11-11,36
2022-11-12,39
2022-11-13,42
2022-11-14,37
2022-11-15,38
2022-11-16,32
2022-11-17,36
2022-11-18,38
2022-11-19,41
2022-11-20,44
2022-11-21,36
2022-11-22,40
2022-11-23,44
2022-11-24,47
2022-11-25,74
2022-11-26,66
2022-11-27,53
2022-11-28,49
2022-11-29,43
2022-11-30,35
2022-12-01,36
2022-12-02,36
2022-12-03,39
2022-12-04,40
2022-12-05,34
2022-12-06,33
2022-12-07,34
2022-12-08,35
2022-12-09,38
2022-12-10,42
2022-12-11,44
2022-12-12,38
2022-12-13,37
2022-12-14,34
2022-12-15,36
2022-12-16,34
2022-12-17,43
2022-12-18,44
2022-12-19,41
2022-12-20,37
2022-12-21,36
2022-12-22,34
2022-12-23,33
2022-12-24,35
2022-12-25,42
2022-12-26,45
2022-12-27,38
2022-12-28,33
2022-12-29,33
2022-12-30,33
2022-12-31,29
2023-01-01,27
2023-01-02,32
2023-01-03,30
2023-01-04,29
2023-01-05,26
2023-01-06,28
2023-01-07,32
2023-01-08,33
2023-01-09,25
2023-01-10,24
2023-01-11,23
2023-01-12,25
2023-01-13,27
2023-01-14,30
2023-01-15,29
2023-01-16,28
2023-01-17,26
2023-01-18,26
2023-01-19,24
2023-01-20,24
2023-01-21,29
2023-01-22,29
2023-01-23,25
2023-01-24,24
2023-01-25,24
2023-01-26,25
2023-01-27,25
2023-01-28,29
2023-01-29,29
2023-01-30,24
2023-01-31,23
2023-02-01,26
2023-02-02,25
2023-02-03,25
2023-02-04,28
2023-02-05,32
2023-02-06,26
2023-02-07,24
2023-02-08,25
2023-02-09,25
2023-02-10,30
2023-02-11,34
2023-02-12,36
2023-02-13,26
2023-02-14,25
2023-02-15,28
2023-02-16,27
2023-02-17,29
2023-02-18,36
2023-02-19,37
2023-02-20,33
2023-02-21,33
2023-02-22,28
2023-02-23,27
2023-02-24,32
2023-02-25,39
2023-02-26,38
2023-02-27,30
2023-02-28,28
2023-03-01,28
2023-03-02,31
2023-03-03,30
2023-03-04,33
2023-03-05,36
2023-03-06,29
2023-03-07,25
2023-03-08,28
2023-03-09,28
2023-03-10,28
2023-03-11,32
2023-03-12,35
2023-03-13,27
2023-03-14,25
2023-03-15,26
2023-03-16,25
2023-03-17,26
2023-03-18,32
2023-03-19,35
2023-03-20,30
2023-03-21,27
2023-03-22,26
2023-03-23,28
2023-03-24,32
2023-03-25,35
2023-03-26,37
2023-03-27,29
2023-03-28,29
2023-03-29,30
2023-03-30,28
2023-03-31,27
2023-04-01,33
2023-04-02,36
2023-04-03,31
2023-04-04,29
2023-04-05,28
2023-04-06,29
2023-04-07,28
2023-04-08,34
2023-04-09,36
2023-04-10,31
2023-04-11,29
2023-04-12,27
2023-04-13,31
2023-04-14,27
2023-04-15,33
2023-04-16,36
2023-04-17,28
2023-04-18,27
2023-04-19,28
2023-04-20,28
2023-04-21,28
2023-04-22,33
2023-04-23,36
2023-04-24,30
2023-04-25,28
2023-04-26,26
2023-04-27,26
2023-04-28,26
2023-04-29,30
2023-04-30,37
2023-05-01,28
2023-05-02,26
2023-05-03,25
2023-05-04,28
2023-05-05,27
2023-05-06,31
2023-05-07,34
2023-05-08,28
2023-05-09,28
2023-05-10,25
2023-05-11,28
2023-05-12,31
2023-05-13,39
2023-05-14,38
2023-05-15,31
2023-05-16,31
2023-05-17,28
2023-05-18,38
2023-05-19,42
2023-05-20,43
2023-05-21,42
2023-05-22,33
2023-05-23,29
2023-05-24,30
2023-05-25,32
