Time,restaurants near me
2022-08-29,34
2022-08-30,33
2022-08-31,31
2022-09-01,33
2022-09-02,43
2022-09-03,61
2022-09-04,72
2022-09-05,60
2022-09-06,30
2022-09-07,29
2022-09-08,28
2022-09-09,39
2022-09-10,60
2022-09-11,51
2022-09-12,32
2022-09-13,31
2022-09-14,30
2022-09-15,32
2022-09-16,43
2022-09-17,66
2022-09-18,53
2022-09-19,32
2022-09-20,31
2022-09-21,30
2022-09-22,32
2022-09-23,42
2022-09-24,63
2022-09-25,53
2022-09-26,31
2022-09-27,29
2022-09-28,29
2022-09-29,34
2022-09-30,42
2022-10-01,60
2022-10-02,52
2022-10-03,32
2022-10-04,29
2022-10-05,31
2022-10-06,34
2022-10-07,44
2022-10-08,66
2022-10-09,60
2022-10-10,37
2022-10-11,31
2022-10-12,31
2022-10-13,33
2022-10-14,43
2022-10-15,69
2022-10-16,56
2022-10-17,32
2022-10-18,30
2022-10-19,31
2022-10-20,31
2022-10-21,42
2022-10-22,64
2022-10-23,54
2022-10-24,30
2022-10-25,29
2022-10-26,29
2022-10-27,31
2022-10-28,39
2022-10-29,59
2022-10-30,49
2022-10-31,27
2022-11-01,28
2022-11-02,27
2022-11-03,31
2022-11-04,38
2022-11-05,61
2022-11-06,47
2022-11-07,29
2022-11-08,27
2022-11-09,25
2022-11-10,31
2022-11-11,42
2022-11-12,61
2022-11-13,49
2022-11-14,28
2022-11-15,25
2022-11-16,27
2022-11-17,28
2022-11-18,35
2022-11-19,55
2022-11-20,46
2022-11-21,31
2022-11-22,30
2022-11-23,34
2022-11-24,51
2022-11-25,41
2022-11-26,46
2022-11-27,41
2022-11-28,24
2022-11-29,24
2022-11-30,24
2022-12-01,27
2022-12-02,32
2022-12-03,51
2022-12-04,44
2022-12-05,27
2022-12-06,26
2022-12-07,26
2022-12-08,27
2022-12-09,34
2022-12-10,55
2022-12-11,48
2022-12-12,27
2022-12-13,26
2022-12-14,27
2022-12-15,28
2022-12-16,34
2022-12-17,53
2022-12-18,48
2022-12-19,35
2022-12-20,32
2022-12-21,33
2022-12-22,32
2022-12-23,34
2022-12-24,43
2022-12-25,100
2022-12-26,59
2022-12-27,45
2022-12-28,42
2022-12-29,44
2022-12-30,50
2022-12-31,52
2023-01-01,64
2023-01-02,47
2023-01-03,27
2023-01-04,27
2023-01-05,28
2023-01-06,35
2023-01-07,55
2023-01-08,47
2023-01-09,27
2023-01-10,27
2023-01-11,27
2023-01-12,28
2023-01-13,36
2023-01-14,61
2023-01-15,52
2023-01-16,37
2023-01-17,27
2023-01-18,27
2023-01-19,27
2023-01-20,35
2023-01-21,60
2023-01-22,45
2023-01-23,28
2023-01-24,27
2023-01-25,25
2023-01-26,29
2023-01-27,37
2023-01-28,59
2023-01-29,46
2023-01-30,26
2023-01-31,25
2023-02-01,27
2023-02-02,29
2023-02-03,37
2023-02-04,62
2023-02-05,54
2023-02-06,28
2023-02-07,28
2023-02-08,30
2023-02-09,30
2023-02-10,37
2023-02-11,63
2023-02-12,46
2023-02-13,30
2023-02-14,48
2023-02-15,40
2023-02-16,31
2023-02-17,43
2023-02-18,73
2023-02-19,65
2023-02-20,40
2023-02-21,30
2023-02-22,30
2023-02-23,31
2023-02-24,39
2023-02-25,68
2023-02-26,57
2023-02-27,30
2023-02-28,29
2023-03-01,28
2023-03-02,30
2023-03-03,36
2023-03-04,63
2023-03-05,58
2023-03-06,32
2023-03-07,29
2023-03-08,29
2023-03-09,32
2023-03-10,39
2023-03-11,60
2023-03-12,59
2023-03-13,33
2023-03-14,33
2023-03-15,33
2023-03-16,36
2023-03-17,45
2023-03-18,63
2023-03-19,55
2023-03-20,32
2023-03-21,30
2023-03-22,30
2023-03-23,33
2023-03-24,46
2023-03-25,68
2023-03-26,59
2023-03-27,32
2023-03-28,31
2023-03-29,32
2023-03-30,33
2023-03-31,42
2023-04-01,64
2023-04-02,57
2023-04-03,35
2023-04-04,33
2023-04-05,32
2023-04-06,35
2023-04-07,48
2023-04-08,57
2023-04-09,59
2023-04-10,34
2023-04-11,31
2023-04-12,31
2023-04-13,33
2023-04-14,43
2023-04-15,64
2023-04-16,56
2023-04-17,29
2023-04-18,28
2023-04-19,29
2023-04-20,31
2023-04-21,43
2023-04-22,68
2023-04-23,54
2023-04-24,30
2023-04-25,29
2023-04-26,29
2023-04-27,30
2023-04-28,41
2023-04-29,64
2023-04-30,54
2023-05-01,31
2023-05-02,29
2023-05-03,30
2023-05-04,31
2023-05-05,43
2023-05-06,64
2023-05-07,55
2023-05-08,33
2023-05-09,31
2023-05-10,30
2023-05-11,34
2023-05-12,43
2023-05-13,69
2023-05-14,75
2023-05-15,34
2023-05-16,31
2023-05-17,30
2023-05-18,34
2023-05-19,43
2023-05-20,64
2023-05-21,57
2023-05-22,32
2023-05-23,30
2023-05-24,33
2023-05-25,37
