Time,iready
2023-12-22,10
2023-12-23,3
2023-12-24,3
2023-12-25,2
2023-12-26,3
2023-12-27,4
2023-12-28,4
2023-12-29,3
2023-12-30,4
2023-12-31,3
2024-01-01,4
2024-01-02,27
2024-01-03,41
2024-01-04,54
2024-01-05,55
2024-01-06,6
2024-01-07,7
2024-01-08,77
2024-01-09,86
2024-01-10,95
2024-01-11,100
2024-01-12,76
2024-01-13,8
2024-01-14,6
2024-01-15,11
2024-01-16,59
2024-01-17,82
2024-01-18,90
2024-01-19,71
2024-01-20,9
2024-01-21,10
2024-01-22,78
2024-01-23,86
2024-01-24,90
2024-01-25,89
2024-01-26,77
2024-01-27,7
2024-01-28,10
2024-01-29,73
2024-01-30,78
2024-01-31,80
2024-02-01,75
2024-02-02,68
2024-02-03,8
2024-02-04,11
2024-02-05,72
2024-02-06,80
2024-02-07,74
2024-02-08,76
2024-02-09,69
2024-02-10,8
2024-02-11,9
2024-02-12,64
2024-02-13,64
2024-02-14,55
2024-02-15,73
2024-02-16,54
2024-02-17,6
2024-02-18,8
2024-02-19,19
2024-02-20,55
2024-02-21,55
2024-02-22,58
2024-02-23,54
2024-02-24,8
2024-02-25,8
2024-02-26,65
2024-02-27,67
2024-02-28,59
2024-02-29,67
2024-03-01,59
2024-03-02,7
2024-03-03,9
2024-03-04,62
2024-03-05,63
2024-03-06,64
2024-03-07,64
2024-03-08,57
2024-03-09,8
2024-03-10,10
2024-03-11,57
2024-03-12,61
2024-03-13,59
2024-03-14,57
2024-03-15,45
2024-03-16,6
2024-03-17,8
2024-03-18,59
2024-03-19,62
2024-03-20,59
2024-03-21,60
2024-03-22,49
2024-03-23,7
2024-03-24,7
2024-03-25,46
2024-03-26,47
2024-03-27,46
2024-03-28,39
2024-03-29,13
2024-03-30,4
2024-03-31,4
2024-04-01,23
2024-04-02,39
2024-04-03,39
2024-04-04,38
2024-04-05,37
2024-04-06,5
2024-04-07,7
2024-04-08,38
2024-04-09,56
2024-04-10,47
2024-04-11,55
2024-04-12,54
2024-04-13,7
2024-04-14,8
2024-04-15,58
2024-04-16,60
2024-04-17,57
2024-04-18,57
2024-04-19,46
2024-04-20,5
2024-04-21,7
2024-04-22,53
2024-04-23,55
2024-04-24,53
2024-04-25,52
2024-04-26,45
2024-04-27,7
2024-04-28,7
2024-04-29,59
2024-04-30,59
2024-05-01,61
2024-05-02,64
2024-05-03,55
2024-05-04,6
2024-05-05,8
2024-05-06,68
2024-05-07,70
2024-05-08,69
2024-05-09,69
2024-05-10,55
2024-05-11,7
2024-05-12,5
2024-05-13,69
2024-05-14,71
2024-05-15,66
2024-05-16,67
2024-05-17,58
2024-05-18,6
2024-05-19,7
2024-05-20,64
2024-05-21,66
2024-05-22,62
2024-05-23,56
2024-05-24,41
2024-05-25,6
2024-05-26,4
2024-05-27,6
2024-05-28,47
2024-05-29,53
2024-05-30,48
2024-05-31,40
2024-06-01,5
2024-06-02,6
2024-06-03,39
2024-06-04,37
2024-06-05,31
2024-06-06,22
2024-06-07,17
2024-06-08,4
2024-06-09,3
2024-06-10,25
2024-06-11,23
2024-06-12,19
2024-06-13,18
2024-06-14,11
2024-06-15,3
2024-06-16,2
2024-06-17,9
2024-06-18,10
2024-06-19,3
2024-06-20,9
2024-06-21,7
2024-06-22,2
2024-06-23,1
2024-06-24,9
2024-06-25,7
2024-06-26,6
2024-06-27,5
2024-06-28,3
2024-06-29,2
2024-06-30,2
2024-07-01,4
2024-07-02,6
2024-07-03,4
2024-07-04,1
2024-07-05,2
2024-07-06,0
2024-07-07,2
2024-07-08,4
2024-07-09,5
2024-07-10,5
2024-07-11,4
2024-07-12,3
2024-07-13,1
2024-07-14,2
2024-07-15,4
2024-07-16,5
2024-07-17,4
2024-07-18,4
2024-07-19,3
2024-07-20,2
2024-07-21,2
2024-07-22,4
2024-07-23,5
2024-07-24,5
2024-07-25,4
2024-07-26,3
2024-07-27,2
2024-07-28,3
2024-07-29,5
2024-07-30,7
2024-07-31,6
2024-08-01,7
2024-08-02,7
2024-08-03,2
2024-08-04,3
2024-08-05,8
2024-08-06,11
2024-08-07,11
2024-08-08,13
2024-08-09,13
2024-08-10,4
2024-08-11,4
2024-08-12,20
2024-08-13,30
2024-08-14,32
2024-08-15,39
2024-08-16,33
2024-08-17,6
2024-08-18,7
2024-08-19,41
2024-08-20,55
2024-08-21,58
2024-08-22,63
2024-08-23,55
2024-08-24,9
2024-08-25,8
2024-08-26,61
2024-08-27,72
2024-08-28,72
2024-08-29,75
2024-08-30,54
2024-08-31,7
2024-09-01,6
2024-09-02,8
2024-09-03,62
2024-09-04,77
2024-09-05,76
2024-09-06,70
2024-09-07,10
2024-09-08,10
2024-09-09,76
2024-09-10,83
2024-09-11,81
2024-09-12,82
2024-09-13,75
2024-09-14,10
2024-09-15,11
2024-09-16,83
