Time,ozark season 4
2022-08-29,83
2022-08-30,93
2022-08-31,72
2022-09-01,58
2022-09-02,85
2022-09-03,85
2022-09-04,90
2022-09-05,100
2022-09-06,73
2022-09-07,70
2022-09-08,72
2022-09-09,65
2022-09-10,73
2022-09-11,100
2022-09-12,65
2022-09-13,71
2022-09-14,48
2022-09-15,61
2022-09-16,69
2022-09-17,83
2022-09-18,70
2022-09-19,60
2022-09-20,60
2022-09-21,45
2022-09-22,68
2022-09-23,41
2022-09-24,59
2022-09-25,64
2022-09-26,33
2022-09-27,53
2022-09-28,48
2022-09-29,38
2022-09-30,55
2022-10-01,39
2022-10-02,65
2022-10-03,62
2022-10-04,51
2022-10-05,58
2022-10-06,54
2022-10-07,53
2022-10-08,78
2022-10-09,65
2022-10-10,54
2022-10-11,46
2022-10-12,58
2022-10-13,66
2022-10-14,45
2022-10-15,73
2022-10-16,76
2022-10-17,59
2022-10-18,33
2022-10-19,76
2022-10-20,41
2022-10-21,65
2022-10-22,55
2022-10-23,86
2022-10-24,67
2022-10-25,42
2022-10-26,39
2022-10-27,51
2022-10-28,42
2022-10-29,58
2022-10-30,81
2022-10-31,46
2022-11-01,44
2022-11-02,40
2022-11-03,49
2022-11-04,41
2022-11-05,55
2022-11-06,95
2022-11-07,29
2022-11-08,39
2022-11-09,27
2022-11-10,49
2022-11-11,42
2022-11-12,49
2022-11-13,58
2022-11-14,39
2022-11-15,49
2022-11-16,64
2022-11-17,62
2022-11-18,55
2022-11-19,0
2022-11-20,62
2022-11-21,46
2022-11-22,55
2022-11-23,0
2022-11-24,55
2022-11-25,54
2022-11-26,69
2022-11-27,62
2022-11-28,33
2022-11-29,41
2022-11-30,55
2022-12-01,61
2022-12-02,42
2022-12-03,46
2022-12-04,65
2022-12-05,49
2022-12-06,32
2022-12-07,27
2022-12-08,51
2022-12-09,35
2022-12-10,29
2022-12-11,60
2022-12-12,40
2022-12-13,48
2022-12-14,46
2022-12-15,31
2022-12-16,40
2022-12-17,78
2022-12-18,41
2022-12-19,48
2022-12-20,43
2022-12-21,49
2022-12-22,50
2022-12-23,57
2022-12-24,50
2022-12-25,53
2022-12-26,57
2022-12-27,53
2022-12-28,68
2022-12-29,67
2022-12-30,48
2022-12-31,70
2023-01-01,67
2023-01-02,70
2023-01-03,51
2023-01-04,40
2023-01-05,44
2023-01-06,52
2023-01-07,57
2023-01-08,72
2023-01-09,44
2023-01-10,38
2023-01-11,39
2023-01-12,34
2023-01-13,31
2023-01-14,46
2023-01-15,56
2023-01-16,64
2023-01-17,24
2023-01-18,47
2023-01-19,44
2023-01-20,47
2023-01-21,60
2023-01-22,48
2023-01-23,43
2023-01-24,36
2023-01-25,48
2023-01-26,60
2023-01-27,49
2023-01-28,56
2023-01-29,64
2023-01-30,26
2023-01-31,47
2023-02-01,34
2023-02-02,36
2023-02-03,41
2023-02-04,65
2023-02-05,82
2023-02-06,51
2023-02-07,35
2023-02-08,37
2023-02-09,38
2023-02-10,27
2023-02-11,46
2023-02-12,77
2023-02-13,28
2023-02-14,0
2023-02-15,41
2023-02-16,37
2023-02-17,26
2023-02-18,37
2023-02-19,63
2023-02-20,38
2023-02-21,58
2023-02-22,55
2023-02-23,35
2023-02-24,44
2023-02-25,45
2023-02-26,62
2023-02-27,39
2023-02-28,26
2023-03-01,32
2023-03-02,35
2023-03-03,0
2023-03-04,37
2023-03-05,32
2023-03-06,62
2023-03-07,58
2023-03-08,34
2023-03-09,27
2023-03-10,28
2023-03-11,0
2023-03-12,45
2023-03-13,35
2023-03-14,0
2023-03-15,46
2023-03-16,0
2023-03-17,27
2023-03-18,40
2023-03-19,43
2023-03-20,0
2023-03-21,40
2023-03-22,0
2023-03-23,38
2023-03-24,32
2023-03-25,0
2023-03-26,46
2023-03-27,44
2023-03-28,53
2023-03-29,43
2023-03-30,26
2023-03-31,30
2023-04-01,36
2023-04-02,42
2023-04-03,41
2023-04-04,24
2023-04-05,26
2023-04-06,29
2023-04-07,32
2023-04-08,31
2023-04-09,0
2023-04-10,25
2023-04-11,25
2023-04-12,0
2023-04-13,0
2023-04-14,0
2023-04-15,36
2023-04-16,58
2023-04-17,26
2023-04-18,0
2023-04-19,37
2023-04-20,27
2023-04-21,0
2023-04-22,36
2023-04-23,40
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,0
2023-04-28,36
2023-04-29,0
2023-04-30,0
2023-05-01,41
2023-05-02,39
2023-05-03,34
2023-05-04,0
2023-05-05,0
2023-05-06,34
2023-05-07,0
2023-05-08,36
2023-05-09,0
2023-05-10,35
2023-05-11,0
2023-05-12,0
2023-05-13,32
2023-05-14,0
2023-05-15,0
2023-05-16,0
2023-05-17,34
2023-05-18,0
2023-05-19,30
2023-05-20,35
2023-05-21,0
2023-05-22,0
2023-05-23,0
2023-05-24,0
2023-05-25,0
