Time,nikita dragun
2023-12-22,10
2023-12-23,0
2023-12-24,8
2023-12-25,0
2023-12-26,0
2023-12-27,10
2023-12-28,13
2023-12-29,8
2023-12-30,9
2023-12-31,10
2024-01-01,12
2024-01-02,7
2024-01-03,0
2024-01-04,12
2024-01-05,13
2024-01-06,8
2024-01-07,14
2024-01-08,8
2024-01-09,10
2024-01-10,12
2024-01-11,8
2024-01-12,51
2024-01-13,28
2024-01-14,63
2024-01-15,22
2024-01-16,22
2024-01-17,22
2024-01-18,12
2024-01-19,12
2024-01-20,13
2024-01-21,14
2024-01-22,13
2024-01-23,18
2024-01-24,10
2024-01-25,11
2024-01-26,9
2024-01-27,13
2024-01-28,13
2024-01-29,13
2024-01-30,14
2024-01-31,14
2024-02-01,15
2024-02-02,7
2024-02-03,57
2024-02-04,59
2024-02-05,58
2024-02-06,44
2024-02-07,56
2024-02-08,69
2024-02-09,37
2024-02-10,38
2024-02-11,28
2024-02-12,20
2024-02-13,20
2024-02-14,33
2024-02-15,93
2024-02-16,95
2024-02-17,48
2024-02-18,27
2024-02-19,33
2024-02-20,26
2024-02-21,28
2024-02-22,40
2024-02-23,22
2024-02-24,28
2024-02-25,19
2024-02-26,26
2024-02-27,28
2024-02-28,17
2024-02-29,14
2024-03-01,13
2024-03-02,13
2024-03-03,22
2024-03-04,31
2024-03-05,28
2024-03-06,90
2024-03-07,100
2024-03-08,27
2024-03-09,27
2024-03-10,83
2024-03-11,41
2024-03-12,46
2024-03-13,33
2024-03-14,46
2024-03-15,49
2024-03-16,59
2024-03-17,45
2024-03-18,29
2024-03-19,18
2024-03-20,23
2024-03-21,19
2024-03-22,22
2024-03-23,20
2024-03-24,22
2024-03-25,27
2024-03-26,26
2024-03-27,11
2024-03-28,12
2024-03-29,20
2024-03-30,27
2024-03-31,16
2024-04-01,13
2024-04-02,15
2024-04-03,11
2024-04-04,15
2024-04-05,19
2024-04-06,24
2024-04-07,31
2024-04-08,22
2024-04-09,17
2024-04-10,16
2024-04-11,13
2024-04-12,13
2024-04-13,23
2024-04-14,17
2024-04-15,20
2024-04-16,11
2024-04-17,10
2024-04-18,14
2024-04-19,10
2024-04-20,0
2024-04-21,0
2024-04-22,8
2024-04-23,0
2024-04-24,8
2024-04-25,11
2024-04-26,10
2024-04-27,0
2024-04-28,0
2024-04-29,8
2024-04-30,0
2024-05-01,9
2024-05-02,10
2024-05-03,18
2024-05-04,56
2024-05-05,41
2024-05-06,35
2024-05-07,27
2024-05-08,18
2024-05-09,20
2024-05-10,10
2024-05-11,15
2024-05-12,10
2024-05-13,12
2024-05-14,11
2024-05-15,15
2024-05-16,9
2024-05-17,0
2024-05-18,13
2024-05-19,16
2024-05-20,12
2024-05-21,13
2024-05-22,17
2024-05-23,18
2024-05-24,0
2024-05-25,12
2024-05-26,10
2024-05-27,11
2024-05-28,14
2024-05-29,10
2024-05-30,8
2024-05-31,9
2024-06-01,16
2024-06-02,17
2024-06-03,10
2024-06-04,12
2024-06-05,9
2024-06-06,8
2024-06-07,12
2024-06-08,15
2024-06-09,14
2024-06-10,17
2024-06-11,12
2024-06-12,15
2024-06-13,10
2024-06-14,8
2024-06-15,12
2024-06-16,0
2024-06-17,15
2024-06-18,16
2024-06-19,15
2024-06-20,14
2024-06-21,14
2024-06-22,25
2024-06-23,0
2024-06-24,0
2024-06-25,14
2024-06-26,8
2024-06-27,8
2024-06-28,16
2024-06-29,17
2024-06-30,18
2024-07-01,21
2024-07-02,19
2024-07-03,13
2024-07-04,21
2024-07-05,21
2024-07-06,22
2024-07-07,34
2024-07-08,20
2024-07-09,38
2024-07-10,61
2024-07-11,59
2024-07-12,60
2024-07-13,50
2024-07-14,42
2024-07-15,31
2024-07-16,37
2024-07-17,23
2024-07-18,26
2024-07-19,21
2024-07-20,26
2024-07-21,14
2024-07-22,11
2024-07-23,14
2024-07-24,10
2024-07-25,14
2024-07-26,12
2024-07-27,16
2024-07-28,10
2024-07-29,0
2024-07-30,0
2024-07-31,0
2024-08-01,16
2024-08-02,8
2024-08-03,11
2024-08-04,12
2024-08-05,12
2024-08-06,10
2024-08-07,8
2024-08-08,10
2024-08-09,10
2024-08-10,9
2024-08-11,9
2024-08-12,10
2024-08-13,10
2024-08-14,0
2024-08-15,10
2024-08-16,8
2024-08-17,10
2024-08-18,11
2024-08-19,17
2024-08-20,10
2024-08-21,0
2024-08-22,9
2024-08-23,0
2024-08-24,12
2024-08-25,10
2024-08-26,9
2024-08-27,7
2024-08-28,0
2024-08-29,12
2024-08-30,0
2024-08-31,14
2024-09-01,11
2024-09-02,0
2024-09-03,9
2024-09-04,8
2024-09-05,12
2024-09-06,9
2024-09-07,8
2024-09-08,0
2024-09-09,10
2024-09-10,0
2024-09-11,0
2024-09-12,9
2024-09-13,9
2024-09-14,10
2024-09-15,9
2024-09-16,7
