Time,nikita dragun
2023-04-26,20
2023-04-27,30
2023-04-28,29
2023-04-29,35
2023-04-30,17
2023-05-01,23
2023-05-02,23
2023-05-03,18
2023-05-04,11
2023-05-05,18
2023-05-06,23
2023-05-07,23
2023-05-08,18
2023-05-09,22
2023-05-10,11
2023-05-11,13
2023-05-12,18
2023-05-13,22
2023-05-14,22
2023-05-15,14
2023-05-16,18
2023-05-17,14
2023-05-18,19
2023-05-19,20
2023-05-20,23
2023-05-21,0
2023-05-22,21
2023-05-23,12
2023-05-24,22
2023-05-25,22
2023-05-26,14
2023-05-27,17
2023-05-28,23
2023-05-29,0
2023-05-30,16
2023-05-31,16
2023-06-01,17
2023-06-02,17
2023-06-03,25
2023-06-04,17
2023-06-05,20
2023-06-06,16
2023-06-07,19
2023-06-08,16
2023-06-09,18
2023-06-10,22
2023-06-11,17
2023-06-12,15
2023-06-13,17
2023-06-14,26
2023-06-15,22
2023-06-16,20
2023-06-17,18
2023-06-18,35
2023-06-19,21
2023-06-20,16
2023-06-21,22
2023-06-22,14
2023-06-23,31
2023-06-24,19
2023-06-25,27
2023-06-26,47
2023-06-27,40
2023-06-28,27
2023-06-29,30
2023-06-30,28
2023-07-01,25
2023-07-02,29
2023-07-03,31
2023-07-04,27
2023-07-05,23
2023-07-06,17
2023-07-07,15
2023-07-08,20
2023-07-09,23
2023-07-10,22
2023-07-11,22
2023-07-12,15
2023-07-13,18
2023-07-14,14
2023-07-15,24
2023-07-16,19
2023-07-17,0
2023-07-18,13
2023-07-19,14
2023-07-20,30
2023-07-21,19
2023-07-22,35
2023-07-23,29
2023-07-24,22
2023-07-25,16
2023-07-26,23
2023-07-27,38
2023-07-28,31
2023-07-29,26
2023-07-30,17
2023-07-31,19
2023-08-01,17
2023-08-02,17
2023-08-03,11
2023-08-04,16
2023-08-05,18
2023-08-06,20
2023-08-07,18
2023-08-08,0
2023-08-09,14
2023-08-10,13
2023-08-11,16
2023-08-12,15
2023-08-13,14
2023-08-14,20
2023-08-15,15
2023-08-16,16
2023-08-17,12
2023-08-18,16
2023-08-19,0
2023-08-20,20
2023-08-21,20
2023-08-22,23
2023-08-23,18
2023-08-24,0
2023-08-25,13
2023-08-26,14
2023-08-27,29
2023-08-28,26
2023-08-29,21
2023-08-30,17
2023-08-31,14
2023-09-01,18
2023-09-02,16
2023-09-03,21
2023-09-04,28
2023-09-05,23
2023-09-06,30
2023-09-07,13
2023-09-08,17
2023-09-09,16
2023-09-10,18
2023-09-11,0
2023-09-12,13
2023-09-13,22
2023-09-14,13
2023-09-15,11
2023-09-16,29
2023-09-17,28
2023-09-18,0
2023-09-19,0
2023-09-20,0
2023-09-21,14
2023-09-22,12
2023-09-23,20
2023-09-24,30
2023-09-25,15
2023-09-26,16
2023-09-27,0
2023-09-28,22
2023-09-29,14
2023-09-30,25
2023-10-01,20
2023-10-02,15
2023-10-03,13
2023-10-04,0
2023-10-05,13
2023-10-06,11
2023-10-07,17
2023-10-08,12
2023-10-09,0
2023-10-10,17
2023-10-11,16
2023-10-12,11
2023-10-13,15
2023-10-14,15
2023-10-15,19
2023-10-16,14
2023-10-17,17
2023-10-18,24
2023-10-19,19
2023-10-20,21
2023-10-21,20
2023-10-22,0
2023-10-23,13
2023-10-24,14
2023-10-25,17
2023-10-26,20
2023-10-27,16
2023-10-28,21
2023-10-29,12
2023-10-30,19
2023-10-31,0
2023-11-01,16
2023-11-02,16
2023-11-03,16
2023-11-04,13
2023-11-05,14
2023-11-06,20
2023-11-07,17
2023-11-08,23
2023-11-09,14
2023-11-10,25
2023-11-11,0
2023-11-12,0
2023-11-13,15
2023-11-14,0
2023-11-15,17
2023-11-16,0
2023-11-17,15
2023-11-18,16
2023-11-19,15
2023-11-20,17
2023-11-21,13
2023-11-22,18
2023-11-23,14
2023-11-24,18
2023-11-25,15
2023-11-26,19
2023-11-27,21
2023-11-28,23
2023-11-29,0
2023-11-30,0
2023-12-01,12
2023-12-02,19
2023-12-03,19
2023-12-04,15
2023-12-05,0
2023-12-06,15
2023-12-07,0
2023-12-08,0
2023-12-09,14
2023-12-10,11
2023-12-11,12
2023-12-12,15
2023-12-13,16
2023-12-14,0
2023-12-15,20
2023-12-16,18
2023-12-17,0
2023-12-18,14
2023-12-19,0
2023-12-20,19
2023-12-21,14
2023-12-22,16
2023-12-23,0
2023-12-24,13
2023-12-25,0
2023-12-26,0
2023-12-27,17
2023-12-28,20
2023-12-29,13
2023-12-30,14
2023-12-31,15
2024-01-01,19
2024-01-02,11
2024-01-03,0
2024-01-04,19
2024-01-05,20
2024-01-06,13
2024-01-07,22
2024-01-08,12
2024-01-09,16
2024-01-10,19
2024-01-11,13
2024-01-12,81
2024-01-13,44
2024-01-14,100
2024-01-15,35
2024-01-16,34
2024-01-17,34
2024-01-18,19
2024-01-19,18
2024-01-20,21
