Time,the quarry
2023-04-26,41
2023-04-27,48
2023-04-28,48
2023-04-29,69
2023-04-30,72
2023-05-01,52
2023-05-02,48
2023-05-03,52
2023-05-04,45
2023-05-05,47
2023-05-06,59
2023-05-07,67
2023-05-08,55
2023-05-09,42
2023-05-10,56
2023-05-11,49
2023-05-12,48
2023-05-13,56
2023-05-14,72
2023-05-15,48
2023-05-16,43
2023-05-17,45
2023-05-18,46
2023-05-19,51
2023-05-20,65
2023-05-21,75
2023-05-22,52
2023-05-23,50
2023-05-24,47
2023-05-25,53
2023-05-26,58
2023-05-27,74
2023-05-28,76
2023-05-29,80
2023-05-30,61
2023-05-31,54
2023-06-01,59
2023-06-02,65
2023-06-03,94
2023-06-04,100
2023-06-05,62
2023-06-06,92
2023-06-07,77
2023-06-08,75
2023-06-09,67
2023-06-10,72
2023-06-11,89
2023-06-12,64
2023-06-13,67
2023-06-14,65
2023-06-15,71
2023-06-16,67
2023-06-17,84
2023-06-18,76
2023-06-19,60
2023-06-20,59
2023-06-21,66
2023-06-22,62
2023-06-23,58
2023-06-24,73
2023-06-25,73
2023-06-26,62
2023-06-27,61
2023-06-28,61
2023-06-29,71
2023-06-30,65
2023-07-01,82
2023-07-02,87
2023-07-03,80
2023-07-04,86
2023-07-05,73
2023-07-06,58
2023-07-07,67
2023-07-08,76
2023-07-09,90
2023-07-10,64
2023-07-11,61
2023-07-12,68
2023-07-13,58
2023-07-14,61
2023-07-15,68
2023-07-16,77
2023-07-17,68
2023-07-18,62
2023-07-19,55
2023-07-20,64
2023-07-21,63
2023-07-22,68
2023-07-23,74
2023-07-24,67
2023-07-25,64
2023-07-26,54
2023-07-27,60
2023-07-28,67
2023-07-29,67
2023-07-30,77
2023-07-31,68
2023-08-01,62
2023-08-02,60
2023-08-03,56
2023-08-04,48
2023-08-05,67
2023-08-06,65
2023-08-07,57
2023-08-08,53
2023-08-09,50
2023-08-10,57
2023-08-11,60
2023-08-12,60
2023-08-13,70
2023-08-14,55
2023-08-15,50
2023-08-16,49
2023-08-17,46
2023-08-18,51
2023-08-19,69
2023-08-20,67
2023-08-21,53
2023-08-22,46
2023-08-23,50
2023-08-24,53
2023-08-25,46
2023-08-26,56
2023-08-27,75
2023-08-28,52
2023-08-29,45
2023-08-30,48
2023-08-31,46
2023-09-01,46
2023-09-02,58
2023-09-03,75
2023-09-04,70
2023-09-05,56
2023-09-06,43
2023-09-07,39
2023-09-08,46
2023-09-09,54
2023-09-10,58
2023-09-11,48
2023-09-12,39
2023-09-13,44
2023-09-14,39
2023-09-15,38
2023-09-16,54
2023-09-17,63
2023-09-18,50
2023-09-19,39
2023-09-20,37
2023-09-21,46
2023-09-22,46
2023-09-23,57
2023-09-24,56
2023-09-25,47
2023-09-26,45
2023-09-27,43
2023-09-28,43
2023-09-29,45
2023-09-30,54
2023-10-01,59
2023-10-02,52
2023-10-03,48
2023-10-04,48
2023-10-05,45
2023-10-06,47
2023-10-07,63
2023-10-08,62
2023-10-09,49
2023-10-10,46
2023-10-11,48
2023-10-12,45
2023-10-13,42
2023-10-14,63
2023-10-15,69
2023-10-16,46
2023-10-17,49
2023-10-18,43
2023-10-19,47
2023-10-20,48
2023-10-21,47
2023-10-22,65
2023-10-23,40
2023-10-24,35
2023-10-25,45
2023-10-26,37
2023-10-27,48
2023-10-28,57
2023-10-29,56
2023-10-30,45
2023-10-31,39
2023-11-01,41
2023-11-02,40
2023-11-03,42
2023-11-04,52
2023-11-05,50
2023-11-06,37
2023-11-07,45
2023-11-08,42
2023-11-09,37
2023-11-10,35
2023-11-11,50
2023-11-12,46
2023-11-13,40
2023-11-14,43
2023-11-15,30
2023-11-16,29
2023-11-17,42
2023-11-18,45
2023-11-19,47
2023-11-20,46
2023-11-21,41
2023-11-22,44
2023-11-23,39
2023-11-24,51
2023-11-25,48
2023-11-26,62
2023-11-27,44
2023-11-28,34
2023-11-29,38
2023-11-30,36
2023-12-01,36
2023-12-02,51
2023-12-03,44
2023-12-04,35
2023-12-05,40
2023-12-06,41
2023-12-07,37
2023-12-08,43
2023-12-09,43
2023-12-10,51
2023-12-11,36
2023-12-12,32
2023-12-13,35
2023-12-14,39
2023-12-15,34
2023-12-16,38
2023-12-17,39
2023-12-18,38
2023-12-19,34
2023-12-20,39
2023-12-21,35
2023-12-22,39
2023-12-23,51
2023-12-24,35
2023-12-25,37
2023-12-26,55
2023-12-27,60
2023-12-28,49
2023-12-29,55
2023-12-30,70
2023-12-31,68
2024-01-01,58
2024-01-02,47
2024-01-03,47
2024-01-04,44
2024-01-05,44
2024-01-06,60
2024-01-07,64
2024-01-08,37
2024-01-09,44
2024-01-10,46
2024-01-11,45
2024-01-12,45
2024-01-13,55
2024-01-14,57
2024-01-15,53
2024-01-16,54
2024-01-17,48
2024-01-18,45
2024-01-19,47
2024-01-20,52
