Time,the quarry
2023-12-22,23
2023-12-23,30
2023-12-24,20
2023-12-25,22
2023-12-26,32
2023-12-27,35
2023-12-28,29
2023-12-29,32
2023-12-30,40
2023-12-31,39
2024-01-01,34
2024-01-02,27
2024-01-03,27
2024-01-04,26
2024-01-05,25
2024-01-06,34
2024-01-07,37
2024-01-08,21
2024-01-09,25
2024-01-10,27
2024-01-11,26
2024-01-12,26
2024-01-13,32
2024-01-14,33
2024-01-15,31
2024-01-16,32
2024-01-17,28
2024-01-18,26
2024-01-19,27
2024-01-20,30
2024-01-21,29
2024-01-22,24
2024-01-23,22
2024-01-24,24
2024-01-25,20
2024-01-26,25
2024-01-27,30
2024-01-28,29
2024-01-29,19
2024-01-30,21
2024-01-31,26
2024-02-01,24
2024-02-02,26
2024-02-03,31
2024-02-04,30
2024-02-05,20
2024-02-06,23
2024-02-07,23
2024-02-08,19
2024-02-09,22
2024-02-10,31
2024-02-11,28
2024-02-12,22
2024-02-13,25
2024-02-14,22
2024-02-15,20
2024-02-16,27
2024-02-17,28
2024-02-18,28
2024-02-19,30
2024-02-20,21
2024-02-21,22
2024-02-22,20
2024-02-23,25
2024-02-24,31
2024-02-25,33
2024-02-26,24
2024-02-27,23
2024-02-28,20
2024-02-29,24
2024-03-01,26
2024-03-02,27
2024-03-03,29
2024-03-04,24
2024-03-05,25
2024-03-06,24
2024-03-07,21
2024-03-08,25
2024-03-09,27
2024-03-10,33
2024-03-11,25
2024-03-12,21
2024-03-13,23
2024-03-14,24
2024-03-15,21
2024-03-16,31
2024-03-17,25
2024-03-18,24
2024-03-19,27
2024-03-20,38
2024-03-21,50
2024-03-22,64
2024-03-23,88
2024-03-24,100
2024-03-25,69
2024-03-26,59
2024-03-27,55
2024-03-28,58
2024-03-29,56
2024-03-30,63
2024-03-31,67
2024-04-01,55
2024-04-02,42
2024-04-03,45
2024-04-04,39
2024-04-05,39
2024-04-06,52
2024-04-07,55
2024-04-08,40
2024-04-09,35
2024-04-10,39
2024-04-11,34
2024-04-12,30
2024-04-13,44
2024-04-14,48
2024-04-15,35
2024-04-16,29
2024-04-17,32
2024-04-18,34
2024-04-19,35
2024-04-20,40
2024-04-21,48
2024-04-22,34
2024-04-23,30
2024-04-24,30
2024-04-25,29
2024-04-26,30
2024-04-27,40
2024-04-28,43
2024-04-29,32
2024-04-30,27
2024-05-01,27
2024-05-02,23
2024-05-03,25
2024-05-04,40
2024-05-05,38
2024-05-06,34
2024-05-07,32
2024-05-08,30
2024-05-09,23
2024-05-10,26
2024-05-11,35
2024-05-12,41
2024-05-13,27
2024-05-14,31
2024-05-15,26
2024-05-16,26
2024-05-17,31
2024-05-18,34
2024-05-19,40
2024-05-20,32
2024-05-21,29
2024-05-22,30
2024-05-23,28
2024-05-24,34
2024-05-25,38
2024-05-26,38
2024-05-27,42
2024-05-28,32
2024-05-29,30
2024-05-30,35
2024-05-31,35
2024-06-01,40
2024-06-02,44
2024-06-03,30
2024-06-04,32
2024-06-05,37
2024-06-06,33
2024-06-07,38
2024-06-08,43
2024-06-09,45
2024-06-10,38
2024-06-11,36
2024-06-12,36
2024-06-13,33
2024-06-14,37
2024-06-15,48
2024-06-16,43
2024-06-17,38
2024-06-18,36
2024-06-19,39
2024-06-20,39
2024-06-21,39
2024-06-22,41
2024-06-23,39
2024-06-24,33
2024-06-25,31
2024-06-26,31
2024-06-27,41
2024-06-28,34
2024-06-29,42
2024-06-30,45
2024-07-01,41
2024-07-02,33
2024-07-03,33
2024-07-04,40
2024-07-05,35
2024-07-06,39
2024-07-07,43
2024-07-08,38
2024-07-09,30
2024-07-10,34
2024-07-11,38
2024-07-12,29
2024-07-13,36
2024-07-14,33
2024-07-15,27
2024-07-16,27
2024-07-17,31
2024-07-18,33
2024-07-19,34
2024-07-20,40
2024-07-21,36
2024-07-22,33
2024-07-23,35
2024-07-24,33
2024-07-25,36
2024-07-26,34
2024-07-27,37
2024-07-28,43
2024-07-29,34
2024-07-30,29
2024-07-31,45
2024-08-01,46
2024-08-02,43
2024-08-03,41
2024-08-04,43
2024-08-05,38
2024-08-06,32
2024-08-07,29
2024-08-08,29
2024-08-09,28
2024-08-10,38
2024-08-11,39
2024-08-12,30
2024-08-13,30
2024-08-14,29
2024-08-15,28
2024-08-16,29
2024-08-17,39
2024-08-18,33
2024-08-19,28
2024-08-20,25
2024-08-21,26
2024-08-22,30
2024-08-23,26
2024-08-24,34
2024-08-25,38
2024-08-26,29
2024-08-27,25
2024-08-28,27
2024-08-29,23
2024-08-30,23
2024-08-31,34
2024-09-01,38
2024-09-02,34
2024-09-03,29
2024-09-04,26
2024-09-05,25
2024-09-06,27
2024-09-07,36
2024-09-08,41
2024-09-09,33
2024-09-10,31
2024-09-11,26
2024-09-12,31
2024-09-13,31
2024-09-14,34
2024-09-15,38
2024-09-16,30
