Time,quizizz
2023-04-26,69
2023-04-27,66
2023-04-28,60
2023-04-29,4
2023-04-30,5
2023-05-01,72
2023-05-02,62
2023-05-03,56
2023-05-04,59
2023-05-05,56
2023-05-06,4
2023-05-07,4
2023-05-08,62
2023-05-09,51
2023-05-10,51
2023-05-11,52
2023-05-12,47
2023-05-13,3
2023-05-14,4
2023-05-15,52
2023-05-16,48
2023-05-17,45
2023-05-18,42
2023-05-19,35
2023-05-20,3
2023-05-21,3
2023-05-22,41
2023-05-23,37
2023-05-24,30
2023-05-25,28
2023-05-26,17
2023-05-27,2
2023-05-28,1
2023-05-29,3
2023-05-30,20
2023-05-31,19
2023-06-01,16
2023-06-02,13
2023-06-03,1
2023-06-04,2
2023-06-05,14
2023-06-06,15
2023-06-07,14
2023-06-08,12
2023-06-09,8
2023-06-10,1
2023-06-11,1
2023-06-12,11
2023-06-13,13
2023-06-14,11
2023-06-15,9
2023-06-16,5
2023-06-17,0
2023-06-18,1
2023-06-19,3
2023-06-20,6
2023-06-21,6
2023-06-22,6
2023-06-23,3
2023-06-24,1
2023-06-25,1
2023-06-26,4
2023-06-27,5
2023-06-28,5
2023-06-29,4
2023-06-30,2
2023-07-01,0
2023-07-02,1
2023-07-03,2
2023-07-04,1
2023-07-05,2
2023-07-06,2
2023-07-07,2
2023-07-08,1
2023-07-09,1
2023-07-10,2
2023-07-11,3
2023-07-12,3
2023-07-13,3
2023-07-14,2
2023-07-15,1
2023-07-16,1
2023-07-17,3
2023-07-18,3
2023-07-19,2
2023-07-20,3
2023-07-21,2
2023-07-22,1
2023-07-23,1
2023-07-24,3
2023-07-25,3
2023-07-26,3
2023-07-27,3
2023-07-28,3
2023-07-29,0
2023-07-30,1
2023-07-31,3
2023-08-01,4
2023-08-02,6
2023-08-03,7
2023-08-04,11
2023-08-05,1
2023-08-06,1
2023-08-07,11
2023-08-08,14
2023-08-09,18
2023-08-10,23
2023-08-11,32
2023-08-12,1
2023-08-13,2
2023-08-14,27
2023-08-15,34
2023-08-16,43
2023-08-17,54
2023-08-18,65
2023-08-19,2
2023-08-20,3
2023-08-21,49
2023-08-22,55
2023-08-23,63
2023-08-24,75
2023-08-25,89
2023-08-26,3
2023-08-27,4
2023-08-28,64
2023-08-29,78
2023-08-30,77
2023-08-31,84
2023-09-01,93
2023-09-02,3
2023-09-03,3
2023-09-04,4
2023-09-05,76
2023-09-06,89
2023-09-07,87
2023-09-08,90
2023-09-09,3
2023-09-10,5
2023-09-11,75
2023-09-12,86
2023-09-13,88
2023-09-14,93
2023-09-15,100
2023-09-16,3
2023-09-17,5
2023-09-18,77
2023-09-19,84
2023-09-20,82
2023-09-21,99
2023-09-22,88
2023-09-23,4
2023-09-24,5
2023-09-25,64
2023-09-26,79
2023-09-27,85
2023-09-28,95
2023-09-29,99
2023-09-30,4
2023-10-01,5
2023-10-02,75
2023-10-03,81
2023-10-04,83
2023-10-05,98
2023-10-06,74
2023-10-07,3
2023-10-08,4
2023-10-09,43
2023-10-10,66
2023-10-11,64
2023-10-12,64
2023-10-13,57
2023-10-14,3
2023-10-15,4
2023-10-16,62
2023-10-17,65
2023-10-18,66
2023-10-19,74
2023-10-20,68
2023-10-21,4
2023-10-22,5
2023-10-23,65
2023-10-24,69
2023-10-25,69
2023-10-26,72
2023-10-27,69
2023-10-28,3
2023-10-29,4
2023-10-30,63
2023-10-31,72
2023-11-01,80
2023-11-02,77
2023-11-03,76
2023-11-04,4
2023-11-05,4
2023-11-06,64
2023-11-07,61
2023-11-08,75
2023-11-09,81
2023-11-10,50
2023-11-11,3
2023-11-12,4
2023-11-13,72
2023-11-14,82
2023-11-15,89
2023-11-16,79
2023-11-17,69
2023-11-18,3
2023-11-19,3
2023-11-20,28
2023-11-21,26
2023-11-22,7
2023-11-23,2
2023-11-24,2
2023-11-25,2
2023-11-26,2
2023-11-27,58
2023-11-28,65
2023-11-29,68
2023-11-30,72
2023-12-01,72
2023-12-02,4
2023-12-03,4
2023-12-04,64
2023-12-05,70
2023-12-06,69
2023-12-07,70
2023-12-08,66
2023-12-09,3
2023-12-10,5
2023-12-11,64
2023-12-12,69
2023-12-13,66
2023-12-14,73
2023-12-15,59
2023-12-16,3
2023-12-17,4
2023-12-18,47
2023-12-19,40
2023-12-20,30
2023-12-21,19
2023-12-22,8
2023-12-23,1
2023-12-24,1
2023-12-25,1
2023-12-26,1
2023-12-27,1
2023-12-28,2
2023-12-29,1
2023-12-30,1
2023-12-31,1
2024-01-01,1
2024-01-02,10
2024-01-03,21
2024-01-04,32
2024-01-05,37
2024-01-06,2
2024-01-07,3
2024-01-08,45
2024-01-09,46
2024-01-10,59
2024-01-11,65
2024-01-12,62
2024-01-13,2
2024-01-14,2
2024-01-15,5
2024-01-16,33
2024-01-17,48
2024-01-18,59
2024-01-19,58
2024-01-20,3
