Time,quizizz
2022-01-01,1
2022-01-02,2
2022-01-03,9
2022-01-04,20
2022-01-05,25
2022-01-06,23
2022-01-07,29
2022-01-08,3
2022-01-09,2
2022-01-10,25
2022-01-11,33
2022-01-12,28
2022-01-13,34
2022-01-14,27
2022-01-15,4
2022-01-16,3
2022-01-17,4
2022-01-18,27
2022-01-19,32
2022-01-20,35
2022-01-21,33
2022-01-22,4
2022-01-23,4
2022-01-24,28
2022-01-25,28
2022-01-26,29
2022-01-27,36
2022-01-28,37
2022-01-29,4
2022-01-30,3
2022-01-31,32
2022-02-01,33
2022-02-02,31
2022-02-03,32
2022-02-04,26
2022-02-05,4
2022-02-06,4
2022-02-07,30
2022-02-08,37
2022-02-09,35
2022-02-10,35
2022-02-11,38
2022-02-12,4
2022-02-13,4
2022-02-14,27
2022-02-15,34
2022-02-16,36
2022-02-17,36
2022-02-18,27
2022-02-19,4
2022-02-20,3
2022-02-21,9
2022-02-22,28
2022-02-23,29
2022-02-24,31
2022-02-25,32
2022-02-26,6
2022-02-27,4
2022-02-28,30
2022-03-01,34
2022-03-02,34
2022-03-03,33
2022-03-04,33
2022-03-05,4
2022-03-06,3
2022-03-07,28
2022-03-08,29
2022-03-09,30
2022-03-10,33
2022-03-11,21
2022-03-12,4
2022-03-13,3
2022-03-14,17
2022-03-15,19
2022-03-16,19
2022-03-17,19
2022-03-18,16
2022-03-19,4
2022-03-20,3
2022-03-21,24
2022-03-22,28
2022-03-23,29
2022-03-24,33
2022-03-25,86
2022-03-26,5
2022-03-27,5
2022-03-28,81
2022-03-29,89
2022-03-30,31
2022-03-31,90
2022-04-01,88
2022-04-02,5
2022-04-03,5
2022-04-04,71
2022-04-05,68
2022-04-06,79
2022-04-07,78
2022-04-08,87
2022-04-09,5
2022-04-10,6
2022-04-11,82
2022-04-12,81
2022-04-13,84
2022-04-14,79
2022-04-15,28
2022-04-16,3
2022-04-17,4
2022-04-18,57
2022-04-19,70
2022-04-20,78
2022-04-21,82
2022-04-22,79
2022-04-23,6
2022-04-24,5
2022-04-25,100
2022-04-26,86
2022-04-27,82
2022-04-28,94
2022-04-29,84
2022-04-30,7
2022-05-01,6
2022-05-02,85
2022-05-03,78
2022-05-04,86
2022-05-05,85
2022-05-06,86
2022-05-07,6
2022-05-08,6
2022-05-09,88
2022-05-10,69
2022-05-11,71
2022-05-12,82
2022-05-13,79
2022-05-14,4
2022-05-15,5
2022-05-16,75
2022-05-17,72
2022-05-18,71
2022-05-19,71
2022-05-20,59
2022-05-21,3
2022-05-22,5
2022-05-23,58
2022-05-24,51
2022-05-25,45
2022-05-26,38
2022-05-27,25
2022-05-28,3
2022-05-29,3
2022-05-30,3
2022-05-31,27
2022-06-01,24
2022-06-02,23
2022-06-03,17
2022-06-04,2
2022-06-05,4
2022-06-06,21
2022-06-07,21
2022-06-08,21
2022-06-09,18
2022-06-10,14
2022-06-11,2
2022-06-12,2
2022-06-13,16
2022-06-14,19
2022-06-15,16
2022-06-16,15
2022-06-17,8
2022-06-18,2
2022-06-19,2
2022-06-20,7
2022-06-21,9
2022-06-22,11
2022-06-23,11
2022-06-24,4
2022-06-25,1
2022-06-26,1
2022-06-27,7
2022-06-28,6
2022-06-29,7
2022-06-30,5
2022-07-01,2
2022-07-02,1
2022-07-03,1
2022-07-04,1
2022-07-05,3
2022-07-06,4
2022-07-07,3
2022-07-08,2
2022-07-09,1
2022-07-10,1
2022-07-11,3
2022-07-12,4
2022-07-13,4
2022-07-14,4
2022-07-15,2
2022-07-16,1
2022-07-17,1
2022-07-18,3
2022-07-19,3
2022-07-20,3
2022-07-21,4
2022-07-22,2
2022-07-23,1
2022-07-24,0
2022-07-25,3
2022-07-26,3
2022-07-27,3
2022-07-28,3
2022-07-29,3
2022-07-30,1
2022-07-31,1
2022-08-01,3
2022-08-02,6
2022-08-03,6
2022-08-04,9
2022-08-05,11
2022-08-06,2
2022-08-07,1
2022-08-08,13
2022-08-09,16
2022-08-10,20
2022-08-11,26
2022-08-12,36
2022-08-13,2
2022-08-14,3
2022-08-15,32
2022-08-16,37
2022-08-17,49
2022-08-18,58
2022-08-19,68
2022-08-20,3
2022-08-21,4
2022-08-22,46
2022-08-23,54
2022-08-24,64
2022-08-25,71
2022-08-26,78
2022-08-27,3
2022-08-28,4
2022-08-29,61
2022-08-30,66
2022-08-31,77
2022-09-01,78
2022-09-02,81
2022-09-03,3
2022-09-04,3
2022-09-05,6
2022-09-06,65
2022-09-07,80
2022-09-08,87
2022-09-09,90
2022-09-10,5
2022-09-11,6
2022-09-12,72
2022-09-13,78
2022-09-14,84
2022-09-15,88
2022-09-16,89
2022-09-17,4
2022-09-18,6
2022-09-19,75
2022-09-20,81
2022-09-21,85
2022-09-22,81
2022-09-23,85
2022-09-24,4
2022-09-25,5
2022-09-26,61
2022-09-27,73
