Time,google snake
2022-08-29,58
2022-08-30,66
2022-08-31,70
2022-09-01,80
2022-09-02,73
2022-09-03,9
2022-09-04,8
2022-09-05,9
2022-09-06,78
2022-09-07,82
2022-09-08,89
2022-09-09,100
2022-09-10,10
2022-09-11,8
2022-09-12,82
2022-09-13,91
2022-09-14,91
2022-09-15,99
2022-09-16,96
2022-09-17,11
2022-09-18,9
2022-09-19,80
2022-09-20,87
2022-09-21,94
2022-09-22,87
2022-09-23,90
2022-09-24,10
2022-09-25,9
2022-09-26,60
2022-09-27,67
2022-09-28,74
2022-09-29,76
2022-09-30,82
2022-10-01,10
2022-10-02,9
2022-10-03,61
2022-10-04,72
2022-10-05,58
2022-10-06,77
2022-10-07,73
2022-10-08,9
2022-10-09,8
2022-10-10,45
2022-10-11,67
2022-10-12,57
2022-10-13,65
2022-10-14,62
2022-10-15,9
2022-10-16,9
2022-10-17,57
2022-10-18,76
2022-10-19,67
2022-10-20,63
2022-10-21,67
2022-10-22,10
2022-10-23,10
2022-10-24,58
2022-10-25,65
2022-10-26,61
2022-10-27,63
2022-10-28,64
2022-10-29,9
2022-10-30,9
2022-10-31,56
2022-11-01,61
2022-11-02,62
2022-11-03,64
2022-11-04,69
2022-11-05,10
2022-11-06,9
2022-11-07,47
2022-11-08,48
2022-11-09,51
2022-11-10,54
2022-11-11,39
2022-11-12,9
2022-11-13,9
2022-11-14,49
2022-11-15,51
2022-11-16,52
2022-11-17,60
2022-11-18,53
2022-11-19,10
2022-11-20,10
2022-11-21,33
2022-11-22,36
2022-11-23,15
2022-11-24,9
2022-11-25,8
2022-11-26,7
2022-11-27,8
2022-11-28,41
2022-11-29,45
2022-11-30,46
2022-12-01,47
2022-12-02,47
2022-12-03,10
2022-12-04,9
2022-12-05,51
2022-12-06,52
2022-12-07,51
2022-12-08,54
2022-12-09,54
2022-12-10,9
2022-12-11,8
2022-12-12,50
2022-12-13,47
2022-12-14,49
2022-12-15,53
2022-12-16,49
2022-12-17,9
2022-12-18,8
2022-12-19,33
2022-12-20,33
2022-12-21,30
2022-12-22,21
2022-12-23,11
2022-12-24,7
2022-12-25,7
2022-12-26,6
2022-12-27,6
2022-12-28,6
2022-12-29,6
2022-12-30,6
2022-12-31,6
2023-01-01,6
2023-01-02,6
2023-01-03,20
2023-01-04,27
2023-01-05,32
2023-01-06,37
2023-01-07,7
2023-01-08,6
2023-01-09,37
2023-01-10,42
2023-01-11,42
2023-01-12,45
2023-01-13,46
2023-01-14,7
2023-01-15,6
2023-01-16,8
2023-01-17,42
2023-01-18,43
2023-01-19,47
2023-01-20,49
2023-01-21,7
2023-01-22,7
2023-01-23,40
2023-01-24,45
2023-01-25,38
2023-01-26,43
2023-01-27,46
2023-01-28,7
2023-01-29,7
2023-01-30,43
2023-01-31,44
2023-02-01,44
2023-02-02,44
2023-02-03,47
2023-02-04,8
2023-02-05,7
2023-02-06,42
2023-02-07,48
2023-02-08,43
2023-02-09,46
2023-02-10,44
2023-02-11,8
2023-02-12,7
2023-02-13,37
2023-02-14,42
2023-02-15,44
2023-02-16,48
2023-02-17,39
2023-02-18,8
2023-02-19,7
2023-02-20,12
2023-02-21,33
2023-02-22,36
2023-02-23,35
2023-02-24,38
2023-02-25,8
2023-02-26,7
2023-02-27,41
2023-02-28,37
2023-03-01,41
2023-03-02,41
2023-03-03,39
2023-03-04,8
2023-03-05,7
2023-03-06,36
2023-03-07,39
2023-03-08,43
2023-03-09,43
2023-03-10,41
2023-03-11,7
2023-03-12,8
2023-03-13,29
2023-03-14,31
2023-03-15,36
2023-03-16,41
2023-03-17,40
2023-03-18,8
2023-03-19,8
2023-03-20,44
2023-03-21,56
2023-03-22,51
2023-03-23,51
2023-03-24,55
2023-03-25,8
2023-03-26,9
2023-03-27,42
2023-03-28,44
2023-03-29,38
2023-03-30,46
2023-03-31,45
2023-04-01,8
2023-04-02,8
2023-04-03,37
2023-04-04,40
2023-04-05,41
2023-04-06,41
2023-04-07,18
2023-04-08,8
2023-04-09,7
2023-04-10,36
2023-04-11,47
2023-04-12,45
2023-04-13,49
2023-04-14,50
2023-04-15,8
2023-04-16,8
2023-04-17,47
2023-04-18,52
2023-04-19,54
2023-04-20,60
2023-04-21,57
2023-04-22,9
2023-04-23,9
2023-04-24,50
2023-04-25,58
2023-04-26,58
2023-04-27,64
2023-04-28,64
2023-04-29,10
2023-04-30,9
2023-05-01,55
2023-05-02,56
2023-05-03,57
2023-05-04,61
2023-05-05,61
2023-05-06,11
2023-05-07,11
2023-05-08,90
2023-05-09,84
2023-05-10,83
2023-05-11,91
2023-05-12,87
2023-05-13,11
2023-05-14,11
2023-05-15,83
2023-05-16,84
2023-05-17,83
2023-05-18,83
2023-05-19,80
2023-05-20,11
2023-05-21,11
2023-05-22,69
2023-05-23,70
2023-05-24,67
2023-05-25,56
