Time,doordash
2025-12-11,75
2025-12-12,82
2025-12-13,92
2025-12-14,89
2025-12-15,77
2025-12-16,70
2025-12-17,83
2025-12-18,78
2025-12-19,82
2025-12-20,84
2025-12-21,76
2025-12-22,74
2025-12-23,78
2025-12-24,85
2025-12-25,67
2025-12-26,79
2025-12-27,85
2025-12-28,79
2025-12-29,80
2025-12-30,83
2025-12-31,89
2026-01-01,91
2026-01-02,86
2026-01-03,96
2026-01-04,84
2026-01-05,71
2026-01-06,73
2026-01-07,78
2026-01-08,68
2026-01-09,82
2026-01-10,88
2026-01-11,77
2026-01-12,64
2026-01-13,68
2026-01-14,69
2026-01-15,71
2026-01-16,78
2026-01-17,82
2026-01-18,82
2026-01-19,74
2026-01-20,70
2026-01-21,75
2026-01-22,73
2026-01-23,75
2026-01-24,87
2026-01-25,85
2026-01-26,83
2026-01-27,84
2026-01-28,78
2026-01-29,78
2026-01-30,84
2026-01-31,98
2026-02-01,93
2026-02-02,75
2026-02-03,71
2026-02-04,77
2026-02-05,69
2026-02-06,76
2026-02-07,83
2026-02-08,83
2026-02-09,66
2026-02-10,68
2026-02-11,75
2026-02-12,71
2026-02-13,75
2026-02-14,96
2026-02-15,87
2026-02-16,77
2026-02-17,66
2026-02-18,77
2026-02-19,77
2026-02-20,76
2026-02-21,89
2026-02-22,82
2026-02-23,79
2026-02-24,79
2026-02-25,82
2026-02-26,86
2026-02-27,88
2026-02-28,97
2026-03-01,93
2026-03-02,80
2026-03-03,81
2026-03-04,82
2026-03-05,75
2026-03-06,78
2026-03-07,91
2026-03-08,86
2026-03-09,72
2026-03-10,70
2026-03-11,77
2026-03-12,79
2026-03-13,82
2026-03-14,100
2026-03-15,91
2026-03-16,80
2026-03-17,84
2026-03-18,83
2026-03-19,76
2026-03-20,85
2026-03-21,87
2026-03-22,81
2026-03-23,69
2026-03-24,84
2026-03-25,79
2026-03-26,74
2026-03-27,79
2026-03-28,84
2026-03-29,81
2026-03-30,70
2026-03-31,75
2026-04-01,78
2026-04-02,83
2026-04-03,84
2026-04-04,80
2026-04-05,68
2026-04-06,69
2026-04-07,68
2026-04-08,68
2026-04-09,78
2026-04-10,76
2026-04-11,85
2026-04-12,78
2026-04-13,77
2026-04-14,94
2026-04-15,89
2026-04-16,81
2026-04-17,82
2026-04-18,86
2026-04-19,81
2026-04-20,68
2026-04-21,70
2026-04-22,76
2026-04-23,75
2026-04-24,73
2026-04-25,78
2026-04-26,77
2026-04-27,65
2026-04-28,65
2026-04-29,79
2026-04-30,75
2026-05-01,81
2026-05-02,90
2026-05-03,79
2026-05-04,71
2026-05-05,78
2026-05-06,75
2026-05-07,69
2026-05-08,72
2026-05-09,81
2026-05-10,94
2026-05-11,68
2026-05-12,65
2026-05-13,73
2026-05-14,71
2026-05-15,75
2026-05-16,83
2026-05-17,71
2026-05-18,64
2026-05-19,66
2026-05-20,78
2026-05-21,74
2026-05-22,81
2026-05-23,83
2026-05-24,76
2026-05-25,69
2026-05-26,68
2026-05-27,87
2026-05-28,95
2026-05-29,95
2026-05-30,86
2026-05-31,82
