Time,shannen doherty
2024-08-18,46
2024-08-19,45
2024-08-20,29
2024-08-21,28
2024-08-22,23
2024-08-23,26
2024-08-24,34
2024-08-25,31
2024-08-26,28
2024-08-27,23
2024-08-28,25
2024-08-29,25
2024-08-30,27
2024-08-31,31
2024-09-01,31
2024-09-02,37
2024-09-03,26
2024-09-04,27
2024-09-05,27
2024-09-06,22
2024-09-07,30
2024-09-08,24
2024-09-09,30
2024-09-10,21
2024-09-11,22
2024-09-12,22
2024-09-13,24
2024-09-14,38
2024-09-15,36
2024-09-16,83
2024-09-17,36
2024-09-18,27
2024-09-19,25
2024-09-20,20
2024-09-21,27
2024-09-22,33
2024-09-23,21
2024-09-24,19
2024-09-25,23
2024-09-26,23
2024-09-27,28
2024-09-28,30
2024-09-29,25
2024-09-30,24
2024-10-01,29
2024-10-02,23
2024-10-03,22
2024-10-04,25
2024-10-05,27
2024-10-06,27
2024-10-07,19
2024-10-08,20
2024-10-09,20
2024-10-10,18
2024-10-11,17
2024-10-12,22
2024-10-13,21
2024-10-14,15
2024-10-15,14
2024-10-16,19
2024-10-17,22
2024-10-18,20
2024-10-19,17
2024-10-20,19
2024-10-21,16
2024-10-22,17
2024-10-23,14
2024-10-24,10
2024-10-25,14
2024-10-26,17
2024-10-27,16
2024-10-28,13
2024-10-29,16
2024-10-30,13
2024-10-31,20
2024-11-01,19
2024-11-02,17
2024-11-03,15
2024-11-04,12
2024-11-05,12
2024-11-06,8
2024-11-07,11
2024-11-08,10
2024-11-09,13
2024-11-10,17
2024-11-11,11
2024-11-12,11
2024-11-13,12
2024-11-14,10
2024-11-15,9
2024-11-16,12
2024-11-17,19
2024-11-18,12
2024-11-19,13
2024-11-20,19
2024-11-21,12
2024-11-22,14
2024-11-23,16
2024-11-24,20
2024-11-25,20
2024-11-26,11
2024-11-27,14
2024-11-28,13
2024-11-29,16
2024-11-30,15
2024-12-01,17
2024-12-02,10
2024-12-03,13
2024-12-04,16
2024-12-05,12
2024-12-06,11
2024-12-07,18
2024-12-08,14
2024-12-09,10
2024-12-10,26
2024-12-11,41
2024-12-12,20
2024-12-13,24
2024-12-14,21
2024-12-15,23
2024-12-16,14
2024-12-17,14
2024-12-18,15
2024-12-19,17
2024-12-20,15
2024-12-21,24
2024-12-22,66
2024-12-23,86
2024-12-24,50
2024-12-25,38
2024-12-26,35
2024-12-27,60
2024-12-28,64
2024-12-29,80
2024-12-30,61
2024-12-31,56
2025-01-01,93
2025-01-02,41
2025-01-03,31
2025-01-04,25
2025-01-05,27
2025-01-06,17
2025-01-07,24
2025-01-08,16
2025-01-09,14
2025-01-10,15
2025-01-11,13
2025-01-12,25
2025-01-13,15
2025-01-14,10
2025-01-15,15
2025-01-16,13
2025-01-17,10
2025-01-18,13
2025-01-19,13
2025-01-20,14
2025-01-21,12
2025-01-22,11
2025-01-23,10
2025-01-24,13
2025-01-25,25
2025-01-26,23
2025-01-27,13
2025-01-28,14
2025-01-29,10
2025-01-30,9
2025-01-31,10
2025-02-01,11
2025-02-02,12
2025-02-03,10
2025-02-04,27
2025-02-05,10
2025-02-06,11
2025-02-07,13
2025-02-08,18
2025-02-09,18
2025-02-10,16
2025-02-11,18
2025-02-12,12
2025-02-13,13
2025-02-14,14
2025-02-15,14
2025-02-16,14
2025-02-17,19
2025-02-18,13
2025-02-19,17
2025-02-20,22
2025-02-21,25
2025-02-22,47
2025-02-23,28
2025-02-24,54
2025-02-25,29
2025-02-26,23
2025-02-27,30
2025-02-28,30
2025-03-01,19
2025-03-02,27
2025-03-03,100
2025-03-04,79
2025-03-05,27
2025-03-06,22
2025-03-07,20
2025-03-08,18
2025-03-09,21
2025-03-10,18
2025-03-11,10
2025-03-12,8
2025-03-13,13
2025-03-14,10
2025-03-15,17
2025-03-16,15
2025-03-17,12
2025-03-18,11
2025-03-19,9
2025-03-20,13
2025-03-21,13
2025-03-22,12
2025-03-23,15
2025-03-24,9
2025-03-25,9
2025-03-26,11
2025-03-27,12
2025-03-28,12
2025-03-29,14
2025-03-30,18
2025-03-31,16
2025-04-01,14
2025-04-02,13
2025-04-03,8
2025-04-04,7
2025-04-05,14
2025-04-06,10
2025-04-07,13
2025-04-08,8
2025-04-09,7
2025-04-10,9
2025-04-11,10
2025-04-12,64
2025-04-13,92
2025-04-14,28
2025-04-15,20
2025-04-16,12
2025-04-17,14
2025-04-18,9
2025-04-19,16
2025-04-20,18
2025-04-21,13
2025-04-22,9
2025-04-23,12
2025-04-24,13
2025-04-25,13
2025-04-26,9
2025-04-27,11
2025-04-28,10
2025-04-29,8
2025-04-30,11
2025-05-01,17
2025-05-02,12
2025-05-03,15
2025-05-04,15
2025-05-05,7
2025-05-06,14
2025-05-07,11
2025-05-08,10
2025-05-09,8
2025-05-10,11
2025-05-11,10
2025-05-12,8
2025-05-13,9
2025-05-14,9
