Time,international women's day
2023-04-26,62
2023-04-27,61
2023-04-28,58
2023-04-29,41
2023-04-30,0
2023-05-01,87
2023-05-02,92
2023-05-03,56
2023-05-04,56
2023-05-05,49
2023-05-06,54
2023-05-07,35
2023-05-08,87
2023-05-09,65
2023-05-10,52
2023-05-11,50
2023-05-12,49
2023-05-13,29
2023-05-14,81
2023-05-15,55
2023-05-16,37
2023-05-17,49
2023-05-18,49
2023-05-19,48
2023-05-20,24
2023-05-21,25
2023-05-22,36
2023-05-23,56
2023-05-24,60
2023-05-25,39
2023-05-26,35
2023-05-27,40
2023-05-28,29
2023-05-29,36
2023-05-30,45
2023-05-31,34
2023-06-01,38
2023-06-02,38
2023-06-03,27
2023-06-04,47
2023-06-05,24
2023-06-06,42
2023-06-07,48
2023-06-08,23
2023-06-09,40
2023-06-10,0
2023-06-11,0
2023-06-12,0
2023-06-13,34
2023-06-14,0
2023-06-15,0
2023-06-16,29
2023-06-17,32
2023-06-18,34
2023-06-19,30
2023-06-20,34
2023-06-21,25
2023-06-22,25
2023-06-23,27
2023-06-24,24
2023-06-25,0
2023-06-26,25
2023-06-27,0
2023-06-28,24
2023-06-29,23
2023-06-30,0
2023-07-01,0
2023-07-02,0
2023-07-03,0
2023-07-04,0
2023-07-05,48
2023-07-06,0
2023-07-07,22
2023-07-08,0
2023-07-09,35
2023-07-10,31
2023-07-11,48
2023-07-12,0
2023-07-13,0
2023-07-14,26
2023-07-15,0
2023-07-16,0
2023-07-17,0
2023-07-18,0
2023-07-19,0
2023-07-20,29
2023-07-21,23
2023-07-22,0
2023-07-23,0
2023-07-24,0
2023-07-25,32
2023-07-26,25
2023-07-27,34
2023-07-28,43
2023-07-29,0
2023-07-30,0
2023-07-31,24
2023-08-01,33
2023-08-02,0
2023-08-03,36
2023-08-04,30
2023-08-05,28
2023-08-06,0
2023-08-07,100
2023-08-08,38
2023-08-09,58
2023-08-10,27
2023-08-11,29
2023-08-12,0
2023-08-13,0
2023-08-14,0
2023-08-15,0
2023-08-16,23
2023-08-17,0
2023-08-18,0
2023-08-19,0
2023-08-20,0
2023-08-21,0
2023-08-22,31
2023-08-23,26
2023-08-24,0
2023-08-25,0
2023-08-26,34
2023-08-27,28
2023-08-28,22
2023-08-29,29
2023-08-30,0
2023-08-31,27
2023-09-01,27
2023-09-02,0
2023-09-03,0
2023-09-04,0
2023-09-05,0
2023-09-06,27
2023-09-07,0
2023-09-08,21
2023-09-09,0
2023-09-10,0
2023-09-11,27
2023-09-12,30
2023-09-13,23
2023-09-14,0
2023-09-15,22
2023-09-16,0
2023-09-17,0
2023-09-18,22
2023-09-19,0
2023-09-20,22
2023-09-21,0
2023-09-22,27
2023-09-23,0
2023-09-24,0
2023-09-25,27
2023-09-26,0
2023-09-27,0
2023-09-28,0
2023-09-29,23
2023-09-30,0
2023-10-01,0
2023-10-02,24
2023-10-03,39
2023-10-04,0
2023-10-05,24
2023-10-06,0
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,30
2023-10-12,0
2023-10-13,0
2023-10-14,0
2023-10-15,0
2023-10-16,30
2023-10-17,27
2023-10-18,28
2023-10-19,26
2023-10-20,26
2023-10-21,0
2023-10-22,0
2023-10-23,21
2023-10-24,0
2023-10-25,0
2023-10-26,32
2023-10-27,0
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,22
2023-11-01,37
2023-11-02,0
2023-11-03,35
2023-11-04,0
2023-11-05,0
2023-11-06,22
2023-11-07,0
2023-11-08,27
2023-11-09,24
2023-11-10,23
2023-11-11,0
2023-11-12,0
2023-11-13,28
2023-11-14,0
2023-11-15,21
2023-11-16,31
2023-11-17,27
2023-11-18,0
2023-11-19,30
2023-11-20,46
2023-11-21,25
2023-11-22,0
2023-11-23,0
2023-11-24,24
2023-11-25,28
2023-11-26,0
2023-11-27,0
2023-11-28,21
2023-11-29,24
2023-11-30,32
2023-12-01,31
2023-12-02,0
2023-12-03,25
2023-12-04,30
2023-12-05,0
2023-12-06,36
2023-12-07,0
2023-12-08,22
2023-12-09,22
2023-12-10,0
2023-12-11,19
2023-12-12,30
2023-12-13,33
2023-12-14,30
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,26
2023-12-19,37
2023-12-20,40
2023-12-21,26
2023-12-22,0
2023-12-23,0
2023-12-24,28
2023-12-25,0
2023-12-26,0
2023-12-27,24
2023-12-28,27
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,47
2024-01-03,61
2024-01-04,44
2024-01-05,25
2024-01-06,0
2024-01-07,28
2024-01-08,55
2024-01-09,73
2024-01-10,75
2024-01-11,65
2024-01-12,50
2024-01-13,0
2024-01-14,24
2024-01-15,0
2024-01-16,71
2024-01-17,75
2024-01-18,83
2024-01-19,62
2024-01-20,33
