Time,jack harlow
2023-12-22,90
2023-12-23,98
2023-12-24,94
2023-12-25,81
2023-12-26,69
2023-12-27,74
2023-12-28,81
2023-12-29,87
2023-12-30,86
2023-12-31,94
2024-01-01,92
2024-01-02,68
2024-01-03,72
2024-01-04,75
2024-01-05,80
2024-01-06,97
2024-01-07,92
2024-01-08,71
2024-01-09,76
2024-01-10,85
2024-01-11,88
2024-01-12,83
2024-01-13,93
2024-01-14,98
2024-01-15,79
2024-01-16,64
2024-01-17,72
2024-01-18,73
2024-01-19,68
2024-01-20,87
2024-01-21,89
2024-01-22,64
2024-01-23,60
2024-01-24,58
2024-01-25,60
2024-01-26,65
2024-01-27,80
2024-01-28,76
2024-01-29,56
2024-01-30,59
2024-01-31,60
2024-02-01,59
2024-02-02,61
2024-02-03,77
2024-02-04,70
2024-02-05,54
2024-02-06,53
2024-02-07,56
2024-02-08,54
2024-02-09,55
2024-02-10,70
2024-02-11,65
2024-02-12,100
2024-02-13,68
2024-02-14,58
2024-02-15,57
2024-02-16,50
2024-02-17,65
2024-02-18,64
2024-02-19,49
2024-02-20,44
2024-02-21,47
2024-02-22,46
2024-02-23,47
2024-02-24,60
2024-02-25,54
2024-02-26,40
2024-02-27,41
2024-02-28,52
2024-02-29,48
2024-03-01,48
2024-03-02,55
2024-03-03,49
2024-03-04,37
2024-03-05,37
2024-03-06,41
2024-03-07,39
2024-03-08,48
2024-03-09,54
2024-03-10,43
2024-03-11,39
2024-03-12,39
2024-03-13,44
2024-03-14,43
2024-03-15,40
2024-03-16,50
2024-03-17,52
2024-03-18,33
2024-03-19,33
2024-03-20,35
2024-03-21,32
2024-03-22,39
2024-03-23,47
2024-03-24,47
2024-03-25,33
2024-03-26,32
2024-03-27,31
2024-03-28,40
2024-03-29,37
2024-03-30,43
2024-03-31,38
2024-04-01,28
2024-04-02,29
2024-04-03,31
2024-04-04,32
2024-04-05,34
2024-04-06,43
2024-04-07,36
2024-04-08,30
2024-04-09,34
2024-04-10,30
2024-04-11,33
2024-04-12,37
2024-04-13,40
2024-04-14,45
2024-04-15,28
2024-04-16,28
2024-04-17,30
2024-04-18,29
2024-04-19,40
2024-04-20,41
2024-04-21,35
2024-04-22,28
2024-04-23,29
2024-04-24,27
2024-04-25,29
2024-04-26,31
2024-04-27,33
2024-04-28,37
2024-04-29,30
2024-04-30,25
2024-05-01,25
2024-05-02,27
2024-05-03,28
2024-05-04,41
2024-05-05,41
2024-05-06,52
2024-05-07,52
2024-05-08,44
2024-05-09,42
2024-05-10,40
2024-05-11,47
2024-05-12,45
2024-05-13,34
2024-05-14,31
2024-05-15,28
2024-05-16,30
2024-05-17,30
2024-05-18,38
2024-05-19,35
2024-05-20,27
2024-05-21,27
2024-05-22,27
2024-05-23,30
2024-05-24,25
2024-05-25,41
2024-05-26,38
2024-05-27,29
2024-05-28,25
2024-05-29,24
2024-05-30,23
2024-05-31,24
2024-06-01,32
2024-06-02,26
2024-06-03,19
2024-06-04,23
2024-06-05,23
2024-06-06,21
2024-06-07,29
2024-06-08,31
2024-06-09,29
2024-06-10,25
2024-06-11,26
2024-06-12,24
2024-06-13,27
2024-06-14,27
2024-06-15,31
2024-06-16,30
2024-06-17,26
2024-06-18,38
2024-06-19,24
2024-06-20,25
2024-06-21,25
2024-06-22,25
2024-06-23,23
2024-06-24,19
2024-06-25,23
2024-06-26,18
2024-06-27,21
2024-06-28,20
2024-06-29,23
2024-06-30,27
2024-07-01,19
2024-07-02,20
2024-07-03,18
2024-07-04,25
2024-07-05,23
2024-07-06,24
2024-07-07,22
2024-07-08,17
2024-07-09,18
2024-07-10,19
2024-07-11,21
2024-07-12,20
2024-07-13,26
2024-07-14,24
2024-07-15,17
2024-07-16,13
2024-07-17,16
2024-07-18,18
2024-07-19,20
2024-07-20,24
2024-07-21,19
2024-07-22,16
2024-07-23,16
2024-07-24,17
2024-07-25,19
2024-07-26,19
2024-07-27,24
2024-07-28,20
2024-07-29,13
2024-07-30,19
2024-07-31,16
2024-08-01,15
2024-08-02,17
2024-08-03,20
2024-08-04,21
2024-08-05,15
2024-08-06,15
2024-08-07,11
2024-08-08,17
2024-08-09,23
2024-08-10,34
2024-08-11,38
2024-08-12,21
2024-08-13,17
2024-08-14,19
2024-08-15,18
2024-08-16,21
2024-08-17,26
2024-08-18,30
2024-08-19,18
2024-08-20,19
2024-08-21,29
2024-08-22,42
2024-08-23,23
2024-08-24,25
2024-08-25,28
2024-08-26,16
2024-08-27,16
2024-08-28,15
2024-08-29,16
2024-08-30,17
2024-08-31,20
2024-09-01,20
2024-09-02,17
2024-09-03,15
2024-09-04,14
2024-09-05,16
2024-09-06,23
2024-09-07,22
2024-09-08,19
2024-09-09,15
2024-09-10,20
2024-09-11,16
2024-09-12,14
2024-09-13,19
2024-09-14,19
2024-09-15,16
2024-09-16,16
