cluster,n_terms,share_of_terms
1,42,0.049586776859504134
2,115,0.1357733175914994
3,227,0.2680047225501771
4,116,0.13695395513577333
5,28,0.03305785123966942
6,37,0.043683589138134596
7,73,0.08618654073199528
8,74,0.08736717827626919
9,26,0.030696576151121605
10,109,0.12868949232585597
