Time,google drive
2022-08-29,90
2022-08-30,92
2022-08-31,92
2022-09-01,90
2022-09-02,76
2022-09-03,30
2022-09-04,31
2022-09-05,43
2022-09-06,99
2022-09-07,94
2022-09-08,98
2022-09-09,87
2022-09-10,31
2022-09-11,40
2022-09-12,98
2022-09-13,97
2022-09-14,98
2022-09-15,100
2022-09-16,86
2022-09-17,36
2022-09-18,41
2022-09-19,98
2022-09-20,100
2022-09-21,91
2022-09-22,94
2022-09-23,83
2022-09-24,33
2022-09-25,38
2022-09-26,82
2022-09-27,92
2022-09-28,92
2022-09-29,88
2022-09-30,78
2022-10-01,30
2022-10-02,38
2022-10-03,94
2022-10-04,94
2022-10-05,83
2022-10-06,90
2022-10-07,77
2022-10-08,32
2022-10-09,36
2022-10-10,77
2022-10-11,90
2022-10-12,84
2022-10-13,89
2022-10-14,74
2022-10-15,34
2022-10-16,37
2022-10-17,93
2022-10-18,94
2022-10-19,90
2022-10-20,87
2022-10-21,76
2022-10-22,33
2022-10-23,36
2022-10-24,89
2022-10-25,88
2022-10-26,87
2022-10-27,89
2022-10-28,76
2022-10-29,31
2022-10-30,36
2022-10-31,82
2022-11-01,86
2022-11-02,87
2022-11-03,86
2022-11-04,77
2022-11-05,33
2022-11-06,35
2022-11-07,85
2022-11-08,76
2022-11-09,78
2022-11-10,79
2022-11-11,62
2022-11-12,35
2022-11-13,37
2022-11-14,92
2022-11-15,94
2022-11-16,87
2022-11-17,85
2022-11-18,76
2022-11-19,33
2022-11-20,33
2022-11-21,65
2022-11-22,62
2022-11-23,39
2022-11-24,24
2022-11-25,29
2022-11-26,26
2022-11-27,35
2022-11-28,79
2022-11-29,85
2022-11-30,86
2022-12-01,85
2022-12-02,77
2022-12-03,36
2022-12-04,35
2022-12-05,86
2022-12-06,87
2022-12-07,82
2022-12-08,84
2022-12-09,78
2022-12-10,35
2022-12-11,34
2022-12-12,83
2022-12-13,75
2022-12-14,76
2022-12-15,72
2022-12-16,64
2022-12-17,31
2022-12-18,27
2022-12-19,59
2022-12-20,53
2022-12-21,48
2022-12-22,37
2022-12-23,29
2022-12-24,23
2022-12-25,20
2022-12-26,25
2022-12-27,29
2022-12-28,30
2022-12-29,30
2022-12-30,27
2022-12-31,24
2023-01-01,24
2023-01-02,33
2023-01-03,56
2023-01-04,62
2023-01-05,66
2023-01-06,59
2023-01-07,33
2023-01-08,30
2023-01-09,73
2023-01-10,79
2023-01-11,77
2023-01-12,76
2023-01-13,72
2023-01-14,31
2023-01-15,30
2023-01-16,43
2023-01-17,80
2023-01-18,79
2023-01-19,80
2023-01-20,73
2023-01-21,33
2023-01-22,34
2023-01-23,84
2023-01-24,82
2023-01-25,76
2023-01-26,75
2023-01-27,72
2023-01-28,34
2023-01-29,34
2023-01-30,85
2023-01-31,84
2023-02-01,84
2023-02-02,81
2023-02-03,79
2023-02-04,32
2023-02-05,38
2023-02-06,87
2023-02-07,88
2023-02-08,90
2023-02-09,88
2023-02-10,78
2023-02-11,34
2023-02-12,35
2023-02-13,77
2023-02-14,85
2023-02-15,86
2023-02-16,85
2023-02-17,73
2023-02-18,34
2023-02-19,35
2023-02-20,58
2023-02-21,82
2023-02-22,79
2023-02-23,81
2023-02-24,72
2023-02-25,35
2023-02-26,37
2023-02-27,93
2023-02-28,83
2023-03-01,87
2023-03-02,86
2023-03-03,73
2023-03-04,33
2023-03-05,37
2023-03-06,83
2023-03-07,83
2023-03-08,83
2023-03-09,82
2023-03-10,72
2023-03-11,32
2023-03-12,36
2023-03-13,70
2023-03-14,73
2023-03-15,74
2023-03-16,70
2023-03-17,61
2023-03-18,31
2023-03-19,36
2023-03-20,82
2023-03-21,82
2023-03-22,78
2023-03-23,81
2023-03-24,69
2023-03-25,30
2023-03-26,33
2023-03-27,82
2023-03-28,80
2023-03-29,78
2023-03-30,75
2023-03-31,64
2023-04-01,34
2023-04-02,34
2023-04-03,75
2023-04-04,72
2023-04-05,69
2023-04-06,65
2023-04-07,45
2023-04-08,30
2023-04-09,33
2023-04-10,68
2023-04-11,76
2023-04-12,73
2023-04-13,71
2023-04-14,64
2023-04-15,32
2023-04-16,37
2023-04-17,84
2023-04-18,80
2023-04-19,81
2023-04-20,72
2023-04-21,66
2023-04-22,32
2023-04-23,36
2023-04-24,78
2023-04-25,79
2023-04-26,79
2023-04-27,78
2023-04-28,66
2023-04-29,33
2023-04-30,35
2023-05-01,79
2023-05-02,77
2023-05-03,73
2023-05-04,74
2023-05-05,63
2023-05-06,32
2023-05-07,31
2023-05-08,74
2023-05-09,71
2023-05-10,73
2023-05-11,71
2023-05-12,63
2023-05-13,31
2023-05-14,30
2023-05-15,74
2023-05-16,73
2023-05-17,72
2023-05-18,71
2023-05-19,63
2023-05-20,31
2023-05-21,31
2023-05-22,66
2023-05-23,65
2023-05-24,63
2023-05-25,61
