Time,google drive
2025-12-11,82
2025-12-12,74
2025-12-13,48
2025-12-14,45
2025-12-15,73
2025-12-16,72
2025-12-17,72
2025-12-18,68
2025-12-19,58
2025-12-20,40
2025-12-21,40
2025-12-22,53
2025-12-23,47
2025-12-24,38
2025-12-25,31
2025-12-26,37
2025-12-27,37
2025-12-28,38
2025-12-29,47
2025-12-30,46
2025-12-31,43
2026-01-01,37
2026-01-02,44
2026-01-03,43
2026-01-04,45
2026-01-05,65
2026-01-06,72
2026-01-07,76
2026-01-08,74
2026-01-09,66
2026-01-10,49
2026-01-11,48
2026-01-12,75
2026-01-13,80
2026-01-14,88
2026-01-15,76
2026-01-16,70
2026-01-17,47
2026-01-18,48
2026-01-19,55
2026-01-20,87
2026-01-21,94
2026-01-22,89
2026-01-23,78
2026-01-24,58
2026-01-25,55
2026-01-26,72
2026-01-27,86
2026-01-28,86
2026-01-29,91
2026-01-30,86
2026-01-31,57
2026-02-01,56
2026-02-02,100
2026-02-03,92
2026-02-04,96
2026-02-05,98
2026-02-06,93
2026-02-07,53
2026-02-08,53
2026-02-09,79
2026-02-10,99
2026-02-11,99
2026-02-12,94
2026-02-13,80
2026-02-14,50
2026-02-15,54
2026-02-16,69
2026-02-17,89
2026-02-18,91
2026-02-19,88
2026-02-20,69
2026-02-21,52
2026-02-22,55
2026-02-23,85
2026-02-24,90
2026-02-25,90
2026-02-26,91
2026-02-27,84
2026-02-28,50
2026-03-01,54
2026-03-02,99
2026-03-03,97
2026-03-04,90
2026-03-05,97
2026-03-06,82
2026-03-07,53
2026-03-08,54
2026-03-09,87
2026-03-10,80
2026-03-11,89
2026-03-12,84
2026-03-13,69
2026-03-14,54
2026-03-15,56
2026-03-16,77
2026-03-17,85
2026-03-18,82
2026-03-19,78
2026-03-20,67
2026-03-21,51
2026-03-22,53
2026-03-23,86
2026-03-24,84
2026-03-25,83
2026-03-26,82
2026-03-27,74
2026-03-28,56
2026-03-29,58
2026-03-30,78
2026-03-31,83
2026-04-01,79
2026-04-02,74
2026-04-03,60
2026-04-04,50
2026-04-05,52
2026-04-06,72
2026-04-07,81
2026-04-08,83
2026-04-09,78
2026-04-10,72
2026-04-11,55
2026-04-12,54
2026-04-13,89
2026-04-14,94
2026-04-15,87
2026-04-16,86
2026-04-17,81
2026-04-18,52
2026-04-19,62
2026-04-20,86
2026-04-21,93
2026-04-22,85
2026-04-23,84
2026-04-24,71
2026-04-25,50
2026-04-26,54
2026-04-27,84
2026-04-28,91
2026-04-29,85
2026-04-30,79
2026-05-01,75
2026-05-02,61
2026-05-03,57
2026-05-04,84
2026-05-05,84
2026-05-06,82
2026-05-07,73
2026-05-08,74
2026-05-09,51
2026-05-10,49
2026-05-11,84
2026-05-12,82
2026-05-13,83
2026-05-14,85
2026-05-15,77
2026-05-16,53
2026-05-17,51
2026-05-18,84
2026-05-19,81
2026-05-20,77
2026-05-21,77
2026-05-22,70
2026-05-23,54
2026-05-24,52
2026-05-25,56
2026-05-26,72
2026-05-27,76
2026-05-28,75
2026-05-29,69
2026-05-30,58
2026-05-31,56
