Time,dahmer
2023-04-26,54
2023-04-27,57
2023-04-28,61
2023-04-29,60
2023-04-30,64
2023-05-01,65
2023-05-02,68
2023-05-03,59
2023-05-04,56
2023-05-05,64
2023-05-06,65
2023-05-07,61
2023-05-08,63
2023-05-09,56
2023-05-10,63
2023-05-11,60
2023-05-12,59
2023-05-13,63
2023-05-14,71
2023-05-15,88
2023-05-16,62
2023-05-17,60
2023-05-18,59
2023-05-19,63
2023-05-20,68
2023-05-21,72
2023-05-22,59
2023-05-23,59
2023-05-24,58
2023-05-25,66
2023-05-26,89
2023-05-27,69
2023-05-28,68
2023-05-29,94
2023-05-30,77
2023-05-31,63
2023-06-01,60
2023-06-02,63
2023-06-03,66
2023-06-04,65
2023-06-05,64
2023-06-06,54
2023-06-07,54
2023-06-08,51
2023-06-09,53
2023-06-10,64
2023-06-11,62
2023-06-12,58
2023-06-13,55
2023-06-14,53
2023-06-15,59
2023-06-16,57
2023-06-17,65
2023-06-18,64
2023-06-19,59
2023-06-20,61
2023-06-21,57
2023-06-22,54
2023-06-23,60
2023-06-24,60
2023-06-25,67
2023-06-26,51
2023-06-27,55
2023-06-28,52
2023-06-29,55
2023-06-30,54
2023-07-01,62
2023-07-02,64
2023-07-03,54
2023-07-04,58
2023-07-05,50
2023-07-06,51
2023-07-07,55
2023-07-08,59
2023-07-09,55
2023-07-10,55
2023-07-11,50
2023-07-12,52
2023-07-13,61
2023-07-14,61
2023-07-15,68
2023-07-16,69
2023-07-17,56
2023-07-18,54
2023-07-19,59
2023-07-20,54
2023-07-21,56
2023-07-22,66
2023-07-23,72
2023-07-24,62
2023-07-25,62
2023-07-26,64
2023-07-27,60
2023-07-28,58
2023-07-29,67
2023-07-30,63
2023-07-31,58
2023-08-01,57
2023-08-02,50
2023-08-03,54
2023-08-04,55
2023-08-05,63
2023-08-06,67
2023-08-07,56
2023-08-08,60
2023-08-09,51
2023-08-10,53
2023-08-11,58
2023-08-12,57
2023-08-13,69
2023-08-14,56
2023-08-15,59
2023-08-16,56
2023-08-17,56
2023-08-18,56
2023-08-19,63
2023-08-20,66
2023-08-21,55
2023-08-22,50
2023-08-23,58
2023-08-24,54
2023-08-25,68
2023-08-26,62
2023-08-27,60
2023-08-28,51
2023-08-29,53
2023-08-30,50
2023-08-31,54
2023-09-01,55
2023-09-02,54
2023-09-03,63
2023-09-04,59
2023-09-05,53
2023-09-06,49
2023-09-07,51
2023-09-08,52
2023-09-09,59
2023-09-10,62
2023-09-11,75
2023-09-12,74
2023-09-13,63
2023-09-14,71
2023-09-15,65
2023-09-16,70
2023-09-17,71
2023-09-18,67
2023-09-19,74
2023-09-20,71
2023-09-21,71
2023-09-22,76
2023-09-23,76
2023-09-24,83
2023-09-25,68
2023-09-26,66
2023-09-27,69
2023-09-28,69
2023-09-29,67
2023-09-30,74
2023-10-01,71
2023-10-02,69
2023-10-03,67
2023-10-04,65
2023-10-05,69
2023-10-06,63
2023-10-07,70
2023-10-08,66
2023-10-09,65
2023-10-10,64
2023-10-11,58
2023-10-12,64
2023-10-13,61
2023-10-14,69
2023-10-15,74
2023-10-16,62
2023-10-17,62
2023-10-18,62
2023-10-19,60
2023-10-20,61
2023-10-21,67
2023-10-22,67
2023-10-23,63
2023-10-24,59
2023-10-25,58
2023-10-26,61
2023-10-27,64
2023-10-28,72
2023-10-29,69
2023-10-30,66
2023-10-31,69
2023-11-01,62
2023-11-02,54
2023-11-03,55
2023-11-04,58
2023-11-05,60
2023-11-06,52
2023-11-07,49
2023-11-08,53
2023-11-09,64
2023-11-10,58
2023-11-11,63
2023-11-12,62
2023-11-13,54
2023-11-14,53
2023-11-15,54
2023-11-16,56
2023-11-17,60
2023-11-18,54
2023-11-19,56
2023-11-20,53
2023-11-21,57
2023-11-22,53
2023-11-23,58
2023-11-24,48
2023-11-25,60
2023-11-26,58
2023-11-27,52
2023-11-28,59
2023-11-29,55
2023-11-30,58
2023-12-01,50
2023-12-02,47
2023-12-03,52
2023-12-04,50
2023-12-05,54
2023-12-06,77
2023-12-07,73
2023-12-08,57
2023-12-09,59
2023-12-10,54
2023-12-11,56
2023-12-12,57
2023-12-13,67
2023-12-14,55
2023-12-15,57
2023-12-16,56
2023-12-17,56
2023-12-18,48
2023-12-19,50
2023-12-20,58
2023-12-21,53
2023-12-22,56
2023-12-23,61
2023-12-24,62
2023-12-25,59
2023-12-26,58
2023-12-27,62
2023-12-28,55
2023-12-29,60
2023-12-30,62
2023-12-31,65
2024-01-01,60
2024-01-02,50
2024-01-03,62
2024-01-04,58
2024-01-05,62
2024-01-06,56
2024-01-07,60
2024-01-08,48
2024-01-09,51
2024-01-10,50
2024-01-11,53
2024-01-12,52
2024-01-13,53
2024-01-14,55
2024-01-15,52
2024-01-16,100
2024-01-17,69
2024-01-18,56
2024-01-19,56
2024-01-20,65
