Time,dahmer
2025-12-11,46
2025-12-12,44
2025-12-13,46
2025-12-14,43
2025-12-15,44
2025-12-16,42
2025-12-17,46
2025-12-18,44
2025-12-19,37
2025-12-20,46
2025-12-21,42
2025-12-22,43
2025-12-23,45
2025-12-24,42
2025-12-25,45
2025-12-26,41
2025-12-27,46
2025-12-28,47
2025-12-29,38
2025-12-30,51
2025-12-31,46
2026-01-01,57
2026-01-02,83
2026-01-03,100
2026-01-04,74
2026-01-05,52
2026-01-06,58
2026-01-07,52
2026-01-08,44
2026-01-09,46
2026-01-10,49
2026-01-11,59
2026-01-12,51
2026-01-13,44
2026-01-14,48
2026-01-15,44
2026-01-16,48
2026-01-17,53
2026-01-18,50
2026-01-19,46
2026-01-20,42
2026-01-21,46
2026-01-22,42
2026-01-23,44
2026-01-24,56
2026-01-25,53
2026-01-26,48
2026-01-27,48
2026-01-28,46
2026-01-29,47
2026-01-30,44
2026-01-31,54
2026-02-01,49
2026-02-02,43
2026-02-03,43
2026-02-04,44
2026-02-05,43
2026-02-06,52
2026-02-07,57
2026-02-08,46
2026-02-09,35
2026-02-10,40
2026-02-11,44
2026-02-12,42
2026-02-13,42
2026-02-14,48
2026-02-15,50
2026-02-16,39
2026-02-17,42
2026-02-18,42
2026-02-19,41
2026-02-20,42
2026-02-21,48
2026-02-22,49
2026-02-23,45
2026-02-24,44
2026-02-25,43
2026-02-26,41
2026-02-27,46
2026-02-28,36
2026-03-01,42
2026-03-02,40
2026-03-03,39
2026-03-04,38
2026-03-05,41
2026-03-06,44
2026-03-07,47
2026-03-08,44
2026-03-09,45
2026-03-10,39
2026-03-11,42
2026-03-12,40
2026-03-13,47
2026-03-14,44
2026-03-15,50
2026-03-16,46
2026-03-17,40
2026-03-18,39
2026-03-19,40
2026-03-20,41
2026-03-21,43
2026-03-22,44
2026-03-23,39
2026-03-24,41
2026-03-25,43
2026-03-26,43
2026-03-27,37
2026-03-28,48
2026-03-29,57
2026-03-30,48
2026-03-31,40
2026-04-01,41
2026-04-02,43
2026-04-03,40
2026-04-04,48
2026-04-05,46
2026-04-06,40
2026-04-07,42
2026-04-08,41
2026-04-09,38
2026-04-10,36
2026-04-11,42
2026-04-12,50
2026-04-13,43
2026-04-14,42
2026-04-15,44
2026-04-16,46
2026-04-17,42
2026-04-18,45
2026-04-19,40
2026-04-20,39
2026-04-21,45
2026-04-22,41
2026-04-23,38
2026-04-24,37
2026-04-25,43
2026-04-26,43
2026-04-27,42
2026-04-28,41
2026-04-29,40
2026-04-30,44
2026-05-01,41
2026-05-02,42
2026-05-03,44
2026-05-04,43
2026-05-05,39
2026-05-06,41
2026-05-07,44
2026-05-08,45
2026-05-09,45
2026-05-10,38
2026-05-11,39
2026-05-12,39
2026-05-13,41
2026-05-14,37
2026-05-15,43
2026-05-16,38
2026-05-17,42
2026-05-18,39
2026-05-19,45
2026-05-20,49
2026-05-21,55
2026-05-22,58
2026-05-23,50
2026-05-24,52
2026-05-25,55
2026-05-26,53
2026-05-27,52
2026-05-28,52
2026-05-29,54
2026-05-30,60
2026-05-31,62
