Time,eric dane
2023-04-26,29
2023-04-27,21
2023-04-28,24
2023-04-29,25
2023-04-30,28
2023-05-01,33
2023-05-02,40
2023-05-03,36
2023-05-04,41
2023-05-05,50
2023-05-06,50
2023-05-07,38
2023-05-08,34
2023-05-09,28
2023-05-10,32
2023-05-11,28
2023-05-12,34
2023-05-13,37
2023-05-14,27
2023-05-15,43
2023-05-16,44
2023-05-17,33
2023-05-18,45
2023-05-19,42
2023-05-20,23
2023-05-21,49
2023-05-22,30
2023-05-23,22
2023-05-24,23
2023-05-25,26
2023-05-26,21
2023-05-27,23
2023-05-28,24
2023-05-29,31
2023-05-30,42
2023-05-31,45
2023-06-01,40
2023-06-02,25
2023-06-03,30
2023-06-04,38
2023-06-05,37
2023-06-06,15
2023-06-07,27
2023-06-08,23
2023-06-09,22
2023-06-10,34
2023-06-11,25
2023-06-12,29
2023-06-13,27
2023-06-14,30
2023-06-15,22
2023-06-16,22
2023-06-17,37
2023-06-18,26
2023-06-19,30
2023-06-20,27
2023-06-21,30
2023-06-22,23
2023-06-23,37
2023-06-24,32
2023-06-25,58
2023-06-26,34
2023-06-27,33
2023-06-28,55
2023-06-29,40
2023-06-30,29
2023-07-01,24
2023-07-02,27
2023-07-03,22
2023-07-04,30
2023-07-05,0
2023-07-06,35
2023-07-07,31
2023-07-08,28
2023-07-09,32
2023-07-10,34
2023-07-11,25
2023-07-12,30
2023-07-13,26
2023-07-14,27
2023-07-15,30
2023-07-16,27
2023-07-17,33
2023-07-18,38
2023-07-19,33
2023-07-20,27
2023-07-21,26
2023-07-22,23
2023-07-23,28
2023-07-24,29
2023-07-25,33
2023-07-26,36
2023-07-27,27
2023-07-28,30
2023-07-29,31
2023-07-30,46
2023-07-31,30
2023-08-01,54
2023-08-02,63
2023-08-03,42
2023-08-04,42
2023-08-05,27
2023-08-06,38
2023-08-07,31
2023-08-08,39
2023-08-09,32
2023-08-10,32
2023-08-11,30
2023-08-12,38
2023-08-13,85
2023-08-14,100
2023-08-15,62
2023-08-16,35
2023-08-17,30
2023-08-18,46
2023-08-19,50
2023-08-20,47
2023-08-21,53
2023-08-22,23
2023-08-23,48
2023-08-24,29
2023-08-25,32
2023-08-26,31
2023-08-27,33
2023-08-28,23
2023-08-29,22
2023-08-30,39
2023-08-31,34
2023-09-01,32
2023-09-02,37
2023-09-03,29
2023-09-04,0
2023-09-05,25
2023-09-06,28
2023-09-07,31
2023-09-08,24
2023-09-09,29
2023-09-10,44
2023-09-11,23
2023-09-12,16
2023-09-13,18
2023-09-14,33
2023-09-15,23
2023-09-16,29
2023-09-17,24
2023-09-18,21
2023-09-19,25
2023-09-20,29
2023-09-21,41
2023-09-22,48
2023-09-23,35
2023-09-24,27
2023-09-25,33
2023-09-26,23
2023-09-27,17
2023-09-28,24
2023-09-29,0
2023-09-30,26
2023-10-01,30
2023-10-02,18
2023-10-03,22
2023-10-04,17
2023-10-05,16
2023-10-06,26
2023-10-07,29
2023-10-08,39
2023-10-09,38
2023-10-10,20
2023-10-11,29
2023-10-12,26
2023-10-13,32
2023-10-14,33
2023-10-15,37
2023-10-16,25
2023-10-17,26
2023-10-18,33
2023-10-19,33
2023-10-20,47
2023-10-21,33
2023-10-22,55
2023-10-23,28
2023-10-24,41
2023-10-25,26
2023-10-26,29
2023-10-27,33
2023-10-28,34
2023-10-29,37
2023-10-30,23
2023-10-31,23
2023-11-01,29
2023-11-02,34
2023-11-03,31
2023-11-04,35
2023-11-05,28
2023-11-06,31
2023-11-07,20
2023-11-08,64
2023-11-09,84
2023-11-10,53
2023-11-11,57
2023-11-12,52
2023-11-13,42
2023-11-14,39
2023-11-15,40
2023-11-16,40
2023-11-17,44
2023-11-18,54
2023-11-19,33
2023-11-20,34
2023-11-21,44
2023-11-22,37
2023-11-23,46
2023-11-24,31
2023-11-25,35
2023-11-26,38
2023-11-27,23
2023-11-28,29
2023-11-29,24
2023-11-30,22
2023-12-01,28
2023-12-02,42
2023-12-03,49
2023-12-04,32
2023-12-05,31
2023-12-06,34
2023-12-07,52
2023-12-08,43
2023-12-09,28
2023-12-10,42
2023-12-11,26
2023-12-12,23
2023-12-13,46
2023-12-14,29
2023-12-15,22
2023-12-16,44
2023-12-17,49
2023-12-18,25
2023-12-19,30
2023-12-20,39
2023-12-21,35
2023-12-22,18
2023-12-23,44
2023-12-24,44
2023-12-25,27
2023-12-26,33
2023-12-27,64
2023-12-28,48
2023-12-29,35
2023-12-30,36
2023-12-31,55
2024-01-01,35
2024-01-02,41
2024-01-03,54
2024-01-04,41
2024-01-05,32
2024-01-06,58
2024-01-07,47
2024-01-08,28
2024-01-09,30
2024-01-10,56
2024-01-11,39
2024-01-12,41
2024-01-13,57
2024-01-14,64
2024-01-15,32
2024-01-16,46
2024-01-17,36
2024-01-18,27
2024-01-19,47
2024-01-20,56
