Time,taco bell
2022-08-29,54
2022-08-30,56
2022-08-31,54
2022-09-01,59
2022-09-02,63
2022-09-03,78
2022-09-04,78
2022-09-05,74
2022-09-06,52
2022-09-07,51
2022-09-08,50
2022-09-09,57
2022-09-10,70
2022-09-11,75
2022-09-12,53
2022-09-13,55
2022-09-14,66
2022-09-15,70
2022-09-16,71
2022-09-17,83
2022-09-18,83
2022-09-19,61
2022-09-20,58
2022-09-21,56
2022-09-22,58
2022-09-23,61
2022-09-24,77
2022-09-25,79
2022-09-26,54
2022-09-27,52
2022-09-28,56
2022-09-29,60
2022-09-30,61
2022-10-01,71
2022-10-02,77
2022-10-03,56
2022-10-04,66
2022-10-05,58
2022-10-06,57
2022-10-07,63
2022-10-08,81
2022-10-09,80
2022-10-10,59
2022-10-11,54
2022-10-12,58
2022-10-13,65
2022-10-14,69
2022-10-15,82
2022-10-16,85
2022-10-17,59
2022-10-18,57
2022-10-19,56
2022-10-20,55
2022-10-21,64
2022-10-22,78
2022-10-23,81
2022-10-24,53
2022-10-25,53
2022-10-26,54
2022-10-27,55
2022-10-28,59
2022-10-29,86
2022-10-30,84
2022-10-31,53
2022-11-01,56
2022-11-02,53
2022-11-03,55
2022-11-04,60
2022-11-05,71
2022-11-06,69
2022-11-07,52
2022-11-08,51
2022-11-09,47
2022-11-10,51
2022-11-11,59
2022-11-12,63
2022-11-13,68
2022-11-14,49
2022-11-15,47
2022-11-16,48
2022-11-17,60
2022-11-18,60
2022-11-19,74
2022-11-20,72
2022-11-21,53
2022-11-22,54
2022-11-23,62
2022-11-24,69
2022-11-25,52
2022-11-26,56
2022-11-27,69
2022-11-28,48
2022-11-29,48
2022-11-30,49
2022-12-01,54
2022-12-02,55
2022-12-03,66
2022-12-04,66
2022-12-05,50
2022-12-06,48
2022-12-07,47
2022-12-08,50
2022-12-09,56
2022-12-10,73
2022-12-11,69
2022-12-12,49
2022-12-13,45
2022-12-14,47
2022-12-15,51
2022-12-16,57
2022-12-17,72
2022-12-18,64
2022-12-19,54
2022-12-20,54
2022-12-21,54
2022-12-22,54
2022-12-23,57
2022-12-24,69
2022-12-25,83
2022-12-26,68
2022-12-27,61
2022-12-28,62
2022-12-29,66
2022-12-30,70
2022-12-31,75
2023-01-01,100
2023-01-02,74
2023-01-03,51
2023-01-04,52
2023-01-05,55
2023-01-06,58
2023-01-07,68
2023-01-08,68
2023-01-09,50
2023-01-10,51
2023-01-11,51
2023-01-12,50
2023-01-13,53
2023-01-14,64
2023-01-15,69
2023-01-16,57
2023-01-17,47
2023-01-18,47
2023-01-19,61
2023-01-20,62
2023-01-21,65
2023-01-22,69
2023-01-23,51
2023-01-24,52
2023-01-25,49
2023-01-26,51
2023-01-27,56
2023-01-28,65
2023-01-29,68
2023-01-30,49
2023-01-31,51
2023-02-01,50
2023-02-02,52
2023-02-03,55
2023-02-04,66
2023-02-05,70
2023-02-06,49
2023-02-07,50
2023-02-08,50
2023-02-09,52
2023-02-10,57
2023-02-11,67
2023-02-12,67
2023-02-13,40
2023-02-14,44
2023-02-15,42
2023-02-16,50
2023-02-17,57
2023-02-18,68
2023-02-19,73
2023-02-20,57
2023-02-21,49
2023-02-22,48
2023-02-23,48
2023-02-24,56
2023-02-25,69
2023-02-26,78
2023-02-27,51
2023-02-28,52
2023-03-01,52
2023-03-02,52
2023-03-03,52
2023-03-04,69
2023-03-05,66
2023-03-06,47
2023-03-07,49
2023-03-08,50
2023-03-09,51
2023-03-10,56
2023-03-11,65
2023-03-12,71
2023-03-13,50
2023-03-14,53
2023-03-15,56
2023-03-16,60
2023-03-17,57
2023-03-18,72
2023-03-19,75
2023-03-20,57
2023-03-21,55
2023-03-22,52
2023-03-23,53
2023-03-24,57
2023-03-25,68
2023-03-26,70
2023-03-27,50
2023-03-28,49
2023-03-29,50
2023-03-30,53
2023-03-31,58
2023-04-01,70
2023-04-02,72
2023-04-03,50
2023-04-04,49
2023-04-05,51
2023-04-06,59
2023-04-07,59
2023-04-08,65
2023-04-09,74
2023-04-10,55
2023-04-11,48
2023-04-12,55
2023-04-13,53
2023-04-14,61
2023-04-15,75
2023-04-16,77
2023-04-17,50
2023-04-18,51
2023-04-19,51
2023-04-20,53
2023-04-21,58
2023-04-22,73
2023-04-23,71
2023-04-24,53
2023-04-25,51
2023-04-26,49
2023-04-27,55
2023-04-28,55
2023-04-29,68
2023-04-30,72
2023-05-01,52
2023-05-02,54
2023-05-03,52
2023-05-04,56
2023-05-05,68
2023-05-06,74
2023-05-07,70
2023-05-08,51
2023-05-09,51
2023-05-10,53
2023-05-11,52
2023-05-12,56
2023-05-13,65
2023-05-14,69
2023-05-15,48
2023-05-16,53
2023-05-17,52
2023-05-18,56
2023-05-19,60
2023-05-20,70
2023-05-21,71
2023-05-22,53
2023-05-23,53
2023-05-24,54
2023-05-25,59
