Time,taco bell
2023-04-26,52
2023-04-27,57
2023-04-28,57
2023-04-29,72
2023-04-30,76
2023-05-01,54
2023-05-02,56
2023-05-03,55
2023-05-04,59
2023-05-05,71
2023-05-06,77
2023-05-07,73
2023-05-08,53
2023-05-09,53
2023-05-10,56
2023-05-11,54
2023-05-12,58
2023-05-13,68
2023-05-14,72
2023-05-15,50
2023-05-16,56
2023-05-17,54
2023-05-18,59
2023-05-19,63
2023-05-20,74
2023-05-21,74
2023-05-22,55
2023-05-23,56
2023-05-24,57
2023-05-25,62
2023-05-26,72
2023-05-27,87
2023-05-28,81
2023-05-29,74
2023-05-30,56
2023-05-31,57
2023-06-01,61
2023-06-02,69
2023-06-03,76
2023-06-04,81
2023-06-05,60
2023-06-06,62
2023-06-07,58
2023-06-08,64
2023-06-09,64
2023-06-10,75
2023-06-11,79
2023-06-12,61
2023-06-13,63
2023-06-14,60
2023-06-15,62
2023-06-16,65
2023-06-17,74
2023-06-18,76
2023-06-19,61
2023-06-20,60
2023-06-21,57
2023-06-22,61
2023-06-23,64
2023-06-24,72
2023-06-25,81
2023-06-26,63
2023-06-27,71
2023-06-28,74
2023-06-29,77
2023-06-30,79
2023-07-01,83
2023-07-02,92
2023-07-03,73
2023-07-04,88
2023-07-05,76
2023-07-06,70
2023-07-07,71
2023-07-08,81
2023-07-09,83
2023-07-10,62
2023-07-11,61
2023-07-12,64
2023-07-13,62
2023-07-14,67
2023-07-15,73
2023-07-16,79
2023-07-17,63
2023-07-18,60
2023-07-19,65
2023-07-20,64
2023-07-21,67
2023-07-22,77
2023-07-23,84
2023-07-24,62
2023-07-25,64
2023-07-26,58
2023-07-27,66
2023-07-28,66
2023-07-29,78
2023-07-30,81
2023-07-31,61
2023-08-01,68
2023-08-02,66
2023-08-03,70
2023-08-04,73
2023-08-05,79
2023-08-06,85
2023-08-07,64
2023-08-08,67
2023-08-09,69
2023-08-10,67
2023-08-11,72
2023-08-12,78
2023-08-13,86
2023-08-14,62
2023-08-15,71
2023-08-16,71
2023-08-17,68
2023-08-18,66
2023-08-19,79
2023-08-20,83
2023-08-21,58
2023-08-22,62
2023-08-23,58
2023-08-24,57
2023-08-25,62
2023-08-26,73
2023-08-27,83
2023-08-28,53
2023-08-29,60
2023-08-30,57
2023-08-31,59
2023-09-01,66
2023-09-02,70
2023-09-03,74
2023-09-04,77
2023-09-05,57
2023-09-06,56
2023-09-07,58
2023-09-08,64
2023-09-09,77
2023-09-10,78
2023-09-11,54
2023-09-12,59
2023-09-13,55
2023-09-14,54
2023-09-15,61
2023-09-16,74
2023-09-17,74
2023-09-18,51
2023-09-19,52
2023-09-20,52
2023-09-21,56
2023-09-22,57
2023-09-23,68
2023-09-24,76
2023-09-25,51
2023-09-26,51
2023-09-27,52
2023-09-28,58
2023-09-29,60
2023-09-30,80
2023-10-01,79
2023-10-02,54
2023-10-03,53
2023-10-04,63
2023-10-05,61
2023-10-06,59
2023-10-07,69
2023-10-08,74
2023-10-09,53
2023-10-10,50
2023-10-11,51
2023-10-12,54
2023-10-13,58
2023-10-14,70
2023-10-15,72
2023-10-16,52
2023-10-17,52
2023-10-18,51
2023-10-19,54
2023-10-20,58
2023-10-21,72
2023-10-22,72
2023-10-23,50
2023-10-24,50
2023-10-25,50
2023-10-26,52
2023-10-27,56
2023-10-28,71
2023-10-29,72
2023-10-30,49
2023-10-31,47
2023-11-01,55
2023-11-02,50
2023-11-03,51
2023-11-04,68
2023-11-05,70
2023-11-06,49
2023-11-07,48
2023-11-08,48
2023-11-09,51
2023-11-10,55
2023-11-11,68
2023-11-12,65
2023-11-13,46
2023-11-14,43
2023-11-15,47
2023-11-16,49
2023-11-17,56
2023-11-18,65
2023-11-19,65
2023-11-20,49
2023-11-21,55
2023-11-22,60
2023-11-23,69
2023-11-24,47
2023-11-25,58
2023-11-26,63
2023-11-27,42
2023-11-28,47
2023-11-29,48
2023-11-30,48
2023-12-01,54
2023-12-02,65
2023-12-03,65
2023-12-04,47
2023-12-05,49
2023-12-06,51
2023-12-07,53
2023-12-08,51
2023-12-09,71
2023-12-10,68
2023-12-11,45
2023-12-12,48
2023-12-13,46
2023-12-14,51
2023-12-15,56
2023-12-16,66
2023-12-17,68
2023-12-18,48
2023-12-19,49
2023-12-20,55
2023-12-21,55
2023-12-22,61
2023-12-23,65
2023-12-24,79
2023-12-25,90
2023-12-26,68
2023-12-27,55
2023-12-28,61
2023-12-29,63
2023-12-30,69
2023-12-31,69
2024-01-01,100
2024-01-02,63
2024-01-03,53
2024-01-04,54
2024-01-05,55
2024-01-06,63
2024-01-07,65
2024-01-08,46
2024-01-09,47
2024-01-10,51
2024-01-11,53
2024-01-12,57
2024-01-13,64
2024-01-14,61
2024-01-15,57
2024-01-16,48
2024-01-17,48
2024-01-18,52
2024-01-19,54
2024-01-20,67
