Time,scream
2023-04-26,68
2023-04-27,59
2023-04-28,56
2023-04-29,91
2023-04-30,100
2023-05-01,57
2023-05-02,44
2023-05-03,36
2023-05-04,33
2023-05-05,34
2023-05-06,48
2023-05-07,61
2023-05-08,37
2023-05-09,32
2023-05-10,28
2023-05-11,25
2023-05-12,29
2023-05-13,33
2023-05-14,39
2023-05-15,29
2023-05-16,25
2023-05-17,24
2023-05-18,22
2023-05-19,25
2023-05-20,35
2023-05-21,45
2023-05-22,27
2023-05-23,23
2023-05-24,22
2023-05-25,22
2023-05-26,22
2023-05-27,32
2023-05-28,30
2023-05-29,30
2023-05-30,22
2023-05-31,20
2023-06-01,20
2023-06-02,23
2023-06-03,27
2023-06-04,29
2023-06-05,23
2023-06-06,21
2023-06-07,20
2023-06-08,19
2023-06-09,19
2023-06-10,23
2023-06-11,26
2023-06-12,21
2023-06-13,19
2023-06-14,19
2023-06-15,19
2023-06-16,19
2023-06-17,22
2023-06-18,25
2023-06-19,23
2023-06-20,19
2023-06-21,18
2023-06-22,17
2023-06-23,19
2023-06-24,22
2023-06-25,23
2023-06-26,19
2023-06-27,19
2023-06-28,19
2023-06-29,19
2023-06-30,19
2023-07-01,22
2023-07-02,23
2023-07-03,21
2023-07-04,23
2023-07-05,19
2023-07-06,20
2023-07-07,20
2023-07-08,24
2023-07-09,25
2023-07-10,20
2023-07-11,20
2023-07-12,19
2023-07-13,19
2023-07-14,18
2023-07-15,22
2023-07-16,24
2023-07-17,19
2023-07-18,20
2023-07-19,19
2023-07-20,18
2023-07-21,18
2023-07-22,21
2023-07-23,24
2023-07-24,20
2023-07-25,18
2023-07-26,18
2023-07-27,18
2023-07-28,20
2023-07-29,24
2023-07-30,25
2023-07-31,20
2023-08-01,19
2023-08-02,19
2023-08-03,21
2023-08-04,22
2023-08-05,23
2023-08-06,25
2023-08-07,21
2023-08-08,19
2023-08-09,18
2023-08-10,19
2023-08-11,19
2023-08-12,21
2023-08-13,26
2023-08-14,20
2023-08-15,18
2023-08-16,19
2023-08-17,20
2023-08-18,19
2023-08-19,23
2023-08-20,25
2023-08-21,20
2023-08-22,18
2023-08-23,19
2023-08-24,17
2023-08-25,18
2023-08-26,22
2023-08-27,24
2023-08-28,18
2023-08-29,17
2023-08-30,17
2023-08-31,18
2023-09-01,19
2023-09-02,23
2023-09-03,27
2023-09-04,29
2023-09-05,18
2023-09-06,17
2023-09-07,18
2023-09-08,20
2023-09-09,26
2023-09-10,27
2023-09-11,20
2023-09-12,19
2023-09-13,19
2023-09-14,18
2023-09-15,19
2023-09-16,28
2023-09-17,30
2023-09-18,23
2023-09-19,21
2023-09-20,21
2023-09-21,21
2023-09-22,22
2023-09-23,30
2023-09-24,32
2023-09-25,25
2023-09-26,27
2023-09-27,23
2023-09-28,24
2023-09-29,25
2023-09-30,35
2023-10-01,40
2023-10-02,30
2023-10-03,29
2023-10-04,28
2023-10-05,29
2023-10-06,34
2023-10-07,46
2023-10-08,53
2023-10-09,37
2023-10-10,34
2023-10-11,30
2023-10-12,35
2023-10-13,43
2023-10-14,62
2023-10-15,63
2023-10-16,38
2023-10-17,33
2023-10-18,33
2023-10-19,35
2023-10-20,38
2023-10-21,61
2023-10-22,66
2023-10-23,45
2023-10-24,38
2023-10-25,38
2023-10-26,40
2023-10-27,50
2023-10-28,74
2023-10-29,74
2023-10-30,56
2023-10-31,72
2023-11-01,57
2023-11-02,27
2023-11-03,25
2023-11-04,29
2023-11-05,31
2023-11-06,21
2023-11-07,20
2023-11-08,18
2023-11-09,18
2023-11-10,18
2023-11-11,23
2023-11-12,23
2023-11-13,16
2023-11-14,16
2023-11-15,15
2023-11-16,16
2023-11-17,14
2023-11-18,17
2023-11-19,19
2023-11-20,16
2023-11-21,18
2023-11-22,38
2023-11-23,35
2023-11-24,27
2023-11-25,25
2023-11-26,22
2023-11-27,18
2023-11-28,15
2023-11-29,20
2023-11-30,21
2023-12-01,15
2023-12-02,15
2023-12-03,16
2023-12-04,12
2023-12-05,12
2023-12-06,13
2023-12-07,12
2023-12-08,12
2023-12-09,14
2023-12-10,16
2023-12-11,13
2023-12-12,11
2023-12-13,12
2023-12-14,12
2023-12-15,12
2023-12-16,13
2023-12-17,15
2023-12-18,12
2023-12-19,12
2023-12-20,13
2023-12-21,13
2023-12-22,14
2023-12-23,16
2023-12-24,17
2023-12-25,16
2023-12-26,14
2023-12-27,14
2023-12-28,15
2023-12-29,14
2023-12-30,16
2023-12-31,17
2024-01-01,15
2024-01-02,14
2024-01-03,13
2024-01-04,13
2024-01-05,13
2024-01-06,16
2024-01-07,16
2024-01-08,12
2024-01-09,12
2024-01-10,12
2024-01-11,12
2024-01-12,13
2024-01-13,15
2024-01-14,16
2024-01-15,14
2024-01-16,13
2024-01-17,13
2024-01-18,12
2024-01-19,13
2024-01-20,16
