Time,frontier_airlines
2022-01-01,36.0
2022-01-02,46.0
2022-01-03,47.0
2022-01-04,49.0
2022-01-05,44.0
2022-01-06,35.0
2022-01-07,38.0
2022-01-08,33.0
2022-01-09,35.0
2022-01-10,36.0
2022-01-11,38.0
2022-01-12,39.0
2022-01-13,34.0
2022-01-14,31.0
2022-01-15,31.0
2022-01-16,32.0
2022-01-17,38.0
2022-01-18,37.0
2022-01-19,37.0
2022-01-20,40.0
2022-01-21,36.0
2022-01-22,32.0
2022-01-23,35.0
2022-01-24,45.0
2022-01-25,34.0
2022-01-26,34.0
2022-01-27,38.0
2022-01-28,38.0
2022-01-29,37.0
2022-01-30,39.0
2022-01-31,39.0
2022-02-01,39.0
2022-02-02,42.0
2022-02-03,45.0
2022-02-04,45.0
2022-02-05,40.0
2022-02-06,42.0
2022-02-07,100.0
2022-02-08,82.0
2022-02-09,55.0
2022-02-10,44.0
2022-02-11,45.0
2022-02-12,41.0
2022-02-13,39.0
2022-02-14,43.0
2022-02-15,48.0
2022-02-16,56.0
2022-02-17,54.0
2022-02-18,52.0
2022-02-19,48.0
2022-02-20,46.0
2022-02-21,52.0
2022-02-22,60.0
2022-02-23,54.0
2022-02-24,55.0
2022-02-25,53.0
2022-02-26,46.0
2022-02-27,47.0
2022-02-28,53.0
2022-03-01,51.0
2022-03-02,52.0
2022-03-03,51.0
2022-03-04,48.0
2022-03-05,43.0
2022-03-06,46.0
2022-03-07,51.0
2022-03-08,53.0
2022-03-09,63.0
2022-03-10,68.0
2022-03-11,63.0
2022-03-12,53.0
2022-03-13,55.0
2022-03-14,53.0
2022-03-15,55.0
2022-03-16,50.0
2022-03-17,49.0
2022-03-18,49.0
2022-03-19,52.0
2022-03-20,53.0
2022-03-21,57.0
2022-03-22,60.0
2022-03-23,54.0
2022-03-24,63.0
2022-03-25,48.0
2022-03-26,46.0
2022-03-27,53.0
2022-03-28,46.0
2022-03-29,47.0
2022-03-30,54.0
2022-03-31,46.0
