Time,stock futures
2023-12-22,29
2023-12-23,4
2023-12-24,5
2023-12-25,12
2023-12-26,35
2023-12-27,25
2023-12-28,25
2023-12-29,24
2023-12-30,4
2023-12-31,3
2024-01-01,13
2024-01-02,36
2024-01-03,29
2024-01-04,28
2024-01-05,22
2024-01-06,5
2024-01-07,8
2024-01-08,28
2024-01-09,24
2024-01-10,24
2024-01-11,24
2024-01-12,23
2024-01-13,3
2024-01-14,5
2024-01-15,18
2024-01-16,27
2024-01-17,24
2024-01-18,22
2024-01-19,24
2024-01-20,5
2024-01-21,11
2024-01-22,30
2024-01-23,23
2024-01-24,26
2024-01-25,24
2024-01-26,23
2024-01-27,4
2024-01-28,9
2024-01-29,25
2024-01-30,23
2024-01-31,21
2024-02-01,22
2024-02-02,25
2024-02-03,5
2024-02-04,9
2024-02-05,28
2024-02-06,21
2024-02-07,20
2024-02-08,21
2024-02-09,21
2024-02-10,4
2024-02-11,8
2024-02-12,24
2024-02-13,25
2024-02-14,24
2024-02-15,22
2024-02-16,22
2024-02-17,4
2024-02-18,7
2024-02-19,21
2024-02-20,29
2024-02-21,23
2024-02-22,26
2024-02-23,25
2024-02-24,3
2024-02-25,11
2024-02-26,29
2024-02-27,21
2024-02-28,20
2024-02-29,19
2024-03-01,20
2024-03-02,3
2024-03-03,11
2024-03-04,30
2024-03-05,22
2024-03-06,21
2024-03-07,21
2024-03-08,24
2024-03-09,5
2024-03-10,12
2024-03-11,27
2024-03-12,21
2024-03-13,23
2024-03-14,20
2024-03-15,22
2024-03-16,5
2024-03-17,9
2024-03-18,27
2024-03-19,18
2024-03-20,20
2024-03-21,21
2024-03-22,21
2024-03-23,4
2024-03-24,11
2024-03-25,23
2024-03-26,22
2024-03-27,22
2024-03-28,20
2024-03-29,11
2024-03-30,4
2024-03-31,10
2024-04-01,27
2024-04-02,20
2024-04-03,21
2024-04-04,21
2024-04-05,21
2024-04-06,3
2024-04-07,12
2024-04-08,23
2024-04-09,20
2024-04-10,23
2024-04-11,22
2024-04-12,20
2024-04-13,6
2024-04-14,25
2024-04-15,33
2024-04-16,25
2024-04-17,22
2024-04-18,22
2024-04-19,33
2024-04-20,5
2024-04-21,14
2024-04-22,29
2024-04-23,23
2024-04-24,23
2024-04-25,22
2024-04-26,22
2024-04-27,4
2024-04-28,12
2024-04-29,28
2024-04-30,23
2024-05-01,23
2024-05-02,22
2024-05-03,21
2024-05-04,3
2024-05-05,13
2024-05-06,26
2024-05-07,22
2024-05-08,21
2024-05-09,17
2024-05-10,19
2024-05-11,3
2024-05-12,10
2024-05-13,25
2024-05-14,21
2024-05-15,24
2024-05-16,20
2024-05-17,22
2024-05-18,3
2024-05-19,8
2024-05-20,25
2024-05-21,19
2024-05-22,21
2024-05-23,23
2024-05-24,21
2024-05-25,3
2024-05-26,5
2024-05-27,16
2024-05-28,25
2024-05-29,21
2024-05-30,24
2024-05-31,24
2024-06-01,4
2024-06-02,11
2024-06-03,25
2024-06-04,20
2024-06-05,20
2024-06-06,20
2024-06-07,19
2024-06-08,4
2024-06-09,10
2024-06-10,25
2024-06-11,21
2024-06-12,23
2024-06-13,24
2024-06-14,21
2024-06-15,3
2024-06-16,10
2024-06-17,26
2024-06-18,20
2024-06-19,17
2024-06-20,24
2024-06-21,20
2024-06-22,2
2024-06-23,8
2024-06-24,26
2024-06-25,19
2024-06-26,20
2024-06-27,19
2024-06-28,22
2024-06-29,4
2024-06-30,7
2024-07-01,26
2024-07-02,21
2024-07-03,19
2024-07-04,10
2024-07-05,25
2024-07-06,5
2024-07-07,11
2024-07-08,25
2024-07-09,20
2024-07-10,20
2024-07-11,23
2024-07-12,21
2024-07-13,3
2024-07-14,17
2024-07-15,31
2024-07-16,21
2024-07-17,26
2024-07-18,27
2024-07-19,25
2024-07-20,5
2024-07-21,18
2024-07-22,32
2024-07-23,22
2024-07-24,23
2024-07-25,29
2024-07-26,20
2024-07-27,4
2024-07-28,12
2024-07-29,28
2024-07-30,21
2024-07-31,23
2024-08-01,24
2024-08-02,30
2024-08-03,7
2024-08-04,23
2024-08-05,100
2024-08-06,67
2024-08-07,47
2024-08-08,35
2024-08-09,29
2024-08-10,8
2024-08-11,20
2024-08-12,36
2024-08-13,25
2024-08-14,29
2024-08-15,26
2024-08-16,25
2024-08-17,4
2024-08-18,14
2024-08-19,31
2024-08-20,29
2024-08-21,24
2024-08-22,26
2024-08-23,22
2024-08-24,3
2024-08-25,15
2024-08-26,32
2024-08-27,23
2024-08-28,26
2024-08-29,26
2024-08-30,21
2024-08-31,4
2024-09-01,5
2024-09-02,16
2024-09-03,27
2024-09-04,28
2024-09-05,24
2024-09-06,23
2024-09-07,6
2024-09-08,14
2024-09-09,27
2024-09-10,22
2024-09-11,24
2024-09-12,21
2024-09-13,22
2024-09-14,3
2024-09-15,11
2024-09-16,28
