Time,voo
2023-04-26,61
2023-04-27,60
2023-04-28,61
2023-04-29,27
2023-04-30,24
2023-05-01,65
2023-05-02,59
2023-05-03,65
2023-05-04,57
2023-05-05,60
2023-05-06,26
2023-05-07,24
2023-05-08,54
2023-05-09,55
2023-05-10,58
2023-05-11,51
2023-05-12,54
2023-05-13,27
2023-05-14,21
2023-05-15,51
2023-05-16,54
2023-05-17,56
2023-05-18,55
2023-05-19,59
2023-05-20,29
2023-05-21,25
2023-05-22,59
2023-05-23,53
2023-05-24,57
2023-05-25,58
2023-05-26,65
2023-05-27,26
2023-05-28,21
2023-05-29,25
2023-05-30,60
2023-05-31,57
2023-06-01,63
2023-06-02,76
2023-06-03,32
2023-06-04,25
2023-06-05,66
2023-06-06,61
2023-06-07,59
2023-06-08,61
2023-06-09,65
2023-06-10,27
2023-06-11,24
2023-06-12,64
2023-06-13,82
2023-06-14,79
2023-06-15,79
2023-06-16,73
2023-06-17,26
2023-06-18,25
2023-06-19,36
2023-06-20,69
2023-06-21,64
2023-06-22,63
2023-06-23,58
2023-06-24,27
2023-06-25,26
2023-06-26,62
2023-06-27,67
2023-06-28,63
2023-06-29,65
2023-06-30,64
2023-07-01,32
2023-07-02,28
2023-07-03,61
2023-07-04,33
2023-07-05,65
2023-07-06,70
2023-07-07,67
2023-07-08,29
2023-07-09,23
2023-07-10,57
2023-07-11,68
2023-07-12,68
2023-07-13,77
2023-07-14,72
2023-07-15,31
2023-07-16,28
2023-07-17,65
2023-07-18,67
2023-07-19,76
2023-07-20,65
2023-07-21,66
2023-07-22,31
2023-07-23,31
2023-07-24,65
2023-07-25,70
2023-07-26,72
2023-07-27,71
2023-07-28,78
2023-07-29,29
2023-07-30,28
2023-07-31,67
2023-08-01,67
2023-08-02,70
2023-08-03,75
2023-08-04,69
2023-08-05,30
2023-08-06,26
2023-08-07,69
2023-08-08,72
2023-08-09,68
2023-08-10,63
2023-08-11,67
2023-08-12,30
2023-08-13,22
2023-08-14,61
2023-08-15,66
2023-08-16,66
2023-08-17,69
2023-08-18,67
2023-08-19,22
2023-08-20,24
2023-08-21,67
2023-08-22,61
2023-08-23,63
2023-08-24,65
2023-08-25,61
2023-08-26,29
2023-08-27,26
2023-08-28,57
2023-08-29,64
2023-08-30,68
2023-08-31,61
2023-09-01,59
2023-09-02,29
2023-09-03,26
2023-09-04,25
2023-09-05,60
2023-09-06,63
2023-09-07,63
2023-09-08,51
2023-09-09,29
2023-09-10,25
2023-09-11,57
2023-09-12,60
2023-09-13,57
2023-09-14,59
2023-09-15,58
2023-09-16,32
2023-09-17,25
2023-09-18,60
2023-09-19,59
2023-09-20,65
2023-09-21,81
2023-09-22,69
2023-09-23,30
2023-09-24,27
2023-09-25,68
2023-09-26,80
2023-09-27,74
2023-09-28,69
2023-09-29,65
2023-09-30,30
2023-10-01,27
2023-10-02,70
2023-10-03,82
2023-10-04,74
2023-10-05,66
2023-10-06,66
2023-10-07,30
2023-10-08,24
2023-10-09,57
2023-10-10,62
2023-10-11,61
2023-10-12,66
2023-10-13,62
2023-10-14,26
2023-10-15,24
2023-10-16,63
2023-10-17,55
2023-10-18,60
2023-10-19,62
2023-10-20,65
2023-10-21,29
2023-10-22,25
2023-10-23,63
2023-10-24,60
2023-10-25,63
2023-10-26,71
2023-10-27,70
2023-10-28,34
2023-10-29,26
2023-10-30,63
2023-10-31,63
2023-11-01,64
2023-11-02,64
2023-11-03,67
2023-11-04,29
2023-11-05,25
2023-11-06,60
2023-11-07,61
2023-11-08,64
2023-11-09,62
2023-11-10,67
2023-11-11,32
2023-11-12,25
2023-11-13,64
2023-11-14,73
2023-11-15,80
2023-11-16,69
2023-11-17,62
2023-11-18,30
2023-11-19,22
2023-11-20,69
2023-11-21,69
2023-11-22,67
2023-11-23,28
2023-11-24,44
2023-11-25,27
2023-11-26,24
2023-11-27,64
2023-11-28,58
2023-11-29,66
2023-11-30,62
2023-12-01,68
2023-12-02,35
2023-12-03,28
2023-12-04,71
2023-12-05,63
2023-12-06,63
2023-12-07,64
2023-12-08,72
2023-12-09,34
2023-12-10,29
2023-12-11,58
2023-12-12,72
2023-12-13,83
2023-12-14,97
2023-12-15,84
2023-12-16,38
2023-12-17,34
2023-12-18,77
2023-12-19,84
2023-12-20,99
2023-12-21,89
2023-12-22,78
2023-12-23,42
2023-12-24,33
2023-12-25,31
2023-12-26,74
2023-12-27,86
2023-12-28,93
2023-12-29,80
2023-12-30,38
2023-12-31,36
2024-01-01,40
2024-01-02,100
2024-01-03,93
2024-01-04,94
2024-01-05,83
2024-01-06,44
2024-01-07,35
2024-01-08,80
2024-01-09,85
2024-01-10,87
2024-01-11,92
2024-01-12,78
2024-01-13,42
2024-01-14,31
2024-01-15,39
2024-01-16,69
2024-01-17,84
2024-01-18,80
2024-01-19,93
2024-01-20,47
