Time,google classroom
2023-04-26,75
2023-04-27,74
2023-04-28,70
2023-04-29,11
2023-04-30,13
2023-05-01,82
2023-05-02,71
2023-05-03,69
2023-05-04,76
2023-05-05,65
2023-05-06,10
2023-05-07,12
2023-05-08,82
2023-05-09,74
2023-05-10,72
2023-05-11,72
2023-05-12,64
2023-05-13,10
2023-05-14,10
2023-05-15,76
2023-05-16,69
2023-05-17,73
2023-05-18,70
2023-05-19,58
2023-05-20,10
2023-05-21,11
2023-05-22,63
2023-05-23,57
2023-05-24,51
2023-05-25,49
2023-05-26,36
2023-05-27,7
2023-05-28,5
2023-05-29,8
2023-05-30,42
2023-05-31,39
2023-06-01,33
2023-06-02,30
2023-06-03,7
2023-06-04,7
2023-06-05,34
2023-06-06,30
2023-06-07,27
2023-06-08,20
2023-06-09,19
2023-06-10,5
2023-06-11,6
2023-06-12,21
2023-06-13,18
2023-06-14,15
2023-06-15,13
2023-06-16,9
2023-06-17,3
2023-06-18,3
2023-06-19,5
2023-06-20,11
2023-06-21,9
2023-06-22,8
2023-06-23,6
2023-06-24,3
2023-06-25,3
2023-06-26,7
2023-06-27,6
2023-06-28,5
2023-06-29,5
2023-06-30,4
2023-07-01,2
2023-07-02,2
2023-07-03,3
2023-07-04,2
2023-07-05,6
2023-07-06,5
2023-07-07,4
2023-07-08,2
2023-07-09,3
2023-07-10,6
2023-07-11,7
2023-07-12,6
2023-07-13,6
2023-07-14,4
2023-07-15,2
2023-07-16,3
2023-07-17,6
2023-07-18,6
2023-07-19,6
2023-07-20,6
2023-07-21,4
2023-07-22,2
2023-07-23,3
2023-07-24,7
2023-07-25,7
2023-07-26,7
2023-07-27,7
2023-07-28,6
2023-07-29,3
2023-07-30,3
2023-07-31,9
2023-08-01,11
2023-08-02,12
2023-08-03,15
2023-08-04,14
2023-08-05,5
2023-08-06,5
2023-08-07,19
2023-08-08,22
2023-08-09,26
2023-08-10,33
2023-08-11,34
2023-08-12,7
2023-08-13,8
2023-08-14,43
2023-08-15,50
2023-08-16,58
2023-08-17,62
2023-08-18,57
2023-08-19,9
2023-08-20,10
2023-08-21,65
2023-08-22,68
2023-08-23,74
2023-08-24,74
2023-08-25,68
2023-08-26,10
2023-08-27,12
2023-08-28,74
2023-08-29,79
2023-08-30,80
2023-08-31,79
2023-09-01,69
2023-09-02,10
2023-09-03,9
2023-09-04,15
2023-09-05,91
2023-09-06,94
2023-09-07,91
2023-09-08,88
2023-09-09,13
2023-09-10,16
2023-09-11,97
2023-09-12,96
2023-09-13,100
2023-09-14,94
2023-09-15,87
2023-09-16,13
2023-09-17,15
2023-09-18,92
2023-09-19,92
2023-09-20,96
2023-09-21,94
2023-09-22,84
2023-09-23,12
2023-09-24,13
2023-09-25,74
2023-09-26,94
2023-09-27,90
2023-09-28,98
2023-09-29,84
2023-09-30,13
2023-10-01,15
2023-10-02,87
2023-10-03,93
2023-10-04,87
2023-10-05,85
2023-10-06,74
2023-10-07,11
2023-10-08,11
2023-10-09,47
2023-10-10,82
2023-10-11,80
2023-10-12,80
2023-10-13,66
2023-10-14,11
2023-10-15,14
2023-10-16,81
2023-10-17,87
2023-10-18,82
2023-10-19,83
2023-10-20,72
2023-10-21,11
2023-10-22,14
2023-10-23,86
2023-10-24,86
2023-10-25,77
2023-10-26,78
2023-10-27,69
2023-10-28,10
2023-10-29,13
2023-10-30,80
2023-10-31,71
2023-11-01,75
2023-11-02,79
2023-11-03,72
2023-11-04,11
2023-11-05,13
2023-11-06,84
2023-11-07,63
2023-11-08,75
2023-11-09,74
2023-11-10,47
2023-11-11,10
2023-11-12,13
2023-11-13,81
2023-11-14,79
2023-11-15,79
2023-11-16,77
2023-11-17,66
2023-11-18,11
2023-11-19,9
2023-11-20,44
2023-11-21,39
2023-11-22,17
2023-11-23,5
2023-11-24,5
2023-11-25,6
2023-11-26,11
2023-11-27,72
2023-11-28,78
2023-11-29,79
2023-11-30,76
2023-12-01,73
2023-12-02,11
2023-12-03,11
2023-12-04,73
2023-12-05,78
2023-12-06,77
2023-12-07,74
2023-12-08,71
2023-12-09,12
2023-12-10,14
2023-12-11,74
2023-12-12,74
2023-12-13,74
2023-12-14,68
2023-12-15,56
2023-12-16,9
2023-12-17,11
2023-12-18,49
2023-12-19,49
2023-12-20,41
2023-12-21,30
2023-12-22,16
2023-12-23,4
2023-12-24,3
2023-12-25,3
2023-12-26,4
2023-12-27,3
2023-12-28,3
2023-12-29,3
2023-12-30,3
2023-12-31,3
2024-01-01,5
2024-01-02,24
2024-01-03,37
2024-01-04,42
2024-01-05,41
2024-01-06,6
2024-01-07,9
2024-01-08,58
2024-01-09,64
2024-01-10,67
2024-01-11,71
2024-01-12,61
2024-01-13,9
2024-01-14,7
2024-01-15,13
2024-01-16,53
2024-01-17,60
2024-01-18,66
2024-01-19,58
2024-01-20,9
