Time,ukraine
2025-12-11,69
2025-12-12,66
2025-12-13,65
2025-12-14,64
2025-12-15,66
2025-12-16,65
2025-12-17,66
2025-12-18,67
2025-12-19,67
2025-12-20,65
2025-12-21,60
2025-12-22,59
2025-12-23,61
2025-12-24,58
2025-12-25,60
2025-12-26,62
2025-12-27,71
2025-12-28,69
2025-12-29,73
2025-12-30,74
2025-12-31,64
2026-01-01,56
2026-01-02,57
2026-01-03,73
2026-01-04,62
2026-01-05,54
2026-01-06,59
2026-01-07,65
2026-01-08,61
2026-01-09,66
2026-01-10,64
2026-01-11,57
2026-01-12,55
2026-01-13,56
2026-01-14,59
2026-01-15,59
2026-01-16,57
2026-01-17,57
2026-01-18,52
2026-01-19,65
2026-01-20,62
2026-01-21,61
2026-01-22,60
2026-01-23,58
2026-01-24,62
2026-01-25,58
2026-01-26,54
2026-01-27,55
2026-01-28,58
2026-01-29,64
2026-01-30,68
2026-01-31,64
2026-02-01,68
2026-02-02,61
2026-02-03,60
2026-02-04,71
2026-02-05,81
2026-02-06,71
2026-02-07,68
2026-02-08,68
2026-02-09,60
2026-02-10,65
2026-02-11,59
2026-02-12,60
2026-02-13,64
2026-02-14,61
2026-02-15,66
2026-02-16,67
2026-02-17,65
2026-02-18,65
2026-02-19,62
2026-02-20,58
2026-02-21,61
2026-02-22,65
2026-02-23,72
2026-02-24,75
2026-02-25,74
2026-02-26,73
2026-02-27,70
2026-02-28,65
2026-03-01,66
2026-03-02,100
2026-03-03,98
2026-03-04,84
2026-03-05,91
2026-03-06,84
2026-03-07,73
2026-03-08,68
2026-03-09,65
2026-03-10,67
2026-03-11,66
2026-03-12,69
2026-03-13,63
2026-03-14,62
2026-03-15,66
2026-03-16,65
2026-03-17,67
2026-03-18,65
2026-03-19,74
2026-03-20,68
2026-03-21,64
2026-03-22,65
2026-03-23,62
2026-03-24,61
2026-03-25,65
2026-03-26,84
2026-03-27,65
2026-03-28,64
2026-03-29,68
2026-03-30,63
2026-03-31,69
2026-04-01,67
2026-04-02,53
2026-04-03,56
2026-04-04,69
2026-04-05,57
2026-04-06,65
2026-04-07,87
2026-04-08,63
2026-04-09,63
2026-04-10,63
2026-04-11,50
2026-04-12,77
2026-04-13,58
2026-04-14,57
2026-04-15,60
2026-04-16,61
2026-04-17,87
2026-04-18,69
2026-04-19,59
2026-04-20,55
2026-04-21,60
2026-04-22,61
2026-04-23,60
2026-04-24,58
2026-04-25,55
2026-04-26,62
2026-04-27,62
2026-04-28,52
2026-04-29,60
2026-04-30,60
2026-05-01,57
2026-05-02,56
2026-05-03,60
2026-05-04,55
2026-05-05,65
2026-05-06,64
2026-05-07,57
2026-05-08,59
2026-05-09,58
2026-05-10,68
2026-05-11,71
2026-05-12,65
2026-05-13,64
2026-05-14,62
2026-05-15,58
2026-05-16,57
2026-05-17,62
2026-05-18,63
2026-05-19,64
2026-05-20,62
2026-05-21,58
2026-05-22,62
2026-05-23,88
2026-05-24,77
2026-05-25,71
2026-05-26,60
2026-05-27,63
2026-05-28,67
2026-05-29,64
2026-05-30,68
2026-05-31,97
