Time,yahoo mail
2023-04-26,89
2023-04-27,87
2023-04-28,86
2023-04-29,74
2023-04-30,64
2023-05-01,90
2023-05-02,90
2023-05-03,93
2023-05-04,95
2023-05-05,85
2023-05-06,67
2023-05-07,63
2023-05-08,91
2023-05-09,94
2023-05-10,91
2023-05-11,86
2023-05-12,87
2023-05-13,68
2023-05-14,63
2023-05-15,92
2023-05-16,92
2023-05-17,90
2023-05-18,90
2023-05-19,90
2023-05-20,66
2023-05-21,65
2023-05-22,90
2023-05-23,89
2023-05-24,94
2023-05-25,90
2023-05-26,88
2023-05-27,70
2023-05-28,61
2023-05-29,67
2023-05-30,87
2023-05-31,93
2023-06-01,97
2023-06-02,92
2023-06-03,72
2023-06-04,68
2023-06-05,90
2023-06-06,86
2023-06-07,90
2023-06-08,89
2023-06-09,87
2023-06-10,66
2023-06-11,67
2023-06-12,93
2023-06-13,96
2023-06-14,100
2023-06-15,92
2023-06-16,88
2023-06-17,71
2023-06-18,63
2023-06-19,83
2023-06-20,91
2023-06-21,91
2023-06-22,85
2023-06-23,88
2023-06-24,67
2023-06-25,65
2023-06-26,93
2023-06-27,93
2023-06-28,91
2023-06-29,87
2023-06-30,85
2023-07-01,74
2023-07-02,64
2023-07-03,81
2023-07-04,67
2023-07-05,90
2023-07-06,93
2023-07-07,88
2023-07-08,72
2023-07-09,66
2023-07-10,90
2023-07-11,94
2023-07-12,97
2023-07-13,92
2023-07-14,92
2023-07-15,71
2023-07-16,65
2023-07-17,92
2023-07-18,89
2023-07-19,92
2023-07-20,89
2023-07-21,86
2023-07-22,68
2023-07-23,66
2023-07-24,90
2023-07-25,91
2023-07-26,87
2023-07-27,88
2023-07-28,85
2023-07-29,69
2023-07-30,63
2023-07-31,88
2023-08-01,92
2023-08-02,92
2023-08-03,89
2023-08-04,85
2023-08-05,64
2023-08-06,63
2023-08-07,93
2023-08-08,88
2023-08-09,89
2023-08-10,89
2023-08-11,88
2023-08-12,67
2023-08-13,61
2023-08-14,87
2023-08-15,92
2023-08-16,89
2023-08-17,87
2023-08-18,86
2023-08-19,66
2023-08-20,62
2023-08-21,87
2023-08-22,89
2023-08-23,90
2023-08-24,89
2023-08-25,79
2023-08-26,65
2023-08-27,62
2023-08-28,84
2023-08-29,85
2023-08-30,84
2023-08-31,83
2023-09-01,82
2023-09-02,62
2023-09-03,57
2023-09-04,65
2023-09-05,79
2023-09-06,86
2023-09-07,85
2023-09-08,81
2023-09-09,63
2023-09-10,58
2023-09-11,83
2023-09-12,82
2023-09-13,84
2023-09-14,82
2023-09-15,78
2023-09-16,63
2023-09-17,60
2023-09-18,80
2023-09-19,84
2023-09-20,82
2023-09-21,81
2023-09-22,77
2023-09-23,65
2023-09-24,60
2023-09-25,81
2023-09-26,81
2023-09-27,81
2023-09-28,82
2023-09-29,85
2023-09-30,63
2023-10-01,60
2023-10-02,80
2023-10-03,84
2023-10-04,83
2023-10-05,81
2023-10-06,76
2023-10-07,62
2023-10-08,59
2023-10-09,77
2023-10-10,82
2023-10-11,83
2023-10-12,82
2023-10-13,80
2023-10-14,65
2023-10-15,58
2023-10-16,81
2023-10-17,79
2023-10-18,82
2023-10-19,81
2023-10-20,81
2023-10-21,61
2023-10-22,62
2023-10-23,80
2023-10-24,83
2023-10-25,83
2023-10-26,81
2023-10-27,81
2023-10-28,57
2023-10-29,57
2023-10-30,82
2023-10-31,80
2023-11-01,84
2023-11-02,83
2023-11-03,76
2023-11-04,62
2023-11-05,58
2023-11-06,82
2023-11-07,84
2023-11-08,85
2023-11-09,82
2023-11-10,77
2023-11-11,61
2023-11-12,59
2023-11-13,80
2023-11-14,82
2023-11-15,85
2023-11-16,83
2023-11-17,76
2023-11-18,65
2023-11-19,59
2023-11-20,79
2023-11-21,79
2023-11-22,77
2023-11-23,55
2023-11-24,64
2023-11-25,62
2023-11-26,61
2023-11-27,83
2023-11-28,86
2023-11-29,86
2023-11-30,81
2023-12-01,79
2023-12-02,69
2023-12-03,59
2023-12-04,83
2023-12-05,85
2023-12-06,85
2023-12-07,81
2023-12-08,82
2023-12-09,66
2023-12-10,63
2023-12-11,84
2023-12-12,81
2023-12-13,85
2023-12-14,83
2023-12-15,78
2023-12-16,67
2023-12-17,59
2023-12-18,79
2023-12-19,82
2023-12-20,83
2023-12-21,82
2023-12-22,80
2023-12-23,62
2023-12-24,56
2023-12-25,53
2023-12-26,73
2023-12-27,80
2023-12-28,77
2023-12-29,77
2023-12-30,62
2023-12-31,55
2024-01-01,58
2024-01-02,78
2024-01-03,84
2024-01-04,82
2024-01-05,77
2024-01-06,64
2024-01-07,58
2024-01-08,79
2024-01-09,80
2024-01-10,83
2024-01-11,81
2024-01-12,78
2024-01-13,59
2024-01-14,56
2024-01-15,66
2024-01-16,76
2024-01-17,83
2024-01-18,76
2024-01-19,77
2024-01-20,63
