Time,cheesecake factory
2024-08-18,59
2024-08-19,33
2024-08-20,33
2024-08-21,32
2024-08-22,34
2024-08-23,42
2024-08-24,64
2024-08-25,58
2024-08-26,31
2024-08-27,31
2024-08-28,32
2024-08-29,32
2024-08-30,39
2024-08-31,59
2024-09-01,65
2024-09-02,54
2024-09-03,30
2024-09-04,26
2024-09-05,29
2024-09-06,34
2024-09-07,57
2024-09-08,51
2024-09-09,29
2024-09-10,28
2024-09-11,26
2024-09-12,31
2024-09-13,42
2024-09-14,66
2024-09-15,53
2024-09-16,30
2024-09-17,30
2024-09-18,30
2024-09-19,32
2024-09-20,39
2024-09-21,64
2024-09-22,58
2024-09-23,30
2024-09-24,30
2024-09-25,31
2024-09-26,32
2024-09-27,42
2024-09-28,68
2024-09-29,60
2024-09-30,32
2024-10-01,29
2024-10-02,29
2024-10-03,35
2024-10-04,40
2024-10-05,60
2024-10-06,53
2024-10-07,31
2024-10-08,28
2024-10-09,27
2024-10-10,32
2024-10-11,44
2024-10-12,62
2024-10-13,59
2024-10-14,41
2024-10-15,34
2024-10-16,33
2024-10-17,34
2024-10-18,41
2024-10-19,60
2024-10-20,54
2024-10-21,29
2024-10-22,28
2024-10-23,28
2024-10-24,29
2024-10-25,36
2024-10-26,55
2024-10-27,50
2024-10-28,29
2024-10-29,27
2024-10-30,26
2024-10-31,26
2024-11-01,38
2024-11-02,61
2024-11-03,56
2024-11-04,31
2024-11-05,25
2024-11-06,20
2024-11-07,26
2024-11-08,41
2024-11-09,62
2024-11-10,60
2024-11-11,41
2024-11-12,31
2024-11-13,29
2024-11-14,32
2024-11-15,39
2024-11-16,60
2024-11-17,62
2024-11-18,31
2024-11-19,29
2024-11-20,32
2024-11-21,32
2024-11-22,42
2024-11-23,60
2024-11-24,59
2024-11-25,37
2024-11-26,37
2024-11-27,48
2024-11-28,41
2024-11-29,45
2024-11-30,52
2024-12-01,47
2024-12-02,29
2024-12-03,27
2024-12-04,30
2024-12-05,29
2024-12-06,37
2024-12-07,58
2024-12-08,55
2024-12-09,32
2024-12-10,32
2024-12-11,32
2024-12-12,36
2024-12-13,42
2024-12-14,67
2024-12-15,64
2024-12-16,37
2024-12-17,37
2024-12-18,39
2024-12-19,42
2024-12-20,52
2024-12-21,63
2024-12-22,68
2024-12-23,61
2024-12-24,64
2024-12-25,48
2024-12-26,48
2024-12-27,63
2024-12-28,80
2024-12-29,69
2024-12-30,59
2024-12-31,69
2025-01-01,68
2025-01-02,45
2025-01-03,51
2025-01-04,66
2025-01-05,56
2025-01-06,31
2025-01-07,31
2025-01-08,32
2025-01-09,32
2025-01-10,36
2025-01-11,61
2025-01-12,60
2025-01-13,34
2025-01-14,30
2025-01-15,31
2025-01-16,33
2025-01-17,43
2025-01-18,69
2025-01-19,57
2025-01-20,43
2025-01-21,27
2025-01-22,29
2025-01-23,31
2025-01-24,41
2025-01-25,67
2025-01-26,61
2025-01-27,31
2025-01-28,28
2025-01-29,33
2025-01-30,31
2025-01-31,41
2025-02-01,65
2025-02-02,62
2025-02-03,30
2025-02-04,26
2025-02-05,29
2025-02-06,32
2025-02-07,40
2025-02-08,61
2025-02-09,49
2025-02-10,29
2025-02-11,33
2025-02-12,38
2025-02-13,48
2025-02-14,83
2025-02-15,96
2025-02-16,69
2025-02-17,46
2025-02-18,32
2025-02-19,31
2025-02-20,31
2025-02-21,44
2025-02-22,70
2025-02-23,68
2025-02-24,34
2025-02-25,31
2025-02-26,31
2025-02-27,34
2025-02-28,42
2025-03-01,69
2025-03-02,61
2025-03-03,34
2025-03-04,27
2025-03-05,29
2025-03-06,32
2025-03-07,41
2025-03-08,70
2025-03-09,64
2025-03-10,32
2025-03-11,30
2025-03-12,31
2025-03-13,35
2025-03-14,42
2025-03-15,65
2025-03-16,60
2025-03-17,33
2025-03-18,33
2025-03-19,35
2025-03-20,39
2025-03-21,49
2025-03-22,71
2025-03-23,63
2025-03-24,32
2025-03-25,27
2025-03-26,33
2025-03-27,33
2025-03-28,45
2025-03-29,66
2025-03-30,63
2025-03-31,32
2025-04-01,31
2025-04-02,29
2025-04-03,33
2025-04-04,41
2025-04-05,65
2025-04-06,58
2025-04-07,29
2025-04-08,28
2025-04-09,31
2025-04-10,33
2025-04-11,43
2025-04-12,66
2025-04-13,61
2025-04-14,32
2025-04-15,33
2025-04-16,34
2025-04-17,38
2025-04-18,50
2025-04-19,64
2025-04-20,68
2025-04-21,36
2025-04-22,30
2025-04-23,31
2025-04-24,30
2025-04-25,39
2025-04-26,61
2025-04-27,56
2025-04-28,31
2025-04-29,29
2025-04-30,28
2025-05-01,30
2025-05-02,37
2025-05-03,59
2025-05-04,57
2025-05-05,31
2025-05-06,29
2025-05-07,32
2025-05-08,37
2025-05-09,45
2025-05-10,85
2025-05-11,100
2025-05-12,36
2025-05-13,31
2025-05-14,29
