Time,ford
2022-01-01,68.0
2022-01-02,72.0
2022-01-03,77.0
2022-01-04,95.0
2022-01-05,84.0
2022-01-06,68.0
2022-01-07,81.0
2022-01-08,84.0
2022-01-09,76.0
2022-01-10,78.0
2022-01-11,81.0
2022-01-12,80.0
2022-01-13,92.0
2022-01-14,73.0
2022-01-15,82.0
2022-01-16,68.0
2022-01-17,73.0
2022-01-18,72.0
2022-01-19,76.0
2022-01-20,75.0
2022-01-21,76.0
2022-01-22,84.0
2022-01-23,74.0
2022-01-24,100.0
2022-01-25,75.0
2022-01-26,73.0
2022-01-27,76.0
2022-01-28,86.0
2022-01-29,89.0
2022-01-30,78.0
2022-01-31,80.0
2022-02-01,82.0
2022-02-02,79.0
2022-02-03,78.0
2022-02-04,80.0
2022-02-05,89.0
2022-02-06,76.0
2022-02-07,88.0
2022-02-08,81.0
2022-02-09,81.0
2022-02-10,74.0
2022-02-11,83.0
2022-02-12,88.0
2022-02-13,74.0
2022-02-14,77.0
2022-02-15,82.0
2022-02-16,81.0
2022-02-17,83.0
2022-02-18,87.0
2022-02-19,91.0
2022-02-20,86.0
2022-02-21,95.0
2022-02-22,87.0
2022-02-23,85.0
2022-02-24,80.0
2022-02-25,81.0
2022-02-26,86.0
2022-02-27,81.0
2022-02-28,83.0
2022-03-01,85.0
2022-03-02,88.0
2022-03-03,86.0
2022-03-04,83.0
2022-03-05,91.0
2022-03-06,75.0
2022-03-07,86.0
2022-03-08,86.0
2022-03-09,86.0
2022-03-10,84.0
2022-03-11,84.0
2022-03-12,85.0
2022-03-13,81.0
2022-03-14,86.0
2022-03-15,87.0
2022-03-16,84.0
2022-03-17,84.0
2022-03-18,81.0
2022-03-19,85.0
2022-03-20,81.0
2022-03-21,87.0
2022-03-22,82.0
2022-03-23,83.0
2022-03-24,82.0
2022-03-25,79.0
2022-03-26,85.0
2022-03-27,81.0
2022-03-28,79.0
2022-03-29,78.0
2022-03-30,85.0
2022-03-31,74.0
2022-04-01,75.0
2022-04-02,85.0
2022-04-03,76.0
2022-04-04,83.0
2022-04-05,76.0
2022-04-06,75.0
2022-04-07,79.0
2022-04-08,79.0
2022-04-09,84.0
2022-04-10,76.0
2022-04-11,77.0
2022-04-12,74.0
2022-04-13,74.0
2022-04-14,80.0
2022-04-15,80.0
