Time,wikipedia
2023-12-22,81
2023-12-23,81
2023-12-24,86
2023-12-25,83
2023-12-26,82
2023-12-27,90
2023-12-28,89
2023-12-29,86
2023-12-30,82
2023-12-31,84
2024-01-01,93
2024-01-02,86
2024-01-03,94
2024-01-04,92
2024-01-05,90
2024-01-06,88
2024-01-07,97
2024-01-08,91
2024-01-09,89
2024-01-10,93
2024-01-11,88
2024-01-12,84
2024-01-13,77
2024-01-14,88
2024-01-15,82
2024-01-16,85
2024-01-17,85
2024-01-18,88
2024-01-19,88
2024-01-20,89
2024-01-21,92
2024-01-22,92
2024-01-23,95
2024-01-24,97
2024-01-25,100
2024-01-26,92
2024-01-27,89
2024-01-28,94
2024-01-29,86
2024-01-30,90
2024-01-31,88
2024-02-01,86
2024-02-02,83
2024-02-03,84
2024-02-04,87
2024-02-05,87
2024-02-06,89
2024-02-07,91
2024-02-08,87
2024-02-09,87
2024-02-10,78
2024-02-11,82
2024-02-12,83
2024-02-13,90
2024-02-14,82
2024-02-15,87
2024-02-16,89
2024-02-17,80
2024-02-18,88
2024-02-19,85
2024-02-20,88
2024-02-21,86
2024-02-22,87
2024-02-23,86
2024-02-24,88
2024-02-25,94
2024-02-26,92
2024-02-27,86
2024-02-28,86
2024-02-29,82
2024-03-01,81
2024-03-02,81
2024-03-03,87
2024-03-04,89
2024-03-05,83
2024-03-06,87
2024-03-07,80
2024-03-08,86
2024-03-09,77
2024-03-10,84
2024-03-11,84
2024-03-12,80
2024-03-13,80
2024-03-14,80
2024-03-15,77
2024-03-16,76
2024-03-17,88
2024-03-18,85
2024-03-19,89
2024-03-20,87
2024-03-21,79
2024-03-22,73
2024-03-23,78
2024-03-24,91
2024-03-25,86
2024-03-26,83
2024-03-27,85
2024-03-28,81
2024-03-29,76
2024-03-30,77
2024-03-31,79
2024-04-01,82
2024-04-02,84
2024-04-03,81
2024-04-04,80
2024-04-05,79
2024-04-06,76
2024-04-07,82
2024-04-08,79
2024-04-09,76
2024-04-10,83
2024-04-11,84
2024-04-12,81
2024-04-13,79
2024-04-14,93
2024-04-15,88
2024-04-16,85
2024-04-17,86
2024-04-18,83
2024-04-19,85
2024-04-20,83
2024-04-21,88
2024-04-22,89
2024-04-23,82
2024-04-24,85
2024-04-25,88
2024-04-26,84
2024-04-27,81
2024-04-28,87
2024-04-29,88
2024-04-30,80
2024-05-01,79
2024-05-02,79
2024-05-03,84
2024-05-04,78
2024-05-05,89
2024-05-06,81
2024-05-07,84
2024-05-08,82
2024-05-09,81
2024-05-10,79
2024-05-11,70
2024-05-12,78
2024-05-13,83
2024-05-14,82
2024-05-15,76
2024-05-16,76
2024-05-17,76
2024-05-18,73
2024-05-19,85
2024-05-20,82
2024-05-21,75
2024-05-22,76
2024-05-23,76
2024-05-24,80
2024-05-25,76
2024-05-26,78
2024-05-27,87
2024-05-28,79
2024-05-29,85
2024-05-30,87
2024-05-31,79
2024-06-01,79
2024-06-02,83
2024-06-03,77
2024-06-04,84
2024-06-05,79
2024-06-06,81
2024-06-07,77
2024-06-08,75
2024-06-09,92
2024-06-10,82
2024-06-11,77
2024-06-12,75
2024-06-13,73
2024-06-14,78
2024-06-15,72
2024-06-16,81
2024-06-17,81
2024-06-18,73
2024-06-19,74
2024-06-20,76
2024-06-21,78
2024-06-22,77
2024-06-23,83
2024-06-24,86
2024-06-25,79
2024-06-26,82
2024-06-27,71
2024-06-28,70
2024-06-29,74
2024-06-30,80
2024-07-01,78
2024-07-02,78
2024-07-03,73
2024-07-04,84
2024-07-05,77
2024-07-06,79
2024-07-07,93
2024-07-08,82
2024-07-09,77
2024-07-10,74
2024-07-11,86
2024-07-12,75
2024-07-13,81
2024-07-14,88
2024-07-15,97
2024-07-16,91
2024-07-17,87
2024-07-18,81
2024-07-19,80
2024-07-20,82
2024-07-21,96
2024-07-22,86
2024-07-23,89
2024-07-24,81
2024-07-25,79
2024-07-26,82
2024-07-27,78
2024-07-28,83
2024-07-29,86
2024-07-30,79
2024-07-31,79
2024-08-01,82
2024-08-02,83
2024-08-03,84
2024-08-04,87
2024-08-05,83
2024-08-06,96
2024-08-07,86
2024-08-08,76
2024-08-09,78
2024-08-10,79
2024-08-11,88
2024-08-12,79
2024-08-13,76
2024-08-14,78
2024-08-15,80
2024-08-16,78
2024-08-17,81
2024-08-18,92
2024-08-19,86
2024-08-20,84
2024-08-21,82
2024-08-22,84
2024-08-23,85
2024-08-24,85
2024-08-25,81
2024-08-26,86
2024-08-27,83
2024-08-28,86
2024-08-29,89
2024-08-30,82
2024-08-31,79
2024-09-01,86
2024-09-02,86
2024-09-03,87
2024-09-04,86
2024-09-05,86
2024-09-06,78
2024-09-07,82
2024-09-08,80
2024-09-09,89
2024-09-10,86
2024-09-11,81
2024-09-12,85
2024-09-13,85
2024-09-14,77
2024-09-15,94
2024-09-16,86
