Time,wikipedia
2023-04-26,82
2023-04-27,86
2023-04-28,82
2023-04-29,89
2023-04-30,92
2023-05-01,88
2023-05-02,85
2023-05-03,80
2023-05-04,84
2023-05-05,79
2023-05-06,78
2023-05-07,85
2023-05-08,87
2023-05-09,83
2023-05-10,83
2023-05-11,80
2023-05-12,86
2023-05-13,86
2023-05-14,88
2023-05-15,87
2023-05-16,87
2023-05-17,83
2023-05-18,83
2023-05-19,85
2023-05-20,83
2023-05-21,92
2023-05-22,84
2023-05-23,77
2023-05-24,83
2023-05-25,83
2023-05-26,80
2023-05-27,89
2023-05-28,91
2023-05-29,90
2023-05-30,76
2023-05-31,81
2023-06-01,77
2023-06-02,82
2023-06-03,82
2023-06-04,91
2023-06-05,80
2023-06-06,80
2023-06-07,83
2023-06-08,81
2023-06-09,82
2023-06-10,83
2023-06-11,91
2023-06-12,83
2023-06-13,82
2023-06-14,82
2023-06-15,79
2023-06-16,78
2023-06-17,82
2023-06-18,89
2023-06-19,88
2023-06-20,82
2023-06-21,83
2023-06-22,85
2023-06-23,87
2023-06-24,90
2023-06-25,94
2023-06-26,82
2023-06-27,82
2023-06-28,80
2023-06-29,81
2023-06-30,76
2023-07-01,80
2023-07-02,91
2023-07-03,84
2023-07-04,89
2023-07-05,79
2023-07-06,86
2023-07-07,82
2023-07-08,88
2023-07-09,88
2023-07-10,81
2023-07-11,77
2023-07-12,77
2023-07-13,75
2023-07-14,74
2023-07-15,75
2023-07-16,85
2023-07-17,83
2023-07-18,75
2023-07-19,77
2023-07-20,71
2023-07-21,76
2023-07-22,86
2023-07-23,91
2023-07-24,84
2023-07-25,82
2023-07-26,82
2023-07-27,79
2023-07-28,77
2023-07-29,78
2023-07-30,85
2023-07-31,83
2023-08-01,79
2023-08-02,77
2023-08-03,77
2023-08-04,73
2023-08-05,80
2023-08-06,94
2023-08-07,82
2023-08-08,84
2023-08-09,79
2023-08-10,79
2023-08-11,80
2023-08-12,76
2023-08-13,94
2023-08-14,85
2023-08-15,78
2023-08-16,82
2023-08-17,80
2023-08-18,77
2023-08-19,76
2023-08-20,82
2023-08-21,78
2023-08-22,79
2023-08-23,77
2023-08-24,78
2023-08-25,79
2023-08-26,86
2023-08-27,90
2023-08-28,81
2023-08-29,82
2023-08-30,80
2023-08-31,77
2023-09-01,79
2023-09-02,80
2023-09-03,85
2023-09-04,90
2023-09-05,81
2023-09-06,81
2023-09-07,79
2023-09-08,78
2023-09-09,81
2023-09-10,89
2023-09-11,88
2023-09-12,82
2023-09-13,82
2023-09-14,82
2023-09-15,81
2023-09-16,78
2023-09-17,84
2023-09-18,83
2023-09-19,83
2023-09-20,80
2023-09-21,81
2023-09-22,80
2023-09-23,78
2023-09-24,75
2023-09-25,76
2023-09-26,89
2023-09-27,87
2023-09-28,85
2023-09-29,81
2023-09-30,80
2023-10-01,81
2023-10-02,86
2023-10-03,85
2023-10-04,83
2023-10-05,83
2023-10-06,79
2023-10-07,76
2023-10-08,87
2023-10-09,86
2023-10-10,83
2023-10-11,88
2023-10-12,83
2023-10-13,78
2023-10-14,75
2023-10-15,89
2023-10-16,82
2023-10-17,81
2023-10-18,82
2023-10-19,78
2023-10-20,77
2023-10-21,74
2023-10-22,89
2023-10-23,87
2023-10-24,94
2023-10-25,100
2023-10-26,91
2023-10-27,86
2023-10-28,82
2023-10-29,87
2023-10-30,86
2023-10-31,85
2023-11-01,86
2023-11-02,83
2023-11-03,83
2023-11-04,84
2023-11-05,83
2023-11-06,87
2023-11-07,85
2023-11-08,84
2023-11-09,85
2023-11-10,81
2023-11-11,79
2023-11-12,78
2023-11-13,83
2023-11-14,81
2023-11-15,85
2023-11-16,82
2023-11-17,81
2023-11-18,78
2023-11-19,84
2023-11-20,81
2023-11-21,72
2023-11-22,72
2023-11-23,77
2023-11-24,71
2023-11-25,77
2023-11-26,84
2023-11-27,80
2023-11-28,80
2023-11-29,85
2023-11-30,82
2023-12-01,79
2023-12-02,85
2023-12-03,84
2023-12-04,82
2023-12-05,82
2023-12-06,84
2023-12-07,85
2023-12-08,86
2023-12-09,79
2023-12-10,99
2023-12-11,86
2023-12-12,82
2023-12-13,84
2023-12-14,77
2023-12-15,74
2023-12-16,75
2023-12-17,78
2023-12-18,78
2023-12-19,74
2023-12-20,77
2023-12-21,74
2023-12-22,75
2023-12-23,75
2023-12-24,79
2023-12-25,76
2023-12-26,75
2023-12-27,82
2023-12-28,82
2023-12-29,79
2023-12-30,75
2023-12-31,77
2024-01-01,85
2024-01-02,79
2024-01-03,86
2024-01-04,84
2024-01-05,82
2024-01-06,81
2024-01-07,88
2024-01-08,83
2024-01-09,81
2024-01-10,85
2024-01-11,81
2024-01-12,77
2024-01-13,71
2024-01-14,81
2024-01-15,76
2024-01-16,78
2024-01-17,78
2024-01-18,80
2024-01-19,80
2024-01-20,82
