Time,wikipedia
2022-01-01,85
2022-01-02,81
2022-01-03,70
2022-01-04,74
2022-01-05,73
2022-01-06,60
2022-01-07,74
2022-01-08,79
2022-01-09,82
2022-01-10,81
2022-01-11,84
2022-01-12,74
2022-01-13,63
2022-01-14,60
2022-01-15,80
2022-01-16,76
2022-01-17,71
2022-01-18,70
2022-01-19,74
2022-01-20,67
2022-01-21,79
2022-01-22,84
2022-01-23,86
2022-01-24,100
2022-01-25,73
2022-01-26,74
2022-01-27,70
2022-01-28,77
2022-01-29,83
2022-01-30,89
2022-01-31,80
2022-02-01,76
2022-02-02,79
2022-02-03,84
2022-02-04,75
2022-02-05,83
2022-02-06,86
2022-02-07,83
2022-02-08,84
2022-02-09,82
2022-02-10,66
2022-02-11,78
2022-02-12,77
2022-02-13,81
2022-02-14,83
2022-02-15,80
2022-02-16,86
2022-02-17,84
2022-02-18,84
2022-02-19,95
2022-02-20,94
2022-02-21,88
2022-02-22,85
2022-02-23,90
2022-02-24,86
2022-02-25,95
2022-02-26,94
2022-02-27,99
2022-02-28,91
2022-03-01,87
2022-03-02,84
2022-03-03,84
2022-03-04,84
2022-03-05,82
2022-03-06,91
2022-03-07,85
2022-03-08,90
2022-03-09,83
2022-03-10,81
2022-03-11,78
2022-03-12,91
2022-03-13,90
2022-03-14,84
2022-03-15,81
2022-03-16,78
2022-03-17,81
2022-03-18,83
2022-03-19,87
2022-03-20,93
2022-03-21,84
2022-03-22,84
2022-03-23,84
2022-03-24,82
2022-03-25,88
2022-03-26,91
2022-03-27,94
2022-03-28,90
2022-03-29,87
2022-03-30,84
2022-03-31,87
2022-04-01,87
2022-04-02,86
2022-04-03,90
2022-04-04,90
2022-04-05,90
2022-04-06,88
2022-04-07,87
2022-04-08,86
2022-04-09,87
2022-04-10,94
2022-04-11,84
2022-04-12,82
2022-04-13,82
2022-04-14,86
2022-04-15,87
2022-04-16,88
2022-04-17,96
2022-04-18,91
2022-04-19,86
2022-04-20,89
2022-04-21,91
2022-04-22,86
2022-04-23,90
2022-04-24,94
2022-04-25,87
2022-04-26,92
2022-04-27,91
2022-04-28,93
2022-04-29,93
2022-04-30,91
2022-05-01,94
2022-05-02,90
2022-05-03,89
2022-05-04,85
2022-05-05,91
2022-05-06,90
2022-05-07,92
2022-05-08,93
2022-05-09,87
2022-05-10,92
2022-05-11,89
2022-05-12,81
2022-05-13,90
2022-05-14,82
2022-05-15,90
2022-05-16,84
2022-05-17,84
2022-05-18,80
2022-05-19,82
2022-05-20,82
2022-05-21,87
2022-05-22,87
2022-05-23,84
2022-05-24,89
2022-05-25,83
2022-05-26,84
2022-05-27,84
2022-05-28,84
2022-05-29,89
2022-05-30,88
2022-05-31,83
2022-06-01,84
2022-06-02,80
2022-06-03,82
2022-06-04,85
2022-06-05,84
2022-06-06,86
2022-06-07,82
2022-06-08,84
2022-06-09,83
2022-06-10,79
2022-06-11,79
2022-06-12,87
2022-06-13,82
2022-06-14,75
2022-06-15,83
2022-06-16,80
2022-06-17,80
2022-06-18,82
2022-06-19,88
2022-06-20,78
2022-06-21,77
2022-06-22,81
2022-06-23,82
2022-06-24,82
2022-06-25,84
2022-06-26,89
2022-06-27,85
2022-06-28,84
2022-06-29,80
2022-06-30,80
2022-07-01,84
2022-07-02,83
2022-07-03,86
2022-07-04,91
2022-07-05,78
2022-07-06,77
2022-07-07,82
2022-07-08,83
2022-07-09,85
2022-07-10,94
2022-07-11,82
2022-07-12,80
2022-07-13,74
2022-07-14,83
2022-07-15,80
2022-07-16,84
2022-07-17,91
2022-07-18,83
2022-07-19,82
2022-07-20,79
2022-07-21,79
2022-07-22,83
2022-07-23,87
2022-07-24,94
2022-07-25,87
2022-07-26,82
2022-07-27,82
2022-07-28,85
2022-07-29,89
2022-07-30,83
2022-07-31,92
2022-08-01,84
2022-08-02,79
2022-08-03,82
2022-08-04,81
2022-08-05,80
2022-08-06,84
2022-08-07,93
2022-08-08,90
2022-08-09,84
2022-08-10,81
2022-08-11,81
2022-08-12,84
2022-08-13,90
2022-08-14,97
2022-08-15,83
2022-08-16,79
2022-08-17,81
2022-08-18,80
2022-08-19,83
2022-08-20,75
2022-08-21,87
2022-08-22,83
2022-08-23,86
2022-08-24,80
2022-08-25,82
2022-08-26,81
2022-08-27,81
2022-08-28,87
2022-08-29,85
2022-08-30,81
2022-08-31,76
2022-09-01,79
2022-09-02,75
2022-09-03,78
2022-09-04,93
2022-09-05,96
2022-09-06,85
2022-09-07,78
2022-09-08,90
2022-09-09,86
2022-09-10,81
2022-09-11,84
2022-09-12,82
2022-09-13,86
2022-09-14,80
2022-09-15,81
2022-09-16,81
2022-09-17,77
2022-09-18,82
2022-09-19,88
2022-09-20,90
2022-09-21,84
2022-09-22,82
2022-09-23,86
2022-09-24,82
2022-09-25,89
2022-09-26,80
2022-09-27,82
