Time,dr strange 2
2023-04-26,0
2023-04-27,48
2023-04-28,35
2023-04-29,60
2023-04-30,84
2023-05-01,35
2023-05-02,0
2023-05-03,31
2023-05-04,37
2023-05-05,59
2023-05-06,55
2023-05-07,66
2023-05-08,0
2023-05-09,51
2023-05-10,35
2023-05-11,39
2023-05-12,0
2023-05-13,0
2023-05-14,55
2023-05-15,49
2023-05-16,50
2023-05-17,38
2023-05-18,34
2023-05-19,36
2023-05-20,59
2023-05-21,88
2023-05-22,53
2023-05-23,42
2023-05-24,36
2023-05-25,0
2023-05-26,0
2023-05-27,76
2023-05-28,84
2023-05-29,72
2023-05-30,50
2023-05-31,40
2023-06-01,44
2023-06-02,46
2023-06-03,60
2023-06-04,71
2023-06-05,46
2023-06-06,0
2023-06-07,36
2023-06-08,0
2023-06-09,47
2023-06-10,71
2023-06-11,55
2023-06-12,44
2023-06-13,32
2023-06-14,45
2023-06-15,40
2023-06-16,47
2023-06-17,0
2023-06-18,54
2023-06-19,36
2023-06-20,44
2023-06-21,37
2023-06-22,0
2023-06-23,0
2023-06-24,0
2023-06-25,48
2023-06-26,40
2023-06-27,0
2023-06-28,0
2023-06-29,34
2023-06-30,0
2023-07-01,0
2023-07-02,41
2023-07-03,48
2023-07-04,0
2023-07-05,0
2023-07-06,0
2023-07-07,0
2023-07-08,61
2023-07-09,40
2023-07-10,0
2023-07-11,38
2023-07-12,0
2023-07-13,0
2023-07-14,61
2023-07-15,57
2023-07-16,63
2023-07-17,41
2023-07-18,38
2023-07-19,51
2023-07-20,0
2023-07-21,0
2023-07-22,62
2023-07-23,51
2023-07-24,0
2023-07-25,0
2023-07-26,43
2023-07-27,37
2023-07-28,0
2023-07-29,0
2023-07-30,0
2023-07-31,0
2023-08-01,37
2023-08-02,43
2023-08-03,37
2023-08-04,0
2023-08-05,43
2023-08-06,0
2023-08-07,0
2023-08-08,0
2023-08-09,0
2023-08-10,0
2023-08-11,0
2023-08-12,71
2023-08-13,66
2023-08-14,36
2023-08-15,35
2023-08-16,0
2023-08-17,45
2023-08-18,0
2023-08-19,0
2023-08-20,74
2023-08-21,48
2023-08-22,0
2023-08-23,0
2023-08-24,39
2023-08-25,0
2023-08-26,55
2023-08-27,38
2023-08-28,0
2023-08-29,0
2023-08-30,0
2023-08-31,0
2023-09-01,0
2023-09-02,0
2023-09-03,0
2023-09-04,48
2023-09-05,33
2023-09-06,0
2023-09-07,0
2023-09-08,0
2023-09-09,0
2023-09-10,0
2023-09-11,0
2023-09-12,0
2023-09-13,0
2023-09-14,0
2023-09-15,0
2023-09-16,0
2023-09-17,40
2023-09-18,0
2023-09-19,0
2023-09-20,0
2023-09-21,0
2023-09-22,0
2023-09-23,0
2023-09-24,0
2023-09-25,42
2023-09-26,0
2023-09-27,100
2023-09-28,41
2023-09-29,0
2023-09-30,0
2023-10-01,43
2023-10-02,0
2023-10-03,0
2023-10-04,35
2023-10-05,0
2023-10-06,0
2023-10-07,39
2023-10-08,71
2023-10-09,43
2023-10-10,0
2023-10-11,0
2023-10-12,37
2023-10-13,57
2023-10-14,0
2023-10-15,0
2023-10-16,0
2023-10-17,0
2023-10-18,46
2023-10-19,0
2023-10-20,0
2023-10-21,71
2023-10-22,65
2023-10-23,52
2023-10-24,37
2023-10-25,57
2023-10-26,0
2023-10-27,34
2023-10-28,45
2023-10-29,98
2023-10-30,33
2023-10-31,38
2023-11-01,63
2023-11-02,0
2023-11-03,0
2023-11-04,0
2023-11-05,75
2023-11-06,0
2023-11-07,0
2023-11-08,40
2023-11-09,45
2023-11-10,54
2023-11-11,100
2023-11-12,81
2023-11-13,33
2023-11-14,36
2023-11-15,78
2023-11-16,60
2023-11-17,43
2023-11-18,38
2023-11-19,46
2023-11-20,47
2023-11-21,0
2023-11-22,84
2023-11-23,49
2023-11-24,61
2023-11-25,0
2023-11-26,61
2023-11-27,48
2023-11-28,60
2023-11-29,35
2023-11-30,46
2023-12-01,0
2023-12-02,46
2023-12-03,36
2023-12-04,44
2023-12-05,33
2023-12-06,67
2023-12-07,0
2023-12-08,55
2023-12-09,38
2023-12-10,46
2023-12-11,0
2023-12-12,0
2023-12-13,0
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,42
2023-12-18,0
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,43
2023-12-28,0
2023-12-29,38
2023-12-30,85
2023-12-31,0
2024-01-01,70
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,39
2024-01-07,41
2024-01-08,34
2024-01-09,42
2024-01-10,0
2024-01-11,40
2024-01-12,0
2024-01-13,50
2024-01-14,41
2024-01-15,57
2024-01-16,0
2024-01-17,0
2024-01-18,0
2024-01-19,0
2024-01-20,0
