index,query,folder,source,status,error,timestamp
0,tiempo,tiempo,top,done,,2026-06-30T13:43:00
1,you,you,top,done,,2026-06-30T13:43:02
2,hogwarts legacy,hogwarts_legacy,rising,done,,2026-06-30T13:43:03
3,clever,clever,rising,done,,2026-06-30T13:43:05
4,tornado watch,tornado_watch,rising,done,,2026-06-30T13:43:07
5,house election results,house_election_results,rising,done,,2026-06-30T13:43:08
6,disney plus,disney_plus,rising,done,,2026-06-30T13:43:10
7,don't worry darling,don't_worry_darling,rising,done,,2026-06-30T13:43:12
8,national hurricane center,national_hurricane_center,rising,done,,2026-06-30T13:43:13
9,apple stock,apple_stock,rising,done,,2026-06-30T13:43:14
10,dall e mini,dall_e_mini,rising,done,,2026-06-30T13:43:16
11,ticketmaster,ticketmaster,rising,done,,2026-06-30T13:43:17
12,alabama basketball,alabama_basketball,rising,done,,2026-06-30T13:43:19
13,mlb standings,mlb_standings,rising,done,,2026-06-30T13:43:20
14,dicks sporting goods,dicks_sporting_goods,rising,done,,2026-06-30T13:43:22
15,kohl's,kohl's,rising,done,,2026-06-30T13:43:24
16,michelle yeoh,michelle_yeoh,rising,done,,2026-06-30T13:43:25
17,speed test,speed_test,rising,done,,2026-06-30T13:43:27
18,voting results,voting_results,rising,done,,2026-06-30T13:43:28
19,baker mayfield,baker_mayfield,rising,done,,2026-06-30T13:43:29
20,evan peters,evan_peters,rising,done,,2026-06-30T13:44:08
21,old navy,old_navy,rising,done,,2026-06-30T13:47:27
22,ray liotta cause of death,ray_liotta_cause_of_death,rising,done,,2026-06-30T13:52:05
23,sam's club,sam's_club,rising,done,,2026-06-30T13:55:21
24,translate english to spanish,translate_english_to_spanish,rising,done,,2026-06-30T14:02:11
25,what is juneteenth,what_is_juneteenth,rising,done,,2026-06-30T14:07:12
26,who won the election 2024,who_won_the_election_2024,rising,done,,2026-06-30T14:10:58
27,wisconsin supreme court race,wisconsin_supreme_court_race,rising,done,,2026-06-30T14:16:33
28,you tube,you_tube,rising,done,,2026-06-30T14:20:02
29,freeze warning,freeze_warning,rising,done,,2026-06-30T14:24:27
30,miami heat,miami_heat,rising,done,,2026-06-30T14:27:52
31,time change 2023,time_change_2023,rising,done,,2026-06-30T14:31:25
32,yellowstone flooding,yellowstone_flooding,rising,done,,2026-06-30T14:35:15
33,auburn basketball,auburn_basketball,rising,done,,2026-06-30T14:38:54
34,carvana,carvana,rising,done,,2026-06-30T14:43:34
35,google sheets,google_sheets,rising,done,,2026-06-30T14:49:21
36,herschel walker,herschel_walker,rising,done,,2026-06-30T14:52:50
37,miami dolphins,miami_dolphins,rising,done,,2026-06-30T15:04:53
38,pedro pascal,pedro_pascal,rising,done,,2026-06-30T15:10:54
39,us open leaderboard,us_open_leaderboard,rising,done,,2026-06-30T15:15:37
40,candy hulu,candy_hulu,rising,done,,2026-06-30T15:19:21
41,dow futures,dow_futures,rising,done,,2026-06-30T15:23:10
42,excessive heat warning,excessive_heat_warning,rising,done,,2026-06-30T15:32:50
43,purdue basketball,purdue_basketball,rising,done,,2026-06-30T15:35:52
44,texas election results,texas_election_results,rising,done,,2026-06-30T15:39:58
45,tony awards 2022,tony_awards_2022,rising,done,,2026-06-30T15:43:23
46,ucla basketball,ucla_basketball,rising,done,,2026-06-30T15:47:04
47,women's march madness,women's_march_madness,rising,done,,2026-06-30T15:51:18
48,2020 election results,2020_election_results,rising,done,,2026-06-30T15:54:54
49,buffalo wild wings,buffalo_wild_wings,rising,done,,2026-06-30T15:58:33
50,cincinnati bengals,cincinnati_bengals,rising,done,,2026-06-30T16:02:22
51,colorado election results,colorado_election_results,rising,done,,2026-06-30T16:05:38
52,copa del rey,copa_del_rey,rising,done,,2026-06-30T16:10:09
53,credit karma,credit_karma,rising,done,,2026-06-30T16:13:39
54,desmos,desmos,rising,done,,2026-06-30T16:18:06
55,house of representatives,house_of_representatives,rising,done,,2026-06-30T16:21:19
