Time,tom cruise
2022-08-29,45
2022-08-30,35
2022-08-31,30
2022-09-01,31
2022-09-02,33
2022-09-03,57
2022-09-04,71
2022-09-05,72
2022-09-06,44
2022-09-07,31
2022-09-08,30
2022-09-09,30
2022-09-10,42
2022-09-11,43
2022-09-12,27
2022-09-13,22
2022-09-14,24
2022-09-15,23
2022-09-16,26
2022-09-17,35
2022-09-18,40
2022-09-19,25
2022-09-20,23
2022-09-21,26
2022-09-22,24
2022-09-23,26
2022-09-24,40
2022-09-25,45
2022-09-26,27
2022-09-27,22
2022-09-28,23
2022-09-29,20
2022-09-30,25
2022-10-01,33
2022-10-02,39
2022-10-03,21
2022-10-04,22
2022-10-05,21
2022-10-06,20
2022-10-07,23
2022-10-08,33
2022-10-09,39
2022-10-10,30
2022-10-11,23
2022-10-12,25
2022-10-13,24
2022-10-14,23
2022-10-15,33
2022-10-16,34
2022-10-17,21
2022-10-18,20
2022-10-19,19
2022-10-20,19
2022-10-21,25
2022-10-22,32
2022-10-23,31
2022-10-24,23
2022-10-25,20
2022-10-26,21
2022-10-27,21
2022-10-28,24
2022-10-29,31
2022-10-30,38
2022-10-31,38
2022-11-01,32
2022-11-02,24
2022-11-03,24
2022-11-04,24
2022-11-05,37
2022-11-06,38
2022-11-07,26
2022-11-08,22
2022-11-09,18
2022-11-10,21
2022-11-11,23
2022-11-12,32
2022-11-13,33
2022-11-14,21
2022-11-15,18
2022-11-16,20
2022-11-17,21
2022-11-18,22
2022-11-19,28
2022-11-20,32
2022-11-21,24
2022-11-22,23
2022-11-23,25
2022-11-24,35
2022-11-25,40
2022-11-26,32
2022-11-27,34
2022-11-28,21
2022-11-29,18
2022-11-30,20
2022-12-01,21
2022-12-02,21
2022-12-03,28
2022-12-04,29
2022-12-05,20
2022-12-06,20
2022-12-07,20
2022-12-08,21
2022-12-09,21
2022-12-10,28
2022-12-11,35
2022-12-12,39
2022-12-13,32
2022-12-14,21
2022-12-15,21
2022-12-16,21
2022-12-17,26
2022-12-18,36
2022-12-19,40
2022-12-20,41
2022-12-21,34
2022-12-22,48
2022-12-23,79
2022-12-24,68
2022-12-25,100
2022-12-26,88
2022-12-27,62
2022-12-28,52
2022-12-29,49
2022-12-30,48
2022-12-31,57
2023-01-01,69
2023-01-02,57
2023-01-03,35
2023-01-04,31
2023-01-05,30
2023-01-06,32
2023-01-07,48
2023-01-08,50
2023-01-09,29
2023-01-10,29
2023-01-11,53
2023-01-12,33
2023-01-13,31
2023-01-14,50
2023-01-15,47
2023-01-16,37
2023-01-17,36
2023-01-18,29
2023-01-19,24
2023-01-20,27
2023-01-21,37
2023-01-22,42
2023-01-23,41
2023-01-24,34
2023-01-25,31
2023-01-26,29
2023-01-27,24
2023-01-28,33
2023-01-29,44
2023-01-30,24
2023-01-31,24
2023-02-01,21
2023-02-02,22
2023-02-03,23
2023-02-04,37
2023-02-05,45
2023-02-06,24
2023-02-07,22
2023-02-08,22
2023-02-09,21
2023-02-10,24
2023-02-11,33
2023-02-12,43
2023-02-13,29
2023-02-14,23
2023-02-15,24
2023-02-16,22
2023-02-17,23
2023-02-18,43
2023-02-19,44
2023-02-20,37
2023-02-21,26
2023-02-22,24
2023-02-23,22
2023-02-24,28
2023-02-25,59
2023-02-26,56
2023-02-27,35
2023-02-28,26
2023-03-01,22
2023-03-02,22
2023-03-03,22
2023-03-04,33
2023-03-05,37
2023-03-06,28
2023-03-07,26
2023-03-08,21
2023-03-09,36
2023-03-10,31
2023-03-11,36
2023-03-12,53
2023-03-13,75
2023-03-14,35
2023-03-15,30
2023-03-16,37
2023-03-17,30
2023-03-18,37
2023-03-19,41
2023-03-20,29
2023-03-21,28
2023-03-22,48
2023-03-23,74
2023-03-24,68
2023-03-25,44
2023-03-26,52
2023-03-27,31
2023-03-28,28
2023-03-29,24
2023-03-30,27
2023-03-31,33
2023-04-01,41
2023-04-02,41
2023-04-03,28
2023-04-04,22
2023-04-05,23
2023-04-06,25
2023-04-07,26
2023-04-08,35
2023-04-09,38
2023-04-10,28
2023-04-11,23
2023-04-12,22
2023-04-13,21
2023-04-14,24
2023-04-15,31
2023-04-16,35
2023-04-17,20
2023-04-18,19
2023-04-19,19
2023-04-20,21
2023-04-21,21
2023-04-22,33
2023-04-23,38
2023-04-24,25
2023-04-25,20
2023-04-26,20
2023-04-27,21
2023-04-28,43
2023-04-29,41
2023-04-30,42
2023-05-01,24
2023-05-02,20
2023-05-03,20
2023-05-04,20
2023-05-05,21
2023-05-06,27
2023-05-07,34
2023-05-08,43
2023-05-09,34
2023-05-10,37
2023-05-11,33
2023-05-12,27
2023-05-13,67
2023-05-14,61
2023-05-15,24
2023-05-16,21
2023-05-17,24
2023-05-18,28
2023-05-19,24
2023-05-20,30
2023-05-21,33
2023-05-22,22
2023-05-23,21
2023-05-24,21
2023-05-25,20
