Time,tom cruise
2023-04-26,21
2023-04-27,21
2023-04-28,44
2023-04-29,42
2023-04-30,43
2023-05-01,25
2023-05-02,20
2023-05-03,21
2023-05-04,20
2023-05-05,21
2023-05-06,28
2023-05-07,35
2023-05-08,44
2023-05-09,35
2023-05-10,37
2023-05-11,34
2023-05-12,27
2023-05-13,68
2023-05-14,62
2023-05-15,24
2023-05-16,22
2023-05-17,25
2023-05-18,28
2023-05-19,24
2023-05-20,31
2023-05-21,33
2023-05-22,22
2023-05-23,21
2023-05-24,21
2023-05-25,20
2023-05-26,24
2023-05-27,41
2023-05-28,92
2023-05-29,80
2023-05-30,36
2023-05-31,26
2023-06-01,22
2023-06-02,23
2023-06-03,28
2023-06-04,33
2023-06-05,28
2023-06-06,52
2023-06-07,50
2023-06-08,42
2023-06-09,25
2023-06-10,40
2023-06-11,39
2023-06-12,22
2023-06-13,25
2023-06-14,23
2023-06-15,21
2023-06-16,25
2023-06-17,30
2023-06-18,35
2023-06-19,31
2023-06-20,37
2023-06-21,32
2023-06-22,30
2023-06-23,33
2023-06-24,49
2023-06-25,60
2023-06-26,56
2023-06-27,66
2023-06-28,37
2023-06-29,30
2023-06-30,29
2023-07-01,40
2023-07-02,45
2023-07-03,59
2023-07-04,61
2023-07-05,39
2023-07-06,44
2023-07-07,41
2023-07-08,55
2023-07-09,66
2023-07-10,51
2023-07-11,61
2023-07-12,63
2023-07-13,63
2023-07-14,62
2023-07-15,83
2023-07-16,100
2023-07-17,68
2023-07-18,49
2023-07-19,52
2023-07-20,46
2023-07-21,44
2023-07-22,53
2023-07-23,58
2023-07-24,42
2023-07-25,38
2023-07-26,40
2023-07-27,36
2023-07-28,34
2023-07-29,42
2023-07-30,46
2023-07-31,34
2023-08-01,27
2023-08-02,26
2023-08-03,27
2023-08-04,31
2023-08-05,37
2023-08-06,38
2023-08-07,27
2023-08-08,24
2023-08-09,22
2023-08-10,23
2023-08-11,24
2023-08-12,32
2023-08-13,39
2023-08-14,25
2023-08-15,23
2023-08-16,23
2023-08-17,21
2023-08-18,22
2023-08-19,30
2023-08-20,33
2023-08-21,23
2023-08-22,22
2023-08-23,24
2023-08-24,21
2023-08-25,21
2023-08-26,26
2023-08-27,30
2023-08-28,19
2023-08-29,18
2023-08-30,18
2023-08-31,17
2023-09-01,18
2023-09-02,25
2023-09-03,27
2023-09-04,27
2023-09-05,20
2023-09-06,17
2023-09-07,18
2023-09-08,19
2023-09-09,24
2023-09-10,24
2023-09-11,20
2023-09-12,19
2023-09-13,19
2023-09-14,16
2023-09-15,16
2023-09-16,25
2023-09-17,23
2023-09-18,16
2023-09-19,17
2023-09-20,16
2023-09-21,17
2023-09-22,17
2023-09-23,23
2023-09-24,24
2023-09-25,16
2023-09-26,16
2023-09-27,16
2023-09-28,15
2023-09-29,17
2023-09-30,23
2023-10-01,26
2023-10-02,19
2023-10-03,16
2023-10-04,19
2023-10-05,19
2023-10-06,21
2023-10-07,27
2023-10-08,31
2023-10-09,26
2023-10-10,25
2023-10-11,28
2023-10-12,25
2023-10-13,25
2023-10-14,37
2023-10-15,40
2023-10-16,25
2023-10-17,30
2023-10-18,29
2023-10-19,24
2023-10-20,23
2023-10-21,29
2023-10-22,33
2023-10-23,24
2023-10-24,19
2023-10-25,19
2023-10-26,19
2023-10-27,19
2023-10-28,28
2023-10-29,26
2023-10-30,23
2023-10-31,22
2023-11-01,23
2023-11-02,28
2023-11-03,28
2023-11-04,37
2023-11-05,36
2023-11-06,23
2023-11-07,21
2023-11-08,21
2023-11-09,20
2023-11-10,22
2023-11-11,27
2023-11-12,33
2023-11-13,22
2023-11-14,18
2023-11-15,17
2023-11-16,17
2023-11-17,21
2023-11-18,25
2023-11-19,25
2023-11-20,18
2023-11-21,18
2023-11-22,25
2023-11-23,33
2023-11-24,30
2023-11-25,33
2023-11-26,29
2023-11-27,20
2023-11-28,16
2023-11-29,18
2023-11-30,20
2023-12-01,18
2023-12-02,23
2023-12-03,22
2023-12-04,17
2023-12-05,19
2023-12-06,15
2023-12-07,15
2023-12-08,17
2023-12-09,26
2023-12-10,25
2023-12-11,18
2023-12-12,17
2023-12-13,19
2023-12-14,19
2023-12-15,18
2023-12-16,25
2023-12-17,27
2023-12-18,20
2023-12-19,19
2023-12-20,22
2023-12-21,24
2023-12-22,24
2023-12-23,27
2023-12-24,27
2023-12-25,34
2023-12-26,43
2023-12-27,33
2023-12-28,28
2023-12-29,26
2023-12-30,30
2023-12-31,30
2024-01-01,37
2024-01-02,21
2024-01-03,21
2024-01-04,20
2024-01-05,21
2024-01-06,27
2024-01-07,29
2024-01-08,20
2024-01-09,20
2024-01-10,20
2024-01-11,18
2024-01-12,22
2024-01-13,38
2024-01-14,33
2024-01-15,23
2024-01-16,18
2024-01-17,25
2024-01-18,20
2024-01-19,20
2024-01-20,26
