Time,bears
2023-04-26,8
2023-04-27,10
2023-04-28,23
2023-04-29,27
2023-04-30,13
2023-05-01,9
2023-05-02,8
2023-05-03,7
2023-05-04,7
2023-05-05,7
2023-05-06,7
2023-05-07,7
2023-05-08,7
2023-05-09,7
2023-05-10,7
2023-05-11,10
2023-05-12,13
2023-05-13,8
2023-05-14,8
2023-05-15,7
2023-05-16,7
2023-05-17,7
2023-05-18,7
2023-05-19,7
2023-05-20,7
2023-05-21,7
2023-05-22,6
2023-05-23,7
2023-05-24,7
2023-05-25,7
2023-05-26,6
2023-05-27,7
2023-05-28,7
2023-05-29,7
2023-05-30,6
2023-05-31,6
2023-06-01,6
2023-06-02,7
2023-06-03,7
2023-06-04,7
2023-06-05,6
2023-06-06,7
2023-06-07,7
2023-06-08,6
2023-06-09,7
2023-06-10,7
2023-06-11,7
2023-06-12,7
2023-06-13,7
2023-06-14,7
2023-06-15,6
2023-06-16,7
2023-06-17,8
2023-06-18,9
2023-06-19,7
2023-06-20,7
2023-06-21,6
2023-06-22,8
2023-06-23,6
2023-06-24,7
2023-06-25,7
2023-06-26,6
2023-06-27,6
2023-06-28,7
2023-06-29,6
2023-06-30,6
2023-07-01,6
2023-07-02,7
2023-07-03,6
2023-07-04,6
2023-07-05,6
2023-07-06,6
2023-07-07,6
2023-07-08,7
2023-07-09,6
2023-07-10,6
2023-07-11,6
2023-07-12,6
2023-07-13,6
2023-07-14,6
2023-07-15,7
2023-07-16,7
2023-07-17,7
2023-07-18,6
2023-07-19,6
2023-07-20,6
2023-07-21,6
2023-07-22,7
2023-07-23,7
2023-07-24,8
2023-07-25,7
2023-07-26,7
2023-07-27,8
2023-07-28,7
2023-07-29,8
2023-07-30,8
2023-07-31,8
2023-08-01,10
2023-08-02,10
2023-08-03,11
2023-08-04,15
2023-08-05,13
2023-08-06,12
2023-08-07,9
2023-08-08,8
2023-08-09,8
2023-08-10,9
2023-08-11,10
2023-08-12,27
2023-08-13,13
2023-08-14,9
2023-08-15,8
2023-08-16,8
2023-08-17,9
2023-08-18,9
2023-08-19,15
2023-08-20,20
2023-08-21,9
2023-08-22,8
2023-08-23,9
2023-08-24,9
2023-08-25,11
2023-08-26,22
2023-08-27,15
2023-08-28,12
2023-08-29,12
2023-08-30,11
2023-08-31,10
2023-09-01,9
2023-09-02,12
2023-09-03,12
2023-09-04,11
2023-09-05,10
2023-09-06,10
2023-09-07,11
2023-09-08,13
2023-09-09,14
2023-09-10,78
2023-09-11,28
2023-09-12,12
2023-09-13,10
2023-09-14,10
2023-09-15,11
2023-09-16,12
2023-09-17,51
2023-09-18,17
2023-09-19,11
2023-09-20,20
2023-09-21,23
2023-09-22,15
2023-09-23,13
2023-09-24,67
2023-09-25,28
2023-09-26,13
2023-09-27,11
2023-09-28,12
2023-09-29,13
2023-09-30,14
2023-10-01,66
2023-10-02,21
2023-10-03,13
2023-10-04,14
2023-10-05,29
2023-10-06,100
2023-10-07,14
2023-10-08,16
2023-10-09,12
2023-10-10,11
2023-10-11,11
2023-10-12,10
2023-10-13,11
2023-10-14,12
2023-10-15,53
2023-10-16,14
2023-10-17,10
2023-10-18,10
2023-10-19,10
2023-10-20,10
2023-10-21,11
2023-10-22,56
2023-10-23,19
2023-10-24,11
2023-10-25,10
2023-10-26,10
2023-10-27,9
2023-10-28,10
2023-10-29,30
2023-10-30,51
2023-10-31,16
2023-11-01,13
2023-11-02,11
2023-11-03,10
2023-11-04,11
2023-11-05,46
2023-11-06,14
2023-11-07,10
2023-11-08,10
2023-11-09,20
2023-11-10,63
2023-11-11,12
2023-11-12,15
2023-11-13,10
2023-11-14,9
2023-11-15,8
2023-11-16,8
2023-11-17,8
2023-11-18,8
2023-11-19,46
2023-11-20,15
2023-11-21,9
2023-11-22,8
2023-11-23,11
2023-11-24,8
2023-11-25,9
2023-11-26,15
2023-11-27,18
2023-11-28,62
2023-11-29,10
2023-11-30,8
2023-12-01,8
2023-12-02,8
2023-12-03,16
2023-12-04,11
2023-12-05,8
2023-12-06,8
2023-12-07,8
2023-12-08,9
2023-12-09,10
2023-12-10,45
2023-12-11,17
2023-12-12,11
2023-12-13,10
2023-12-14,9
2023-12-15,10
2023-12-16,10
2023-12-17,45
2023-12-18,13
2023-12-19,9
2023-12-20,8
2023-12-21,9
2023-12-22,8
2023-12-23,9
2023-12-24,33
2023-12-25,25
2023-12-26,12
2023-12-27,10
2023-12-28,9
2023-12-29,9
2023-12-30,10
2023-12-31,42
2024-01-01,22
2024-01-02,12
2024-01-03,11
2024-01-04,11
2024-01-05,10
2024-01-06,13
2024-01-07,55
2024-01-08,27
2024-01-09,12
2024-01-10,14
2024-01-11,11
2024-01-12,9
2024-01-13,9
2024-01-14,11
2024-01-15,10
2024-01-16,9
2024-01-17,9
2024-01-18,9
2024-01-19,10
2024-01-20,9
