Time,tsla
2024-08-18,2
2024-08-19,14
2024-08-20,15
2024-08-21,14
2024-08-22,14
2024-08-23,14
2024-08-24,3
2024-08-25,2
2024-08-26,14
2024-08-27,14
2024-08-28,13
2024-08-29,12
2024-08-30,11
2024-08-31,3
2024-09-01,2
2024-09-02,3
2024-09-03,13
2024-09-04,14
2024-09-05,16
2024-09-06,15
2024-09-07,4
2024-09-08,2
2024-09-09,14
2024-09-10,13
2024-09-11,14
2024-09-12,13
2024-09-13,12
2024-09-14,3
2024-09-15,2
2024-09-16,12
2024-09-17,11
2024-09-18,14
2024-09-19,18
2024-09-20,15
2024-09-21,3
2024-09-22,2
2024-09-23,17
2024-09-24,18
2024-09-25,16
2024-09-26,17
2024-09-27,15
2024-09-28,4
2024-09-29,3
2024-09-30,16
2024-10-01,15
2024-10-02,18
2024-10-03,16
2024-10-04,15
2024-10-05,4
2024-10-06,3
2024-10-07,14
2024-10-08,14
2024-10-09,14
2024-10-10,20
2024-10-11,50
2024-10-12,9
2024-10-13,5
2024-10-14,21
2024-10-15,17
2024-10-16,14
2024-10-17,14
2024-10-18,13
2024-10-19,4
2024-10-20,3
2024-10-21,14
2024-10-22,14
2024-10-23,34
2024-10-24,54
2024-10-25,36
2024-10-26,8
2024-10-27,5
2024-10-28,24
2024-10-29,19
2024-10-30,16
2024-10-31,15
2024-11-01,14
2024-11-02,3
2024-11-03,2
2024-11-04,13
2024-11-05,16
2024-11-06,50
2024-11-07,37
2024-11-08,45
2024-11-09,13
2024-11-10,7
2024-11-11,49
2024-11-12,46
2024-11-13,35
2024-11-14,31
2024-11-15,27
2024-11-16,7
2024-11-17,5
2024-11-18,30
2024-11-19,27
2024-11-20,25
2024-11-21,21
2024-11-22,22
2024-11-23,6
2024-11-24,4
2024-11-25,23
2024-11-26,21
2024-11-27,19
2024-11-28,5
2024-11-29,13
2024-11-30,4
2024-12-01,4
2024-12-02,22
2024-12-03,21
2024-12-04,19
2024-12-05,22
2024-12-06,25
2024-12-07,9
2024-12-08,5
2024-12-09,26
2024-12-10,28
2024-12-11,33
2024-12-12,33
2024-12-13,30
2024-12-14,8
2024-12-15,5
2024-12-16,33
2024-12-17,39
2024-12-18,41
2024-12-19,35
2024-12-20,30
2024-12-21,8
2024-12-22,5
2024-12-23,25
2024-12-24,23
2024-12-25,8
2024-12-26,25
2024-12-27,23
2024-12-28,6
2024-12-29,4
2024-12-30,23
2024-12-31,22
2025-01-01,8
2025-01-02,36
2025-01-03,31
2025-01-04,8
2025-01-05,5
2025-01-06,25
2025-01-07,24
2025-01-08,21
2025-01-09,11
2025-01-10,19
2025-01-11,4
2025-01-12,3
2025-01-13,21
2025-01-14,23
2025-01-15,22
2025-01-16,22
2025-01-17,23
2025-01-18,5
2025-01-19,3
2025-01-20,9
2025-01-21,29
2025-01-22,25
2025-01-23,21
2025-01-24,20
2025-01-25,5
2025-01-26,4
2025-01-27,25
2025-01-28,22
2025-01-29,39
2025-01-30,38
2025-01-31,23
2025-02-01,6
2025-02-02,5
2025-02-03,28
2025-02-04,24
2025-02-05,21
2025-02-06,24
2025-02-07,23
2025-02-08,7
2025-02-09,5
2025-02-10,24
2025-02-11,33
2025-02-12,31
2025-02-13,27
2025-02-14,23
2025-02-15,6
2025-02-16,4
2025-02-17,8
2025-02-18,22
2025-02-19,19
2025-02-20,18
2025-02-21,20
2025-02-22,6
2025-02-23,4
2025-02-24,22
2025-02-25,32
2025-02-26,36
2025-02-27,35
2025-02-28,36
2025-03-01,9
2025-03-02,7
2025-03-03,32
2025-03-04,45
2025-03-05,34
2025-03-06,33
2025-03-07,35
2025-03-08,10
2025-03-09,8
2025-03-10,78
2025-03-11,100
2025-03-12,76
2025-03-13,64
2025-03-14,47
2025-03-15,15
2025-03-16,10
2025-03-17,51
2025-03-18,69
2025-03-19,64
2025-03-20,71
2025-03-21,61
2025-03-22,19
2025-03-23,11
2025-03-24,54
2025-03-25,51
2025-03-26,45
2025-03-27,42
2025-03-28,37
2025-03-29,13
2025-03-30,9
2025-03-31,44
2025-04-01,38
2025-04-02,68
2025-04-03,71
2025-04-04,62
2025-04-05,18
2025-04-06,11
2025-04-07,73
2025-04-08,49
2025-04-09,60
2025-04-10,43
2025-04-11,34
2025-04-12,8
2025-04-13,6
2025-04-14,29
2025-04-15,27
2025-04-16,31
2025-04-17,27
2025-04-18,14
2025-04-19,5
2025-04-20,4
2025-04-21,38
2025-04-22,84
2025-04-23,69
2025-04-24,34
2025-04-25,35
2025-04-26,8
2025-04-27,5
2025-04-28,29
2025-04-29,30
2025-04-30,26
2025-05-01,28
2025-05-02,23
2025-05-03,6
2025-05-04,4
2025-05-05,21
2025-05-06,21
2025-05-07,20
2025-05-08,21
2025-05-09,26
2025-05-10,7
2025-05-11,4
2025-05-12,34
2025-05-13,29
2025-05-14,28
