Time,tsla
2022-01-01,10
2022-01-02,12
2022-01-03,82
2022-01-04,90
2022-01-05,58
2022-01-06,46
2022-01-07,46
2022-01-08,13
2022-01-09,7
2022-01-10,51
2022-01-11,47
2022-01-12,40
2022-01-13,57
2022-01-14,39
2022-01-15,10
2022-01-16,6
2022-01-17,12
2022-01-18,40
2022-01-19,38
2022-01-20,40
2022-01-21,53
2022-01-22,16
2022-01-23,8
2022-01-24,95
2022-01-25,56
2022-01-26,75
2022-01-27,92
2022-01-28,77
2022-01-29,17
2022-01-30,9
2022-01-31,58
2022-02-01,52
2022-02-02,51
2022-02-03,49
2022-02-04,40
2022-02-05,11
2022-02-06,6
2022-02-07,41
2022-02-08,43
2022-02-09,35
2022-02-10,33
2022-02-11,41
2022-02-12,10
2022-02-13,6
2022-02-14,41
2022-02-15,44
2022-02-16,41
2022-02-17,39
2022-02-18,41
2022-02-19,10
2022-02-20,6
2022-02-21,13
2022-02-22,46
2022-02-23,51
2022-02-24,72
2022-02-25,50
2022-02-26,10
2022-02-27,7
2022-02-28,53
2022-03-01,45
2022-03-02,41
2022-03-03,38
2022-03-04,39
2022-03-05,10
2022-03-06,6
2022-03-07,45
2022-03-08,43
2022-03-09,42
2022-03-10,40
2022-03-11,39
2022-03-12,10
2022-03-13,6
2022-03-14,48
2022-03-15,41
2022-03-16,45
2022-03-17,41
2022-03-18,40
2022-03-19,10
2022-03-20,6
2022-03-21,43
2022-03-22,54
2022-03-23,52
2022-03-24,48
2022-03-25,42
2022-03-26,10
2022-03-27,7
2022-03-28,70
2022-03-29,60
2022-03-30,52
2022-03-31,43
2022-04-01,40
2022-04-02,15
2022-04-03,10
2022-04-04,54
2022-04-05,47
2022-04-06,53
2022-04-07,42
2022-04-08,41
2022-04-09,10
2022-04-10,7
2022-04-11,44
2022-04-12,42
2022-04-13,40
2022-04-14,41
2022-04-15,19
2022-04-16,7
2022-04-17,7
2022-04-18,42
2022-04-19,42
2022-04-20,100
2022-04-21,100
2022-04-22,50
2022-04-23,14
2022-04-24,8
2022-04-25,52
2022-04-26,66
2022-04-27,68
2022-04-28,61
2022-04-29,60
2022-04-30,16
2022-05-01,8
2022-05-02,49
2022-05-03,41
2022-05-04,40
2022-05-05,51
2022-05-06,47
2022-05-07,10
2022-05-08,7
2022-05-09,54
2022-05-10,54
2022-05-11,57
2022-05-12,66
2022-05-13,56
2022-05-14,13
2022-05-15,8
2022-05-16,48
2022-05-17,47
2022-05-18,58
2022-05-19,58
2022-05-20,78
2022-05-21,23
2022-05-22,14
2022-05-23,58
2022-05-24,60
2022-05-25,58
2022-05-26,55
2022-05-27,51
2022-05-28,12
2022-05-29,8
2022-05-30,11
2022-05-31,50
2022-06-01,46
2022-06-02,45
2022-06-03,67
2022-06-04,15
2022-06-05,8
2022-06-06,50
2022-06-07,45
2022-06-08,42
2022-06-09,45
2022-06-10,54
2022-06-11,15
2022-06-12,9
2022-06-13,58
2022-06-14,55
2022-06-15,48
2022-06-16,52
2022-06-17,42
2022-06-18,12
2022-06-19,7
2022-06-20,16
2022-06-21,51
2022-06-22,46
2022-06-23,44
2022-06-24,41
2022-06-25,10
2022-06-26,7
2022-06-27,41
2022-06-28,39
2022-06-29,40
2022-06-30,38
2022-07-01,36
2022-07-02,12
2022-07-03,8
2022-07-04,7
2022-07-05,45
2022-07-06,36
2022-07-07,39
2022-07-08,46
2022-07-09,15
2022-07-10,8
2022-07-11,47
2022-07-12,39
2022-07-13,41
2022-07-14,41
2022-07-15,33
2022-07-16,9
2022-07-17,5
2022-07-18,37
2022-07-19,41
2022-07-20,76
2022-07-21,82
2022-07-22,55
2022-07-23,11
2022-07-24,7
2022-07-25,42
2022-07-26,38
2022-07-27,42
2022-07-28,47
2022-07-29,48
2022-07-30,12
2022-07-31,7
2022-08-01,49
2022-08-02,47
2022-08-03,47
2022-08-04,56
2022-08-05,58
2022-08-06,12
2022-08-07,8
2022-08-08,52
2022-08-09,45
2022-08-10,58
2022-08-11,46
2022-08-12,42
2022-08-13,12
2022-08-14,8
2022-08-15,56
2022-08-16,45
2022-08-17,43
2022-08-18,40
2022-08-19,37
2022-08-20,8
2022-08-21,6
2022-08-22,42
2022-08-23,43
2022-08-24,49
2022-08-25,69
2022-08-26,55
2022-08-27,12
2022-08-28,8
2022-08-29,40
2022-08-30,42
2022-08-31,36
2022-09-01,36
2022-09-02,33
2022-09-03,8
2022-09-04,5
2022-09-05,7
2022-09-06,36
2022-09-07,36
2022-09-08,33
2022-09-09,39
2022-09-10,9
2022-09-11,6
2022-09-12,37
2022-09-13,42
2022-09-14,40
2022-09-15,40
2022-09-16,34
2022-09-17,8
2022-09-18,6
2022-09-19,35
2022-09-20,36
2022-09-21,37
2022-09-22,36
2022-09-23,38
2022-09-24,9
2022-09-25,5
2022-09-26,32
2022-09-27,34
