Time,tsla
2023-12-22,26
2023-12-23,7
2023-12-24,3
2023-12-25,3
2023-12-26,23
2023-12-27,28
2023-12-28,29
2023-12-29,26
2023-12-30,7
2023-12-31,4
2024-01-01,5
2024-01-02,30
2024-01-03,28
2024-01-04,24
2024-01-05,22
2024-01-06,6
2024-01-07,4
2024-01-08,22
2024-01-09,22
2024-01-10,23
2024-01-11,26
2024-01-12,30
2024-01-13,7
2024-01-14,4
2024-01-15,9
2024-01-16,29
2024-01-17,30
2024-01-18,29
2024-01-19,29
2024-01-20,8
2024-01-21,5
2024-01-22,31
2024-01-23,32
2024-01-24,59
2024-01-25,92
2024-01-26,52
2024-01-27,12
2024-01-28,7
2024-01-29,35
2024-01-30,41
2024-01-31,42
2024-02-01,31
2024-02-02,33
2024-02-03,8
2024-02-04,5
2024-02-05,34
2024-02-06,34
2024-02-07,30
2024-02-08,29
2024-02-09,27
2024-02-10,8
2024-02-11,6
2024-02-12,26
2024-02-13,27
2024-02-14,27
2024-02-15,32
2024-02-16,29
2024-02-17,7
2024-02-18,5
2024-02-19,9
2024-02-20,26
2024-02-21,25
2024-02-22,29
2024-02-23,25
2024-02-24,7
2024-02-25,5
2024-02-26,26
2024-02-27,27
2024-02-28,26
2024-02-29,23
2024-03-01,24
2024-03-02,6
2024-03-03,5
2024-03-04,32
2024-03-05,36
2024-03-06,33
2024-03-07,32
2024-03-08,29
2024-03-09,7
2024-03-10,5
2024-03-11,27
2024-03-12,27
2024-03-13,34
2024-03-14,40
2024-03-15,35
2024-03-16,10
2024-03-17,6
2024-03-18,36
2024-03-19,32
2024-03-20,29
2024-03-21,28
2024-03-22,27
2024-03-23,6
2024-03-24,6
2024-03-25,24
2024-03-26,30
2024-03-27,29
2024-03-28,24
2024-03-29,12
2024-03-30,5
2024-03-31,4
2024-04-01,30
2024-04-02,53
2024-04-03,39
2024-04-04,32
2024-04-05,38
2024-04-06,12
2024-04-07,7
2024-04-08,31
2024-04-09,30
2024-04-10,28
2024-04-11,25
2024-04-12,23
2024-04-13,7
2024-04-14,4
2024-04-15,40
2024-04-16,39
2024-04-17,35
2024-04-18,37
2024-04-19,39
2024-04-20,11
2024-04-21,7
2024-04-22,47
2024-04-23,100
2024-04-24,90
2024-04-25,45
2024-04-26,36
2024-04-27,9
2024-04-28,6
2024-04-29,62
2024-04-30,49
2024-05-01,36
2024-05-02,31
2024-05-03,28
2024-05-04,7
2024-05-05,5
2024-05-06,28
2024-05-07,26
2024-05-08,27
2024-05-09,26
2024-05-10,24
2024-05-11,7
2024-05-12,5
2024-05-13,26
2024-05-14,25
2024-05-15,23
2024-05-16,23
2024-05-17,22
2024-05-18,5
2024-05-19,4
2024-05-20,22
2024-05-21,28
2024-05-22,28
2024-05-23,24
2024-05-24,22
2024-05-25,5
2024-05-26,4
2024-05-27,5
2024-05-28,22
2024-05-29,22
2024-05-30,21
2024-05-31,18
2024-06-01,5
2024-06-02,4
2024-06-03,21
2024-06-04,21
2024-06-05,22
2024-06-06,21
2024-06-07,19
2024-06-08,5
2024-06-09,5
2024-06-10,21
2024-06-11,26
2024-06-12,29
2024-06-13,55
2024-06-14,38
2024-06-15,8
2024-06-16,5
2024-06-17,32
2024-06-18,29
2024-06-19,12
2024-06-20,23
2024-06-21,20
2024-06-22,7
2024-06-23,4
2024-06-24,23
2024-06-25,23
2024-06-26,30
2024-06-27,28
2024-06-28,29
2024-06-29,6
2024-06-30,5
2024-07-01,38
2024-07-02,59
2024-07-03,59
2024-07-04,15
2024-07-05,48
2024-07-06,12
2024-07-07,8
2024-07-08,45
2024-07-09,48
2024-07-10,45
2024-07-11,52
2024-07-12,44
2024-07-13,9
2024-07-14,6
2024-07-15,44
2024-07-16,37
2024-07-17,34
2024-07-18,31
2024-07-19,30
2024-07-20,7
2024-07-21,6
2024-07-22,35
2024-07-23,69
2024-07-24,77
2024-07-25,46
2024-07-26,32
2024-07-27,7
2024-07-28,5
2024-07-29,33
2024-07-30,29
2024-07-31,28
2024-08-01,28
2024-08-02,28
2024-08-03,7
2024-08-04,5
2024-08-05,44
2024-08-06,32
2024-08-07,27
2024-08-08,23
2024-08-09,22
2024-08-10,5
2024-08-11,4
2024-08-12,22
2024-08-13,26
2024-08-14,25
2024-08-15,25
2024-08-16,24
2024-08-17,6
2024-08-18,4
2024-08-19,23
2024-08-20,24
2024-08-21,21
2024-08-22,22
2024-08-23,22
2024-08-24,5
2024-08-25,4
2024-08-26,22
2024-08-27,22
2024-08-28,20
2024-08-29,20
2024-08-30,18
2024-08-31,4
2024-09-01,3
2024-09-02,5
2024-09-03,21
2024-09-04,22
2024-09-05,25
2024-09-06,24
2024-09-07,6
2024-09-08,4
2024-09-09,22
2024-09-10,21
2024-09-11,23
2024-09-12,20
2024-09-13,19
2024-09-14,5
2024-09-15,3
2024-09-16,19
