Time,home depot
2022-08-29,54
2022-08-30,55
2022-08-31,55
2022-09-01,52
2022-09-02,55
2022-09-03,66
2022-09-04,69
2022-09-05,83
2022-09-06,53
2022-09-07,51
2022-09-08,46
2022-09-09,50
2022-09-10,58
2022-09-11,55
2022-09-12,50
2022-09-13,50
2022-09-14,47
2022-09-15,51
2022-09-16,51
2022-09-17,58
2022-09-18,56
2022-09-19,51
2022-09-20,48
2022-09-21,49
2022-09-22,50
2022-09-23,49
2022-09-24,60
2022-09-25,57
2022-09-26,51
2022-09-27,50
2022-09-28,48
2022-09-29,49
2022-09-30,54
2022-10-01,58
2022-10-02,60
2022-10-03,50
2022-10-04,52
2022-10-05,49
2022-10-06,48
2022-10-07,54
2022-10-08,61
2022-10-09,59
2022-10-10,54
2022-10-11,48
2022-10-12,48
2022-10-13,49
2022-10-14,49
2022-10-15,56
2022-10-16,55
2022-10-17,50
2022-10-18,49
2022-10-19,50
2022-10-20,47
2022-10-21,49
2022-10-22,55
2022-10-23,55
2022-10-24,46
2022-10-25,53
2022-10-26,47
2022-10-27,47
2022-10-28,48
2022-10-29,56
2022-10-30,56
2022-10-31,47
2022-11-01,48
2022-11-02,50
2022-11-03,51
2022-11-04,51
2022-11-05,62
2022-11-06,59
2022-11-07,53
2022-11-08,48
2022-11-09,47
2022-11-10,49
2022-11-11,52
2022-11-12,61
2022-11-13,58
2022-11-14,52
2022-11-15,52
2022-11-16,49
2022-11-17,51
2022-11-18,53
2022-11-19,67
2022-11-20,66
2022-11-21,50
2022-11-22,55
2022-11-23,60
2022-11-24,72
2022-11-25,100
2022-11-26,72
2022-11-27,72
2022-11-28,59
2022-11-29,54
2022-11-30,49
2022-12-01,50
2022-12-02,48
2022-12-03,60
2022-12-04,57
2022-12-05,48
2022-12-06,47
2022-12-07,45
2022-12-08,47
2022-12-09,46
2022-12-10,54
2022-12-11,55
2022-12-12,45
2022-12-13,45
2022-12-14,44
2022-12-15,45
2022-12-16,47
2022-12-17,54
2022-12-18,51
2022-12-19,50
2022-12-20,52
2022-12-21,50
2022-12-22,51
2022-12-23,53
2022-12-24,58
2022-12-25,42
2022-12-26,63
2022-12-27,55
2022-12-28,52
2022-12-29,55
2022-12-30,50
2022-12-31,55
2023-01-01,58
2023-01-02,58
2023-01-03,45
2023-01-04,46
2023-01-05,43
2023-01-06,45
2023-01-07,52
2023-01-08,53
2023-01-09,45
2023-01-10,43
2023-01-11,44
2023-01-12,43
2023-01-13,43
2023-01-14,50
2023-01-15,50
2023-01-16,49
2023-01-17,43
2023-01-18,42
2023-01-19,41
2023-01-20,41
2023-01-21,49
2023-01-22,50
2023-01-23,44
2023-01-24,43
2023-01-25,41
2023-01-26,43
2023-01-27,42
2023-01-28,52
2023-01-29,50
2023-01-30,41
2023-01-31,45
2023-02-01,41
2023-02-02,44
2023-02-03,46
2023-02-04,55
2023-02-05,52
2023-02-06,43
2023-02-07,42
2023-02-08,39
2023-02-09,42
2023-02-10,44
2023-02-11,54
2023-02-12,47
2023-02-13,37
2023-02-14,39
2023-02-15,42
2023-02-16,43
2023-02-17,46
2023-02-18,54
2023-02-19,54
2023-02-20,54
2023-02-21,50
2023-02-22,46
2023-02-23,45
2023-02-24,46
2023-02-25,57
2023-02-26,54
2023-02-27,49
2023-02-28,46
2023-03-01,46
2023-03-02,47
2023-03-03,46
2023-03-04,59
2023-03-05,58
2023-03-06,51
2023-03-07,47
2023-03-08,50
2023-03-09,48
2023-03-10,48
2023-03-11,58
2023-03-12,56
2023-03-13,48
2023-03-14,47
2023-03-15,47
2023-03-16,47
2023-03-17,47
2023-03-18,55
2023-03-19,57
2023-03-20,47
2023-03-21,47
2023-03-22,48
2023-03-23,49
2023-03-24,49
2023-03-25,60
2023-03-26,64
2023-03-27,51
2023-03-28,49
2023-03-29,46
2023-03-30,47
2023-03-31,52
2023-04-01,65
2023-04-02,64
2023-04-03,54
2023-04-04,50
2023-04-05,49
2023-04-06,51
2023-04-07,56
2023-04-08,63
2023-04-09,78
2023-04-10,57
2023-04-11,58
2023-04-12,59
2023-04-13,62
2023-04-14,60
2023-04-15,77
2023-04-16,75
2023-04-17,57
2023-04-18,51
2023-04-19,55
2023-04-20,55
2023-04-21,57
2023-04-22,70
2023-04-23,69
2023-04-24,54
2023-04-25,54
2023-04-26,51
2023-04-27,52
2023-04-28,52
2023-04-29,69
2023-04-30,66
2023-05-01,57
2023-05-02,54
2023-05-03,52
2023-05-04,51
2023-05-05,54
2023-05-06,69
2023-05-07,71
2023-05-08,58
2023-05-09,56
2023-05-10,56
2023-05-11,54
2023-05-12,56
2023-05-13,69
2023-05-14,65
2023-05-15,58
2023-05-16,60
2023-05-17,58
2023-05-18,57
2023-05-19,59
2023-05-20,74
2023-05-21,75
2023-05-22,59
2023-05-23,57
2023-05-24,57
2023-05-25,59
