Time,paramount plus
2022-01-01,53
2022-01-02,73
2022-01-03,97
2022-01-04,62
2022-01-05,51
2022-01-06,38
2022-01-07,44
2022-01-08,54
2022-01-09,68
2022-01-10,50
2022-01-11,39
2022-01-12,39
2022-01-13,38
2022-01-14,33
2022-01-15,53
2022-01-16,62
2022-01-17,55
2022-01-18,36
2022-01-19,35
2022-01-20,32
2022-01-21,34
2022-01-22,54
2022-01-23,56
2022-01-24,67
2022-01-25,31
2022-01-26,29
2022-01-27,29
2022-01-28,34
2022-01-29,44
2022-01-30,100
2022-01-31,42
2022-02-01,37
2022-02-02,35
2022-02-03,42
2022-02-04,38
2022-02-05,40
2022-02-06,44
2022-02-07,40
2022-02-08,30
2022-02-09,27
2022-02-10,22
2022-02-11,26
2022-02-12,39
2022-02-13,46
2022-02-14,28
2022-02-15,40
2022-02-16,38
2022-02-17,32
2022-02-18,29
2022-02-19,38
2022-02-20,40
2022-02-21,37
2022-02-22,33
2022-02-23,34
2022-02-24,33
2022-02-25,28
2022-02-26,32
2022-02-27,40
2022-02-28,39
2022-03-01,34
2022-03-02,31
2022-03-03,30
2022-03-04,31
2022-03-05,37
2022-03-06,40
2022-03-07,32
2022-03-08,33
2022-03-09,36
2022-03-10,30
2022-03-11,28
2022-03-12,37
2022-03-13,44
2022-03-14,27
2022-03-15,31
2022-03-16,28
2022-03-17,34
2022-03-18,35
2022-03-19,37
2022-03-20,37
2022-03-21,27
2022-03-22,27
2022-03-23,33
2022-03-24,49
2022-03-25,55
2022-03-26,49
2022-03-27,60
2022-03-28,32
2022-03-29,31
2022-03-30,30
2022-03-31,35
2022-04-01,32
2022-04-02,41
2022-04-03,49
2022-04-04,36
2022-04-05,33
2022-04-06,32
2022-04-07,33
2022-04-08,33
2022-04-09,38
2022-04-10,37
2022-04-11,38
2022-04-12,33
2022-04-13,32
2022-04-14,29
2022-04-15,32
2022-04-16,31
2022-04-17,34
2022-04-18,29
2022-04-19,24
2022-04-20,25
2022-04-21,27
2022-04-22,28
2022-04-23,30
2022-04-24,33
2022-04-25,25
2022-04-26,28
2022-04-27,25
2022-04-28,27
2022-04-29,26
2022-04-30,30
2022-05-01,32
2022-05-02,23
2022-05-03,29
2022-05-04,29
2022-05-05,26
2022-05-06,33
2022-05-07,31
2022-05-08,31
2022-05-09,25
2022-05-10,24
2022-05-11,25
2022-05-12,28
2022-05-13,29
2022-05-14,35
2022-05-15,37
2022-05-16,28
2022-05-17,25
2022-05-18,28
2022-05-19,29
2022-05-20,36
2022-05-21,49
2022-05-22,43
2022-05-23,33
2022-05-24,34
2022-05-25,34
2022-05-26,34
2022-05-27,35
2022-05-28,58
2022-05-29,43
2022-05-30,42
2022-05-31,32
2022-06-01,33
2022-06-02,31
2022-06-03,38
2022-06-04,39
2022-06-05,40
2022-06-06,31
2022-06-07,31
2022-06-08,28
2022-06-09,28
2022-06-10,29
2022-06-11,33
2022-06-12,41
2022-06-13,31
2022-06-14,29
2022-06-15,27
2022-06-16,29
2022-06-17,32
2022-06-18,36
2022-06-19,39
2022-06-20,34
2022-06-21,28
2022-06-22,28
2022-06-23,28
2022-06-24,30
2022-06-25,32
2022-06-26,36
2022-06-27,29
2022-06-28,27
2022-06-29,30
2022-06-30,32
2022-07-01,32
2022-07-02,33
2022-07-03,35
2022-07-04,38
2022-07-05,30
2022-07-06,31
2022-07-07,40
2022-07-08,32
2022-07-09,36
2022-07-10,39
2022-07-11,33
2022-07-12,30
2022-07-13,30
2022-07-14,33
2022-07-15,33
2022-07-16,34
2022-07-17,36
2022-07-18,32
2022-07-19,32
2022-07-20,37
2022-07-21,27
2022-07-22,27
2022-07-23,31
2022-07-24,34
2022-07-25,30
2022-07-26,26
2022-07-27,24
2022-07-28,27
2022-07-29,30
2022-07-30,29
2022-07-31,33
2022-08-01,28
2022-08-02,25
2022-08-03,24
2022-08-04,27
2022-08-05,30
2022-08-06,29
2022-08-07,33
2022-08-08,25
2022-08-09,24
2022-08-10,25
2022-08-11,24
2022-08-12,28
2022-08-13,34
2022-08-14,35
2022-08-15,29
2022-08-16,29
2022-08-17,27
2022-08-18,27
2022-08-19,32
2022-08-20,37
2022-08-21,41
2022-08-22,32
2022-08-23,32
2022-08-24,31
2022-08-25,30
2022-08-26,31
2022-08-27,35
2022-08-28,41
2022-08-29,34
2022-08-30,27
2022-08-31,27
2022-09-01,32
2022-09-02,31
2022-09-03,41
2022-09-04,41
2022-09-05,40
2022-09-06,46
2022-09-07,42
2022-09-08,38
2022-09-09,36
2022-09-10,41
2022-09-11,93
2022-09-12,31
2022-09-13,40
2022-09-14,38
2022-09-15,32
2022-09-16,28
2022-09-17,34
2022-09-18,66
2022-09-19,29
2022-09-20,28
2022-09-21,26
2022-09-22,30
2022-09-23,27
2022-09-24,33
2022-09-25,61
2022-09-26,26
2022-09-27,25
