Time,paramount plus
2023-12-22,11
2023-12-23,12
2023-12-24,14
2023-12-25,16
2023-12-26,13
2023-12-27,12
2023-12-28,11
2023-12-29,12
2023-12-30,12
2023-12-31,17
2024-01-01,16
2024-01-02,12
2024-01-03,10
2024-01-04,9
2024-01-05,10
2024-01-06,12
2024-01-07,17
2024-01-08,12
2024-01-09,10
2024-01-10,10
2024-01-11,9
2024-01-12,10
2024-01-13,13
2024-01-14,15
2024-01-15,15
2024-01-16,10
2024-01-17,9
2024-01-18,8
2024-01-19,8
2024-01-20,12
2024-01-21,15
2024-01-22,13
2024-01-23,9
2024-01-24,9
2024-01-25,9
2024-01-26,9
2024-01-27,13
2024-01-28,34
2024-01-29,12
2024-01-30,10
2024-01-31,9
2024-02-01,9
2024-02-02,11
2024-02-03,13
2024-02-04,16
2024-02-05,20
2024-02-06,10
2024-02-07,10
2024-02-08,11
2024-02-09,14
2024-02-10,19
2024-02-11,100
2024-02-12,58
2024-02-13,18
2024-02-14,15
2024-02-15,13
2024-02-16,15
2024-02-17,17
2024-02-18,19
2024-02-19,19
2024-02-20,14
2024-02-21,12
2024-02-22,10
2024-02-23,11
2024-02-24,13
2024-02-25,14
2024-02-26,10
2024-02-27,10
2024-02-28,10
2024-02-29,10
2024-03-01,11
2024-03-02,13
2024-03-03,13
2024-03-04,10
2024-03-05,10
2024-03-06,11
2024-03-07,11
2024-03-08,10
2024-03-09,12
2024-03-10,14
2024-03-11,11
2024-03-12,12
2024-03-13,10
2024-03-14,10
2024-03-15,10
2024-03-16,10
2024-03-17,12
2024-03-18,9
2024-03-19,9
2024-03-20,9
2024-03-21,13
2024-03-22,12
2024-03-23,13
2024-03-24,13
2024-03-25,12
2024-03-26,8
2024-03-27,8
2024-03-28,9
2024-03-29,10
2024-03-30,11
2024-03-31,12
2024-04-01,10
2024-04-02,9
2024-04-03,8
2024-04-04,8
2024-04-05,9
2024-04-06,10
2024-04-07,10
2024-04-08,8
2024-04-09,14
2024-04-10,12
2024-04-11,11
2024-04-12,9
2024-04-13,11
2024-04-14,11
2024-04-15,9
2024-04-16,11
2024-04-17,14
2024-04-18,10
2024-04-19,9
2024-04-20,10
2024-04-21,10
2024-04-22,8
2024-04-23,8
2024-04-24,7
2024-04-25,8
2024-04-26,9
2024-04-27,11
2024-04-28,11
2024-04-29,8
2024-04-30,10
2024-05-01,9
2024-05-02,8
2024-05-03,8
2024-05-04,9
2024-05-05,10
2024-05-06,9
2024-05-07,11
2024-05-08,10
2024-05-09,9
2024-05-10,10
2024-05-11,11
2024-05-12,11
2024-05-13,10
2024-05-14,8
2024-05-15,8
2024-05-16,9
2024-05-17,11
2024-05-18,11
2024-05-19,12
2024-05-20,9
2024-05-21,9
2024-05-22,9
2024-05-23,9
2024-05-24,9
2024-05-25,12
2024-05-26,11
2024-05-27,12
2024-05-28,10
2024-05-29,9
2024-05-30,9
2024-05-31,9
2024-06-01,15
2024-06-02,12
2024-06-03,10
2024-06-04,9
2024-06-05,9
2024-06-06,9
2024-06-07,10
2024-06-08,10
2024-06-09,11
2024-06-10,9
2024-06-11,8
2024-06-12,8
2024-06-13,8
2024-06-14,8
2024-06-15,9
2024-06-16,11
2024-06-17,9
2024-06-18,8
2024-06-19,8
2024-06-20,8
2024-06-21,9
2024-06-22,9
2024-06-23,10
2024-06-24,9
2024-06-25,9
2024-06-26,8
2024-06-27,8
2024-06-28,9
2024-06-29,10
2024-06-30,10
2024-07-01,9
2024-07-02,8
2024-07-03,8
2024-07-04,8
2024-07-05,9
2024-07-06,10
2024-07-07,10
2024-07-08,8
2024-07-09,8
2024-07-10,8
2024-07-11,8
2024-07-12,11
2024-07-13,9
2024-07-14,10
2024-07-15,8
2024-07-16,8
2024-07-17,8
2024-07-18,9
2024-07-19,9
2024-07-20,10
2024-07-21,10
2024-07-22,8
2024-07-23,11
2024-07-24,8
2024-07-25,9
2024-07-26,9
2024-07-27,9
2024-07-28,9
2024-07-29,8
2024-07-30,8
2024-07-31,8
2024-08-01,8
2024-08-02,8
2024-08-03,8
2024-08-04,9
2024-08-05,8
2024-08-06,7
2024-08-07,7
2024-08-08,8
2024-08-09,8
2024-08-10,9
2024-08-11,10
2024-08-12,9
2024-08-13,8
2024-08-14,10
2024-08-15,9
2024-08-16,9
2024-08-17,10
2024-08-18,10
2024-08-19,8
2024-08-20,9
2024-08-21,8
2024-08-22,9
2024-08-23,9
2024-08-24,10
2024-08-25,11
2024-08-26,8
2024-08-27,7
2024-08-28,8
2024-08-29,8
2024-08-30,9
2024-08-31,11
2024-09-01,11
2024-09-02,11
2024-09-03,8
2024-09-04,8
2024-09-05,8
2024-09-06,9
2024-09-07,11
2024-09-08,24
2024-09-09,9
2024-09-10,8
2024-09-11,9
2024-09-12,11
2024-09-13,8
2024-09-14,11
2024-09-15,22
2024-09-16,11
