Time,paramount plus
2023-04-26,35
2023-04-27,35
2023-04-28,34
2023-04-29,41
2023-04-30,48
2023-05-01,36
2023-05-02,34
2023-05-03,31
2023-05-04,31
2023-05-05,29
2023-05-06,36
2023-05-07,39
2023-05-08,32
2023-05-09,38
2023-05-10,32
2023-05-11,30
2023-05-12,31
2023-05-13,37
2023-05-14,39
2023-05-15,30
2023-05-16,36
2023-05-17,39
2023-05-18,34
2023-05-19,35
2023-05-20,49
2023-05-21,46
2023-05-22,33
2023-05-23,32
2023-05-24,34
2023-05-25,35
2023-05-26,37
2023-05-27,42
2023-05-28,42
2023-05-29,42
2023-05-30,34
2023-05-31,36
2023-06-01,32
2023-06-02,32
2023-06-03,36
2023-06-04,41
2023-06-05,32
2023-06-06,31
2023-06-07,31
2023-06-08,30
2023-06-09,32
2023-06-10,49
2023-06-11,41
2023-06-12,45
2023-06-13,30
2023-06-14,31
2023-06-15,34
2023-06-16,45
2023-06-17,37
2023-06-18,45
2023-06-19,46
2023-06-20,33
2023-06-21,32
2023-06-22,31
2023-06-23,33
2023-06-24,39
2023-06-25,42
2023-06-26,41
2023-06-27,48
2023-06-28,41
2023-06-29,35
2023-06-30,35
2023-07-01,38
2023-07-02,42
2023-07-03,37
2023-07-04,40
2023-07-05,32
2023-07-06,34
2023-07-07,35
2023-07-08,36
2023-07-09,43
2023-07-10,35
2023-07-11,32
2023-07-12,30
2023-07-13,34
2023-07-14,32
2023-07-15,37
2023-07-16,38
2023-07-17,33
2023-07-18,30
2023-07-19,30
2023-07-20,29
2023-07-21,31
2023-07-22,34
2023-07-23,43
2023-07-24,38
2023-07-25,37
2023-07-26,36
2023-07-27,41
2023-07-28,41
2023-07-29,46
2023-07-30,49
2023-07-31,39
2023-08-01,38
2023-08-02,40
2023-08-03,49
2023-08-04,43
2023-08-05,44
2023-08-06,52
2023-08-07,46
2023-08-08,40
2023-08-09,41
2023-08-10,39
2023-08-11,43
2023-08-12,47
2023-08-13,54
2023-08-14,42
2023-08-15,37
2023-08-16,37
2023-08-17,34
2023-08-18,38
2023-08-19,43
2023-08-20,48
2023-08-21,40
2023-08-22,35
2023-08-23,36
2023-08-24,34
2023-08-25,43
2023-08-26,41
2023-08-27,46
2023-08-28,36
2023-08-29,32
2023-08-30,30
2023-08-31,32
2023-09-01,39
2023-09-02,42
2023-09-03,43
2023-09-04,43
2023-09-05,33
2023-09-06,31
2023-09-07,34
2023-09-08,37
2023-09-09,48
2023-09-10,100
2023-09-11,39
2023-09-12,41
2023-09-13,41
2023-09-14,33
2023-09-15,35
2023-09-16,49
2023-09-17,85
2023-09-18,39
2023-09-19,50
2023-09-20,52
2023-09-21,38
2023-09-22,35
2023-09-23,50
2023-09-24,69
2023-09-25,38
2023-09-26,33
2023-09-27,32
2023-09-28,36
2023-09-29,37
2023-09-30,44
2023-10-01,62
2023-10-02,34
2023-10-03,42
2023-10-04,42
2023-10-05,38
2023-10-06,34
2023-10-07,41
2023-10-08,58
2023-10-09,35
2023-10-10,31
2023-10-11,30
2023-10-12,32
2023-10-13,34
2023-10-14,42
2023-10-15,54
2023-10-16,32
2023-10-17,30
2023-10-18,29
2023-10-19,30
2023-10-20,31
2023-10-21,38
2023-10-22,53
2023-10-23,32
2023-10-24,40
2023-10-25,37
2023-10-26,33
2023-10-27,35
2023-10-28,42
2023-10-29,61
2023-10-30,40
2023-10-31,32
2023-11-01,34
2023-11-02,34
2023-11-03,33
2023-11-04,44
2023-11-05,55
2023-11-06,38
2023-11-07,44
2023-11-08,39
2023-11-09,39
2023-11-10,38
2023-11-11,43
2023-11-12,55
2023-11-13,36
2023-11-14,32
2023-11-15,33
2023-11-16,33
2023-11-17,33
2023-11-18,42
2023-11-19,49
2023-11-20,37
2023-11-21,43
2023-11-22,52
2023-11-23,80
2023-11-24,67
2023-11-25,65
2023-11-26,75
2023-11-27,49
2023-11-28,45
2023-11-29,45
2023-11-30,38
2023-12-01,40
2023-12-02,58
2023-12-03,57
2023-12-04,38
2023-12-05,33
2023-12-06,33
2023-12-07,32
2023-12-08,31
2023-12-09,39
2023-12-10,49
2023-12-11,36
2023-12-12,40
2023-12-13,35
2023-12-14,35
2023-12-15,32
2023-12-16,41
2023-12-17,49
2023-12-18,34
2023-12-19,35
2023-12-20,35
2023-12-21,41
2023-12-22,37
2023-12-23,43
2023-12-24,49
2023-12-25,56
2023-12-26,45
2023-12-27,42
2023-12-28,40
2023-12-29,43
2023-12-30,42
2023-12-31,61
2024-01-01,55
2024-01-02,41
2024-01-03,37
2024-01-04,33
2024-01-05,35
2024-01-06,43
2024-01-07,59
2024-01-08,42
2024-01-09,35
2024-01-10,34
2024-01-11,31
2024-01-12,36
2024-01-13,47
2024-01-14,51
2024-01-15,51
2024-01-16,35
2024-01-17,30
2024-01-18,29
2024-01-19,30
2024-01-20,42
