Time,chicago bears
2023-04-26,7
2023-04-27,10
2023-04-28,28
2023-04-29,36
2023-04-30,16
2023-05-01,9
2023-05-02,7
2023-05-03,6
2023-05-04,6
2023-05-05,6
2023-05-06,6
2023-05-07,6
2023-05-08,6
2023-05-09,6
2023-05-10,7
2023-05-11,11
2023-05-12,15
2023-05-13,7
2023-05-14,6
2023-05-15,6
2023-05-16,6
2023-05-17,6
2023-05-18,6
2023-05-19,6
2023-05-20,5
2023-05-21,5
2023-05-22,5
2023-05-23,6
2023-05-24,5
2023-05-25,5
2023-05-26,5
2023-05-27,5
2023-05-28,5
2023-05-29,5
2023-05-30,5
2023-05-31,5
2023-06-01,5
2023-06-02,6
2023-06-03,6
2023-06-04,5
2023-06-05,6
2023-06-06,6
2023-06-07,5
2023-06-08,5
2023-06-09,5
2023-06-10,5
2023-06-11,5
2023-06-12,5
2023-06-13,6
2023-06-14,6
2023-06-15,5
2023-06-16,5
2023-06-17,5
2023-06-18,4
2023-06-19,5
2023-06-20,4
2023-06-21,4
2023-06-22,4
2023-06-23,4
2023-06-24,4
2023-06-25,5
2023-06-26,4
2023-06-27,4
2023-06-28,4
2023-06-29,4
2023-06-30,4
2023-07-01,4
2023-07-02,4
2023-07-03,5
2023-07-04,4
2023-07-05,4
2023-07-06,5
2023-07-07,4
2023-07-08,4
2023-07-09,4
2023-07-10,4
2023-07-11,4
2023-07-12,4
2023-07-13,4
2023-07-14,4
2023-07-15,4
2023-07-16,5
2023-07-17,5
2023-07-18,5
2023-07-19,5
2023-07-20,5
2023-07-21,5
2023-07-22,5
2023-07-23,6
2023-07-24,7
2023-07-25,7
2023-07-26,7
2023-07-27,8
2023-07-28,7
2023-07-29,7
2023-07-30,8
2023-07-31,7
2023-08-01,7
2023-08-02,7
2023-08-03,7
2023-08-04,12
2023-08-05,13
2023-08-06,13
2023-08-07,9
2023-08-08,8
2023-08-09,8
2023-08-10,10
2023-08-11,10
2023-08-12,29
2023-08-13,15
2023-08-14,9
2023-08-15,9
2023-08-16,8
2023-08-17,9
2023-08-18,9
2023-08-19,16
2023-08-20,22
2023-08-21,10
2023-08-22,9
2023-08-23,9
2023-08-24,10
2023-08-25,13
2023-08-26,24
2023-08-27,16
2023-08-28,14
2023-08-29,15
2023-08-30,13
2023-08-31,11
2023-09-01,9
2023-09-02,10
2023-09-03,13
2023-09-04,10
2023-09-05,10
2023-09-06,11
2023-09-07,11
2023-09-08,12
2023-09-09,12
2023-09-10,68
2023-09-11,26
2023-09-12,11
2023-09-13,10
2023-09-14,9
2023-09-15,10
2023-09-16,10
2023-09-17,60
2023-09-18,17
2023-09-19,11
2023-09-20,18
2023-09-21,22
2023-09-22,14
2023-09-23,12
2023-09-24,66
2023-09-25,27
2023-09-26,13
2023-09-27,10
2023-09-28,10
2023-09-29,11
2023-09-30,11
2023-10-01,70
2023-10-02,23
2023-10-03,13
2023-10-04,13
2023-10-05,25
2023-10-06,100
2023-10-07,13
2023-10-08,16
2023-10-09,11
2023-10-10,10
2023-10-11,9
2023-10-12,8
2023-10-13,9
2023-10-14,10
2023-10-15,53
2023-10-16,14
2023-10-17,9
2023-10-18,9
2023-10-19,8
2023-10-20,8
2023-10-21,10
2023-10-22,54
2023-10-23,19
2023-10-24,10
2023-10-25,8
2023-10-26,8
2023-10-27,8
2023-10-28,8
2023-10-29,28
2023-10-30,50
2023-10-31,17
2023-11-01,11
2023-11-02,9
2023-11-03,9
2023-11-04,10
2023-11-05,51
2023-11-06,13
2023-11-07,9
2023-11-08,9
2023-11-09,17
2023-11-10,58
2023-11-11,11
2023-11-12,14
2023-11-13,9
2023-11-14,7
2023-11-15,7
2023-11-16,7
2023-11-17,7
2023-11-18,7
2023-11-19,44
2023-11-20,14
2023-11-21,9
2023-11-22,7
2023-11-23,10
2023-11-24,7
2023-11-25,7
2023-11-26,15
2023-11-27,16
2023-11-28,50
2023-11-29,9
2023-11-30,6
2023-12-01,7
2023-12-02,7
2023-12-03,18
2023-12-04,10
2023-12-05,8
2023-12-06,7
2023-12-07,6
2023-12-08,7
2023-12-09,8
2023-12-10,42
2023-12-11,16
2023-12-12,10
2023-12-13,8
2023-12-14,8
2023-12-15,8
2023-12-16,9
2023-12-17,45
2023-12-18,13
2023-12-19,8
2023-12-20,8
2023-12-21,8
2023-12-22,7
2023-12-23,8
2023-12-24,30
2023-12-25,26
2023-12-26,10
2023-12-27,8
2023-12-28,7
2023-12-29,8
2023-12-30,8
2023-12-31,45
2024-01-01,21
2024-01-02,11
2024-01-03,9
2024-01-04,8
2024-01-05,8
2024-01-06,10
2024-01-07,43
2024-01-08,26
2024-01-09,14
2024-01-10,19
2024-01-11,12
2024-01-12,9
2024-01-13,9
2024-01-14,10
2024-01-15,10
2024-01-16,9
2024-01-17,8
2024-01-18,8
2024-01-19,8
2024-01-20,8
