Time,canva
2022-01-01,23.0
2022-01-02,26.0
2022-01-03,35.0
2022-01-04,42.0
2022-01-05,43.0
2022-01-06,36.0
2022-01-07,38.0
2022-01-08,27.0
2022-01-09,26.0
2022-01-10,38.0
2022-01-11,42.0
2022-01-12,42.0
2022-01-13,40.0
2022-01-14,32.0
2022-01-15,25.0
2022-01-16,22.0
2022-01-17,30.0
2022-01-18,38.0
2022-01-19,42.0
2022-01-20,41.0
2022-01-21,39.0
2022-01-22,27.0
2022-01-23,27.0
2022-01-24,52.0
2022-01-25,40.0
2022-01-26,44.0
2022-01-27,43.0
2022-01-28,40.0
2022-01-29,30.0
2022-01-30,29.0
2022-01-31,45.0
2022-02-01,50.0
2022-02-02,45.0
2022-02-03,46.0
2022-02-04,48.0
2022-02-05,28.0
2022-02-06,28.0
2022-02-07,47.0
2022-02-08,50.0
2022-02-09,46.0
2022-02-10,43.0
2022-02-11,45.0
2022-02-12,30.0
2022-02-13,29.0
2022-02-14,39.0
2022-02-15,45.0
2022-02-16,49.0
2022-02-17,45.0
2022-02-18,42.0
2022-02-19,27.0
2022-02-20,27.0
2022-02-21,37.0
2022-02-22,47.0
2022-02-23,45.0
2022-02-24,42.0
2022-02-25,42.0
2022-02-26,31.0
2022-02-27,32.0
2022-02-28,44.0
2022-03-01,44.0
2022-03-02,46.0
2022-03-03,47.0
2022-03-04,41.0
2022-03-05,27.0
2022-03-06,29.0
2022-03-07,44.0
2022-03-08,47.0
2022-03-09,48.0
2022-03-10,45.0
2022-03-11,39.0
2022-03-12,29.0
2022-03-13,27.0
2022-03-14,38.0
2022-03-15,41.0
2022-03-16,43.0
2022-03-17,42.0
2022-03-18,38.0
2022-03-19,27.0
2022-03-20,28.0
2022-03-21,43.0
2022-03-22,46.0
2022-03-23,43.0
2022-03-24,47.0
2022-03-25,60.0
2022-03-26,30.0
2022-03-27,32.0
2022-03-28,65.0
2022-03-29,74.0
2022-03-30,46.0
2022-03-31,70.0
2022-04-01,66.0
2022-04-02,35.0
2022-04-03,34.0
2022-04-04,71.0
2022-04-05,73.0
2022-04-06,75.0
2022-04-07,73.0
2022-04-08,64.0
2022-04-09,31.0
2022-04-10,34.0
2022-04-11,73.0
2022-04-12,77.0
2022-04-13,78.0
2022-04-14,69.0
2022-04-15,47.0
2022-04-16,30.0
2022-04-17,30.0
2022-04-18,63.0
2022-04-19,77.0
2022-04-20,74.0
2022-04-21,74.0
2022-04-22,66.0
2022-04-23,34.0
2022-04-24,35.0
2022-04-25,79.0
2022-04-26,80.0
2022-04-27,79.0
2022-04-28,76.0
2022-04-29,67.0
2022-04-30,34.0
2022-05-01,36.0
2022-05-02,78.0
2022-05-03,78.0
2022-05-04,78.0
2022-05-05,76.0
2022-05-06,70.0
2022-05-07,35.0
2022-05-08,34.0
2022-05-09,75.0
2022-05-10,81.0
2022-05-11,81.0
2022-05-12,78.0
2022-05-13,64.0
2022-05-14,31.0
2022-05-15,33.0
2022-05-16,78.0
2022-05-17,82.0
2022-05-18,78.0
2022-05-19,77.0
2022-05-20,64.0
2022-05-21,34.0
2022-05-22,32.0
2022-05-23,70.0
2022-05-24,75.0
2022-05-25,70.0
2022-05-26,67.0
2022-05-27,50.0
2022-05-28,28.0
2022-05-29,27.0
2022-05-30,34.0
2022-05-31,57.0
2022-06-01,58.0
2022-06-02,56.0
2022-06-03,51.0
2022-06-04,28.0
2022-06-05,31.0
2022-06-06,53.0
2022-06-07,54.0
2022-06-08,54.0
2022-06-09,50.0
2022-06-10,44.0
2022-06-11,28.0
2022-06-12,29.0
2022-06-13,46.0
2022-06-14,46.0
2022-06-15,51.0
2022-06-16,47.0
2022-06-17,40.0
2022-06-18,28.0
2022-06-19,27.0
2022-06-20,40.0
2022-06-21,48.0
2022-06-22,47.0
2022-06-23,45.0
2022-06-24,45.0
2022-06-25,27.0
2022-06-26,25.0
2022-06-27,42.0
2022-06-28,45.0
2022-06-29,45.0
2022-06-30,46.0
2022-07-01,41.0
2022-07-02,25.0
2022-07-03,23.0
2022-07-04,27.0
2022-07-05,42.0
2022-07-06,45.0
2022-07-07,44.0
2022-07-08,40.0
2022-07-09,30.0
2022-07-10,30.0
2022-07-11,46.0
2022-07-12,49.0
2022-07-13,51.0
2022-07-14,49.0
2022-07-15,42.0
2022-07-16,27.0
2022-07-17,30.0
2022-07-18,46.0
2022-07-19,49.0
2022-07-20,47.0
2022-07-21,50.0
2022-07-22,41.0
2022-07-23,28.0
2022-07-24,30.0
