Time,nasdaq
2022-08-29,66
2022-08-30,62
2022-08-31,59
2022-09-01,68
2022-09-02,61
2022-09-03,15
2022-09-04,11
2022-09-05,15
2022-09-06,57
2022-09-07,59
2022-09-08,54
2022-09-09,57
2022-09-10,14
2022-09-11,13
2022-09-12,56
2022-09-13,83
2022-09-14,75
2022-09-15,66
2022-09-16,59
2022-09-17,16
2022-09-18,11
2022-09-19,58
2022-09-20,60
2022-09-21,74
2022-09-22,72
2022-09-23,77
2022-09-24,18
2022-09-25,13
2022-09-26,68
2022-09-27,67
2022-09-28,69
2022-09-29,71
2022-09-30,70
2022-10-01,17
2022-10-02,13
2022-10-03,61
2022-10-04,68
2022-10-05,65
2022-10-06,59
2022-10-07,64
2022-10-08,18
2022-10-09,13
2022-10-10,67
2022-10-11,72
2022-10-12,64
2022-10-13,77
2022-10-14,66
2022-10-15,18
2022-10-16,13
2022-10-17,60
2022-10-18,69
2022-10-19,63
2022-10-20,59
2022-10-21,60
2022-10-22,15
2022-10-23,11
2022-10-24,60
2022-10-25,62
2022-10-26,73
2022-10-27,78
2022-10-28,75
2022-10-29,18
2022-10-30,11
2022-10-31,62
2022-11-01,60
2022-11-02,66
2022-11-03,65
2022-11-04,65
2022-11-05,17
2022-11-06,10
2022-11-07,57
2022-11-08,60
2022-11-09,58
2022-11-10,90
2022-11-11,82
2022-11-12,21
2022-11-13,12
2022-11-14,63
2022-11-15,71
2022-11-16,66
2022-11-17,63
2022-11-18,64
2022-11-19,15
2022-11-20,9
2022-11-21,54
2022-11-22,58
2022-11-23,56
2022-11-24,18
2022-11-25,43
2022-11-26,12
2022-11-27,9
2022-11-28,46
2022-11-29,49
2022-11-30,60
2022-12-01,61
2022-12-02,57
2022-12-03,16
2022-12-04,11
2022-12-05,48
2022-12-06,53
2022-12-07,53
2022-12-08,55
2022-12-09,48
2022-12-10,20
2022-12-11,10
2022-12-12,54
2022-12-13,64
2022-12-14,58
2022-12-15,57
2022-12-16,54
2022-12-17,16
2022-12-18,8
2022-12-19,52
2022-12-20,58
2022-12-21,60
2022-12-22,61
2022-12-23,52
2022-12-24,15
2022-12-25,10
2022-12-26,21
2022-12-27,54
2022-12-28,58
2022-12-29,60
2022-12-30,54
2022-12-31,18
2023-01-01,12
2023-01-02,21
2023-01-03,54
2023-01-04,62
2023-01-05,58
2023-01-06,64
2023-01-07,17
2023-01-08,11
2023-01-09,61
2023-01-10,59
2023-01-11,62
2023-01-12,64
2023-01-13,62
2023-01-14,18
2023-01-15,10
2023-01-16,23
2023-01-17,55
2023-01-18,59
2023-01-19,59
2023-01-20,61
2023-01-21,18
2023-01-22,12
2023-01-23,64
2023-01-24,71
2023-01-25,65
2023-01-26,68
2023-01-27,67
2023-01-28,18
2023-01-29,11
2023-01-30,57
2023-01-31,65
2023-02-01,77
2023-02-02,100
2023-02-03,87
2023-02-04,19
2023-02-05,14
2023-02-06,66
2023-02-07,71
2023-02-08,70
2023-02-09,68
2023-02-10,64
2023-02-11,18
2023-02-12,11
2023-02-13,56
2023-02-14,70
2023-02-15,69
2023-02-16,64
2023-02-17,63
2023-02-18,17
2023-02-19,10
2023-02-20,23
2023-02-21,58
2023-02-22,61
2023-02-23,63
2023-02-24,58
2023-02-25,16
2023-02-26,11
2023-02-27,54
2023-02-28,55
2023-03-01,59
2023-03-02,61
2023-03-03,57
2023-03-04,16
2023-03-05,11
2023-03-06,59
2023-03-07,55
2023-03-08,55
2023-03-09,59
2023-03-10,70
2023-03-11,20
2023-03-12,17
2023-03-13,86
2023-03-14,72
2023-03-15,73
2023-03-16,71
2023-03-17,60
2023-03-18,16
2023-03-19,13
2023-03-20,63
2023-03-21,65
2023-03-22,67
2023-03-23,67
2023-03-24,59
2023-03-25,16
2023-03-26,12
2023-03-27,61
2023-03-28,55
2023-03-29,59
2023-03-30,59
2023-03-31,63
2023-04-01,18
2023-04-02,12
2023-04-03,67
2023-04-04,56
2023-04-05,58
2023-04-06,56
2023-04-07,35
2023-04-08,11
2023-04-09,10
2023-04-10,58
2023-04-11,62
2023-04-12,60
2023-04-13,61
2023-04-14,57
2023-04-15,14
2023-04-16,11
2023-04-17,52
2023-04-18,55
2023-04-19,57
2023-04-20,51
2023-04-21,52
2023-04-22,14
2023-04-23,10
2023-04-24,51
2023-04-25,59
2023-04-26,70
2023-04-27,59
2023-04-28,58
2023-04-29,15
2023-04-30,11
2023-05-01,55
2023-05-02,56
2023-05-03,56
2023-05-04,54
2023-05-05,53
2023-05-06,13
2023-05-07,10
2023-05-08,52
2023-05-09,50
2023-05-10,55
2023-05-11,53
2023-05-12,48
2023-05-13,13
2023-05-14,9
2023-05-15,50
2023-05-16,52
2023-05-17,55
2023-05-18,60
2023-05-19,54
2023-05-20,14
2023-05-21,9
2023-05-22,55
2023-05-23,51
2023-05-24,51
2023-05-25,67
