Time,nasdaq
2023-04-26,90
2023-04-27,76
2023-04-28,74
2023-04-29,19
2023-04-30,14
2023-05-01,70
2023-05-02,72
2023-05-03,72
2023-05-04,69
2023-05-05,68
2023-05-06,17
2023-05-07,13
2023-05-08,67
2023-05-09,63
2023-05-10,71
2023-05-11,68
2023-05-12,61
2023-05-13,16
2023-05-14,12
2023-05-15,64
2023-05-16,67
2023-05-17,70
2023-05-18,77
2023-05-19,69
2023-05-20,18
2023-05-21,12
2023-05-22,71
2023-05-23,66
2023-05-24,65
2023-05-25,85
2023-05-26,81
2023-05-27,24
2023-05-28,16
2023-05-29,22
2023-05-30,80
2023-05-31,70
2023-06-01,80
2023-06-02,85
2023-06-03,23
2023-06-04,18
2023-06-05,79
2023-06-06,77
2023-06-07,80
2023-06-08,84
2023-06-09,77
2023-06-10,19
2023-06-11,16
2023-06-12,91
2023-06-13,91
2023-06-14,90
2023-06-15,91
2023-06-16,84
2023-06-17,18
2023-06-18,15
2023-06-19,34
2023-06-20,77
2023-06-21,77
2023-06-22,75
2023-06-23,67
2023-06-24,17
2023-06-25,14
2023-06-26,73
2023-06-27,76
2023-06-28,72
2023-06-29,75
2023-06-30,76
2023-07-01,20
2023-07-02,17
2023-07-03,67
2023-07-04,20
2023-07-05,70
2023-07-06,69
2023-07-07,69
2023-07-08,18
2023-07-09,14
2023-07-10,72
2023-07-11,77
2023-07-12,81
2023-07-13,89
2023-07-14,91
2023-07-15,24
2023-07-16,17
2023-07-17,82
2023-07-18,87
2023-07-19,89
2023-07-20,100
2023-07-21,95
2023-07-22,22
2023-07-23,16
2023-07-24,80
2023-07-25,82
2023-07-26,86
2023-07-27,88
2023-07-28,85
2023-07-29,20
2023-07-30,16
2023-07-31,75
2023-08-01,81
2023-08-02,82
2023-08-03,84
2023-08-04,75
2023-08-05,19
2023-08-06,14
2023-08-07,78
2023-08-08,71
2023-08-09,72
2023-08-10,75
2023-08-11,70
2023-08-12,18
2023-08-13,14
2023-08-14,70
2023-08-15,68
2023-08-16,73
2023-08-17,75
2023-08-18,72
2023-08-19,17
2023-08-20,14
2023-08-21,73
2023-08-22,74
2023-08-23,80
2023-08-24,78
2023-08-25,75
2023-08-26,18
2023-08-27,14
2023-08-28,65
2023-08-29,73
2023-08-30,73
2023-08-31,72
2023-09-01,71
2023-09-02,16
2023-09-03,14
2023-09-04,18
2023-09-05,64
2023-09-06,61
2023-09-07,65
2023-09-08,62
2023-09-09,16
2023-09-10,12
2023-09-11,65
2023-09-12,66
2023-09-13,66
2023-09-14,75
2023-09-15,70
2023-09-16,19
2023-09-17,13
2023-09-18,62
2023-09-19,67
2023-09-20,67
2023-09-21,69
2023-09-22,63
2023-09-23,16
2023-09-24,13
2023-09-25,60
2023-09-26,66
2023-09-27,70
2023-09-28,65
2023-09-29,62
2023-09-30,19
2023-10-01,15
2023-10-02,60
2023-10-03,69
2023-10-04,75
2023-10-05,65
2023-10-06,67
2023-10-07,18
2023-10-08,16
2023-10-09,66
2023-10-10,64
2023-10-11,65
2023-10-12,67
2023-10-13,64
2023-10-14,16
2023-10-15,13
2023-10-16,63
2023-10-17,66
2023-10-18,63
2023-10-19,60
2023-10-20,62
2023-10-21,16
2023-10-22,13
2023-10-23,65
2023-10-24,67
2023-10-25,78
2023-10-26,88
2023-10-27,74
2023-10-28,20
2023-10-29,13
2023-10-30,65
2023-10-31,71
2023-11-01,69
2023-11-02,73
2023-11-03,74
2023-11-04,18
2023-11-05,14
2023-11-06,70
2023-11-07,75
2023-11-08,73
2023-11-09,67
2023-11-10,68
2023-11-11,20
2023-11-12,14
2023-11-13,65
2023-11-14,80
2023-11-15,84
2023-11-16,76
2023-11-17,67
2023-11-18,18
2023-11-19,14
2023-11-20,71
2023-11-21,72
2023-11-22,68
2023-11-23,20
2023-11-24,48
2023-11-25,15
2023-11-26,12
2023-11-27,60
2023-11-28,66
2023-11-29,71
2023-11-30,77
2023-12-01,77
2023-12-02,24
2023-12-03,14
2023-12-04,69
2023-12-05,65
2023-12-06,67
2023-12-07,69
2023-12-08,80
2023-12-09,22
2023-12-10,15
2023-12-11,75
2023-12-12,78
2023-12-13,87
2023-12-14,92
2023-12-15,85
2023-12-16,23
2023-12-17,16
2023-12-18,74
2023-12-19,80
2023-12-20,87
2023-12-21,83
2023-12-22,82
2023-12-23,21
2023-12-24,12
2023-12-25,15
2023-12-26,73
2023-12-27,78
2023-12-28,83
2023-12-29,83
2023-12-30,26
2023-12-31,16
2024-01-01,18
2024-01-02,87
2024-01-03,86
2024-01-04,78
2024-01-05,75
2024-01-06,21
2024-01-07,15
2024-01-08,77
2024-01-09,79
2024-01-10,75
2024-01-11,78
2024-01-12,71
2024-01-13,20
2024-01-14,13
2024-01-15,27
2024-01-16,63
2024-01-17,65
2024-01-18,75
2024-01-19,83
2024-01-20,27
