Time,nasdaq
2025-12-11,68
2025-12-12,65
2025-12-13,26
2025-12-14,18
2025-12-15,58
2025-12-16,70
2025-12-17,69
2025-12-18,64
2025-12-19,60
2025-12-20,20
2025-12-21,18
2025-12-22,58
2025-12-23,57
2025-12-24,51
2025-12-25,20
2025-12-26,49
2025-12-27,19
2025-12-28,17
2025-12-29,50
2025-12-30,54
2025-12-31,51
2026-01-01,21
2026-01-02,53
2026-01-03,22
2026-01-04,22
2026-01-05,56
2026-01-06,58
2026-01-07,58
2026-01-08,55
2026-01-09,56
2026-01-10,21
2026-01-11,17
2026-01-12,58
2026-01-13,56
2026-01-14,60
2026-01-15,56
2026-01-16,54
2026-01-17,20
2026-01-18,19
2026-01-19,36
2026-01-20,64
2026-01-21,75
2026-01-22,62
2026-01-23,54
2026-01-24,23
2026-01-25,24
2026-01-26,58
2026-01-27,62
2026-01-28,63
2026-01-29,78
2026-01-30,68
2026-01-31,34
2026-02-01,32
2026-02-02,67
2026-02-03,68
2026-02-04,75
2026-02-05,79
2026-02-06,74
2026-02-07,30
2026-02-08,26
2026-02-09,66
2026-02-10,61
2026-02-11,62
2026-02-12,64
2026-02-13,64
2026-02-14,27
2026-02-15,28
2026-02-16,44
2026-02-17,63
2026-02-18,63
2026-02-19,55
2026-02-20,63
2026-02-21,38
2026-02-22,42
2026-02-23,100
2026-02-24,70
2026-02-25,68
2026-02-26,69
2026-02-27,66
2026-02-28,25
2026-03-01,24
2026-03-02,79
2026-03-03,77
2026-03-04,69
2026-03-05,78
2026-03-06,80
2026-03-07,29
2026-03-08,36
2026-03-09,84
2026-03-10,71
2026-03-11,70
2026-03-12,72
2026-03-13,69
2026-03-14,28
2026-03-15,28
2026-03-16,67
2026-03-17,68
2026-03-18,68
2026-03-19,82
2026-03-20,86
2026-03-21,35
2026-03-22,32
2026-03-23,78
2026-03-24,67
2026-03-25,63
2026-03-26,68
2026-03-27,83
2026-03-28,34
2026-03-29,34
2026-03-30,75
2026-03-31,78
2026-04-01,79
2026-04-02,72
2026-04-03,50
2026-04-04,24
2026-04-05,27
2026-04-06,71
2026-04-07,65
2026-04-08,80
2026-04-09,69
2026-04-10,64
2026-04-11,24
2026-04-12,28
2026-04-13,70
2026-04-14,75
2026-04-15,79
2026-04-16,76
2026-04-17,97
2026-04-18,38
2026-04-19,28
2026-04-20,67
2026-04-21,69
2026-04-22,78
2026-04-23,73
2026-04-24,73
2026-04-25,33
2026-04-26,35
2026-04-27,72
2026-04-28,67
2026-04-29,59
2026-04-30,67
2026-05-01,66
2026-05-02,27
2026-05-03,27
2026-05-04,56
2026-05-05,67
2026-05-06,71
2026-05-07,71
2026-05-08,75
2026-05-09,31
2026-05-10,31
2026-05-11,76
2026-05-12,75
2026-05-13,69
2026-05-14,79
2026-05-15,74
2026-05-16,32
2026-05-17,31
2026-05-18,72
2026-05-19,70
2026-05-20,80
2026-05-21,70
2026-05-22,79
2026-05-23,49
2026-05-24,34
2026-05-25,47
2026-05-26,85
2026-05-27,81
2026-05-28,82
2026-05-29,88
2026-05-30,40
2026-05-31,48
