Time,gimkit join
2022-08-29,30
2022-08-30,37
2022-08-31,47
2022-09-01,59
2022-09-02,61
2022-09-03,2
2022-09-04,1
2022-09-05,1
2022-09-06,38
2022-09-07,49
2022-09-08,57
2022-09-09,78
2022-09-10,2
2022-09-11,1
2022-09-12,43
2022-09-13,51
2022-09-14,62
2022-09-15,73
2022-09-16,82
2022-09-17,3
2022-09-18,2
2022-09-19,48
2022-09-20,53
2022-09-21,72
2022-09-22,69
2022-09-23,82
2022-09-24,2
2022-09-25,2
2022-09-26,38
2022-09-27,51
2022-09-28,61
2022-09-29,77
2022-09-30,94
2022-10-01,4
2022-10-02,2
2022-10-03,51
2022-10-04,64
2022-10-05,64
2022-10-06,69
2022-10-07,85
2022-10-08,3
2022-10-09,2
2022-10-10,35
2022-10-11,55
2022-10-12,61
2022-10-13,73
2022-10-14,64
2022-10-15,3
2022-10-16,1
2022-10-17,44
2022-10-18,59
2022-10-19,70
2022-10-20,68
2022-10-21,72
2022-10-22,4
2022-10-23,2
2022-10-24,44
2022-10-25,52
2022-10-26,55
2022-10-27,63
2022-10-28,66
2022-10-29,2
2022-10-30,2
2022-10-31,52
2022-11-01,43
2022-11-02,50
2022-11-03,59
2022-11-04,72
2022-11-05,4
2022-11-06,2
2022-11-07,41
2022-11-08,31
2022-11-09,47
2022-11-10,58
2022-11-11,45
2022-11-12,3
2022-11-13,2
2022-11-14,45
2022-11-15,51
2022-11-16,59
2022-11-17,67
2022-11-18,79
2022-11-19,3
2022-11-20,2
2022-11-21,35
2022-11-22,44
2022-11-23,13
2022-11-24,2
2022-11-25,1
2022-11-26,1
2022-11-27,1
2022-11-28,35
2022-11-29,37
2022-11-30,46
2022-12-01,53
2022-12-02,63
2022-12-03,2
2022-12-04,1
2022-12-05,43
2022-12-06,69
2022-12-07,76
2022-12-08,89
2022-12-09,100
2022-12-10,5
2022-12-11,3
2022-12-12,79
2022-12-13,91
2022-12-14,92
2022-12-15,95
2022-12-16,98
2022-12-17,6
2022-12-18,3
2022-12-19,50
2022-12-20,56
2022-12-21,51
2022-12-22,32
2022-12-23,11
2022-12-24,2
2022-12-25,1
2022-12-26,1
2022-12-27,2
2022-12-28,1
2022-12-29,1
2022-12-30,1
2022-12-31,0
2023-01-01,1
2023-01-02,3
2023-01-03,19
2023-01-04,31
2023-01-05,41
2023-01-06,61
2023-01-07,2
2023-01-08,2
2023-01-09,41
2023-01-10,48
2023-01-11,56
2023-01-12,63
2023-01-13,73
2023-01-14,4
2023-01-15,2
2023-01-16,4
2023-01-17,46
2023-01-18,47
2023-01-19,61
2023-01-20,73
2023-01-21,3
2023-01-22,2
2023-01-23,47
2023-01-24,53
2023-01-25,50
2023-01-26,63
2023-01-27,65
2023-01-28,3
2023-01-29,1
2023-01-30,45
2023-01-31,49
2023-02-01,52
2023-02-02,61
2023-02-03,70
2023-02-04,4
2023-02-05,2
2023-02-06,43
2023-02-07,34
2023-02-08,54
2023-02-09,57
2023-02-10,75
2023-02-11,3
2023-02-12,2
2023-02-13,40
2023-02-14,51
2023-02-15,53
2023-02-16,57
2023-02-17,62
2023-02-18,4
2023-02-19,2
2023-02-20,9
2023-02-21,37
2023-02-22,40
2023-02-23,47
2023-02-24,64
2023-02-25,3
2023-02-26,1
2023-02-27,48
2023-02-28,50
2023-03-01,56
2023-03-02,61
2023-03-03,66
2023-03-04,3
2023-03-05,3
2023-03-06,47
2023-03-07,53
2023-03-08,60
2023-03-09,70
2023-03-10,75
2023-03-11,4
2023-03-12,2
2023-03-13,37
2023-03-14,39
2023-03-15,43
2023-03-16,50
2023-03-17,49
2023-03-18,3
2023-03-19,2
2023-03-20,39
2023-03-21,45
2023-03-22,50
2023-03-23,57
2023-03-24,68
2023-03-25,4
2023-03-26,2
2023-03-27,40
2023-03-28,43
2023-03-29,48
2023-03-30,62
2023-03-31,72
2023-04-01,4
2023-04-02,3
2023-04-03,36
2023-04-04,42
2023-04-05,47
2023-04-06,55
2023-04-07,18
2023-04-08,3
2023-04-09,1
2023-04-10,29
2023-04-11,43
2023-04-12,45
2023-04-13,56
2023-04-14,69
2023-04-15,3
2023-04-16,2
2023-04-17,49
2023-04-18,53
2023-04-19,61
2023-04-20,69
2023-04-21,75
2023-04-22,4
2023-04-23,3
2023-04-24,59
2023-04-25,61
2023-04-26,66
2023-04-27,74
2023-04-28,81
2023-04-29,4
2023-04-30,2
2023-05-01,56
2023-05-02,61
2023-05-03,64
2023-05-04,65
2023-05-05,75
2023-05-06,3
2023-05-07,2
2023-05-08,57
2023-05-09,57
2023-05-10,64
2023-05-11,70
2023-05-12,81
2023-05-13,5
2023-05-14,3
2023-05-15,62
2023-05-16,72
2023-05-17,74
2023-05-18,76
2023-05-19,82
2023-05-20,5
2023-05-21,3
2023-05-22,63
2023-05-23,61
2023-05-24,52
2023-05-25,49
