Time,games
2023-04-26,39
2023-04-27,42
2023-04-28,43
2023-04-29,36
2023-04-30,37
2023-05-01,35
2023-05-02,39
2023-05-03,40
2023-05-04,42
2023-05-05,43
2023-05-06,34
2023-05-07,35
2023-05-08,38
2023-05-09,38
2023-05-10,40
2023-05-11,42
2023-05-12,45
2023-05-13,36
2023-05-14,34
2023-05-15,35
2023-05-16,36
2023-05-17,39
2023-05-18,40
2023-05-19,43
2023-05-20,32
2023-05-21,32
2023-05-22,36
2023-05-23,37
2023-05-24,35
2023-05-25,33
2023-05-26,33
2023-05-27,28
2023-05-28,29
2023-05-29,27
2023-05-30,30
2023-05-31,28
2023-06-01,27
2023-06-02,29
2023-06-03,25
2023-06-04,27
2023-06-05,27
2023-06-06,27
2023-06-07,28
2023-06-08,29
2023-06-09,25
2023-06-10,28
2023-06-11,26
2023-06-12,25
2023-06-13,25
2023-06-14,25
2023-06-15,23
2023-06-16,22
2023-06-17,21
2023-06-18,23
2023-06-19,21
2023-06-20,22
2023-06-21,22
2023-06-22,20
2023-06-23,21
2023-06-24,23
2023-06-25,24
2023-06-26,20
2023-06-27,20
2023-06-28,21
2023-06-29,23
2023-06-30,21
2023-07-01,22
2023-07-02,25
2023-07-03,23
2023-07-04,23
2023-07-05,20
2023-07-06,21
2023-07-07,21
2023-07-08,24
2023-07-09,25
2023-07-10,20
2023-07-11,20
2023-07-12,20
2023-07-13,20
2023-07-14,21
2023-07-15,24
2023-07-16,24
2023-07-17,20
2023-07-18,20
2023-07-19,20
2023-07-20,21
2023-07-21,21
2023-07-22,23
2023-07-23,24
2023-07-24,20
2023-07-25,20
2023-07-26,21
2023-07-27,22
2023-07-28,21
2023-07-29,24
2023-07-30,23
2023-07-31,21
2023-08-01,21
2023-08-02,21
2023-08-03,23
2023-08-04,24
2023-08-05,25
2023-08-06,27
2023-08-07,23
2023-08-08,21
2023-08-09,23
2023-08-10,24
2023-08-11,26
2023-08-12,28
2023-08-13,28
2023-08-14,24
2023-08-15,24
2023-08-16,26
2023-08-17,29
2023-08-18,31
2023-08-19,27
2023-08-20,29
2023-08-21,27
2023-08-22,29
2023-08-23,28
2023-08-24,31
2023-08-25,34
2023-08-26,29
2023-08-27,30
2023-08-28,29
2023-08-29,31
2023-08-30,31
2023-08-31,33
2023-09-01,37
2023-09-02,30
2023-09-03,32
2023-09-04,28
2023-09-05,29
2023-09-06,33
2023-09-07,37
2023-09-08,43
2023-09-09,32
2023-09-10,49
2023-09-11,37
2023-09-12,36
2023-09-13,35
2023-09-14,37
2023-09-15,42
2023-09-16,32
2023-09-17,48
2023-09-18,39
2023-09-19,37
2023-09-20,35
2023-09-21,37
2023-09-22,45
2023-09-23,32
2023-09-24,52
2023-09-25,39
2023-09-26,37
2023-09-27,33
2023-09-28,38
2023-09-29,43
2023-09-30,31
2023-10-01,52
2023-10-02,39
2023-10-03,35
2023-10-04,36
2023-10-05,39
2023-10-06,42
2023-10-07,33
2023-10-08,50
2023-10-09,37
2023-10-10,35
2023-10-11,34
2023-10-12,36
2023-10-13,40
2023-10-14,31
2023-10-15,51
2023-10-16,37
2023-10-17,37
2023-10-18,32
2023-10-19,36
2023-10-20,42
2023-10-21,33
2023-10-22,51
2023-10-23,38
2023-10-24,39
2023-10-25,38
2023-10-26,39
2023-10-27,43
2023-10-28,33
2023-10-29,49
2023-10-30,41
2023-10-31,38
2023-11-01,37
2023-11-02,41
2023-11-03,46
2023-11-04,37
2023-11-05,56
2023-11-06,43
2023-11-07,39
2023-11-08,38
2023-11-09,42
2023-11-10,40
2023-11-11,39
2023-11-12,52
2023-11-13,43
2023-11-14,39
2023-11-15,42
2023-11-16,44
2023-11-17,53
2023-11-18,48
2023-11-19,61
2023-11-20,47
2023-11-21,51
2023-11-22,44
2023-11-23,72
2023-11-24,61
2023-11-25,52
2023-11-26,65
2023-11-27,48
2023-11-28,43
2023-11-29,43
2023-11-30,44
2023-12-01,52
2023-12-02,48
2023-12-03,70
2023-12-04,54
2023-12-05,46
2023-12-06,44
2023-12-07,45
2023-12-08,51
2023-12-09,44
2023-12-10,59
2023-12-11,49
2023-12-12,44
2023-12-13,45
2023-12-14,47
2023-12-15,54
2023-12-16,52
2023-12-17,62
2023-12-18,47
2023-12-19,49
2023-12-20,45
2023-12-21,46
2023-12-22,45
2023-12-23,57
2023-12-24,70
2023-12-25,85
2023-12-26,55
2023-12-27,40
2023-12-28,41
2023-12-29,47
2023-12-30,56
2023-12-31,72
2024-01-01,64
2024-01-02,39
2024-01-03,33
2024-01-04,35
2024-01-05,38
2024-01-06,50
2024-01-07,65
2024-01-08,45
2024-01-09,36
2024-01-10,36
2024-01-11,41
2024-01-12,43
2024-01-13,72
2024-01-14,100
2024-01-15,66
2024-01-16,49
2024-01-17,37
2024-01-18,40
2024-01-19,43
2024-01-20,72
