Time,games
2024-08-18,31
2024-08-19,26
2024-08-20,29
2024-08-21,30
2024-08-22,30
2024-08-23,36
2024-08-24,34
2024-08-25,32
2024-08-26,30
2024-08-27,32
2024-08-28,33
2024-08-29,37
2024-08-30,41
2024-08-31,32
2024-09-01,35
2024-09-02,28
2024-09-03,30
2024-09-04,34
2024-09-05,40
2024-09-06,49
2024-09-07,40
2024-09-08,59
2024-09-09,40
2024-09-10,38
2024-09-11,33
2024-09-12,39
2024-09-13,45
2024-09-14,33
2024-09-15,53
2024-09-16,39
2024-09-17,40
2024-09-18,36
2024-09-19,40
2024-09-20,46
2024-09-21,32
2024-09-22,60
2024-09-23,42
2024-09-24,39
2024-09-25,37
2024-09-26,41
2024-09-27,43
2024-09-28,32
2024-09-29,55
2024-09-30,39
2024-10-01,39
2024-10-02,35
2024-10-03,40
2024-10-04,44
2024-10-05,34
2024-10-06,58
2024-10-07,44
2024-10-08,38
2024-10-09,36
2024-10-10,38
2024-10-11,43
2024-10-12,35
2024-10-13,56
2024-10-14,40
2024-10-15,37
2024-10-16,36
2024-10-17,40
2024-10-18,44
2024-10-19,36
2024-10-20,57
2024-10-21,42
2024-10-22,38
2024-10-23,38
2024-10-24,40
2024-10-25,44
2024-10-26,36
2024-10-27,61
2024-10-28,41
2024-10-29,43
2024-10-30,40
2024-10-31,44
2024-11-01,42
2024-11-02,32
2024-11-03,50
2024-11-04,40
2024-11-05,33
2024-11-06,24
2024-11-07,36
2024-11-08,42
2024-11-09,33
2024-11-10,52
2024-11-11,38
2024-11-12,36
2024-11-13,34
2024-11-14,37
2024-11-15,43
2024-11-16,31
2024-11-17,52
2024-11-18,42
2024-11-19,38
2024-11-20,36
2024-11-21,38
2024-11-22,47
2024-11-23,34
2024-11-24,54
2024-11-25,40
2024-11-26,39
2024-11-27,33
2024-11-28,61
2024-11-29,50
2024-11-30,40
2024-12-01,56
2024-12-02,41
2024-12-03,39
2024-12-04,37
2024-12-05,37
2024-12-06,44
2024-12-07,37
2024-12-08,58
2024-12-09,44
2024-12-10,41
2024-12-11,38
2024-12-12,41
2024-12-13,48
2024-12-14,39
2024-12-15,53
2024-12-16,47
2024-12-17,45
2024-12-18,44
2024-12-19,47
2024-12-20,53
2024-12-21,49
2024-12-22,60
2024-12-23,42
2024-12-24,45
2024-12-25,81
2024-12-26,50
2024-12-27,48
2024-12-28,60
2024-12-29,66
2024-12-30,48
2024-12-31,47
2025-01-01,50
2025-01-02,39
2025-01-03,38
2025-01-04,55
2025-01-05,71
2025-01-06,44
2025-01-07,37
2025-01-08,37
2025-01-09,39
2025-01-10,42
2025-01-11,60
2025-01-12,94
2025-01-13,55
2025-01-14,47
2025-01-15,38
2025-01-16,42
2025-01-17,49
2025-01-18,69
2025-01-19,100
2025-01-20,51
2025-01-21,36
2025-01-22,37
2025-01-23,39
2025-01-24,46
2025-01-25,47
2025-01-26,84
2025-01-27,50
2025-01-28,36
2025-01-29,35
2025-01-30,36
2025-01-31,38
2025-02-01,29
2025-02-02,32
2025-02-03,30
2025-02-04,33
2025-02-05,34
2025-02-06,35
2025-02-07,40
2025-02-08,32
2025-02-09,32
2025-02-10,33
2025-02-11,37
2025-02-12,34
2025-02-13,37
2025-02-14,36
2025-02-15,27
2025-02-16,28
2025-02-17,24
2025-02-18,29
2025-02-19,30
2025-02-20,31
2025-02-21,37
2025-02-22,28
2025-02-23,30
2025-02-24,30
2025-02-25,31
2025-02-26,33
2025-02-27,32
2025-02-28,38
2025-03-01,28
2025-03-02,30
2025-03-03,30
2025-03-04,34
2025-03-05,33
2025-03-06,34
2025-03-07,39
2025-03-08,30
2025-03-09,31
2025-03-10,29
2025-03-11,30
2025-03-12,29
2025-03-13,33
2025-03-14,35
2025-03-15,29
2025-03-16,32
2025-03-17,29
2025-03-18,32
2025-03-19,34
2025-03-20,40
2025-03-21,38
2025-03-22,33
2025-03-23,34
2025-03-24,31
2025-03-25,33
2025-03-26,33
2025-03-27,39
2025-03-28,42
2025-03-29,36
2025-03-30,37
2025-03-31,32
2025-04-01,33
2025-04-02,37
2025-04-03,39
2025-04-04,37
2025-04-05,37
2025-04-06,36
2025-04-07,32
2025-04-08,33
2025-04-09,33
2025-04-10,35
2025-04-11,38
2025-04-12,33
2025-04-13,31
2025-04-14,29
2025-04-15,33
2025-04-16,36
2025-04-17,37
2025-04-18,28
2025-04-19,35
2025-04-20,38
2025-04-21,32
2025-04-22,36
2025-04-23,38
2025-04-24,39
2025-04-25,40
2025-04-26,35
2025-04-27,38
2025-04-28,35
2025-04-29,38
2025-04-30,39
2025-05-01,44
2025-05-02,44
2025-05-03,36
2025-05-04,37
2025-05-05,37
2025-05-06,40
2025-05-07,39
2025-05-08,41
2025-05-09,43
2025-05-10,38
2025-05-11,40
2025-05-12,39
2025-05-13,43
2025-05-14,42
